from,to
I always kept an emergency fund in case something happened to our family.,Uvek sam držao fond za hitne slučajeve u slučaju da se nešto desi našoj porodici.
The chances were low but I still made the right decision.,"Šanse su bile male, ali ipak sam doneo pravu odluku."
"I prefer to spend time playing games, I'm in love with it.","Više volim da provodim vreme igrajući igre, zaljubljen sam u to."
I saved the company before bankrupcy.,Spasio sam kompaniju pre bankrota.
"Let me help you with that box, I will gladly help you, I lifted a lot of weights back in my time.","Dozvolite mi da vam pomognem sa tom kutijom, rado ću vam pomoći, podigao sam mnogo tegova u svoje vreme."
I always enjoyed reading astrology predictions.,Uvek sam uživao u čitanju astroloških predviđanja.
I paid for everyones coffee.,Svima sam platio kafu.
"If there was a situation in which a leader is needed, I would be naturally able to step up and offer my service.","Da postoji situacija u kojoj je potreban vođa, prirodno bih mogao da pojačam i ponudim svoju uslugu."
I would never wear those dirty hotel slippers.,Nikada ne bih nosio te prljave hotelske papuče.
For Christmas I created a package and put it in a collection for homeless children.,Za Božić sam napravio paket i stavio ga u kolekciju za decu beskućnika.
I based my decision on my emotions.,Svoju odluku sam zasnivao na svojim emocijama.
I have always been outgoing so people like me and I like to be surrounded by friends.,"Uvek sam bio otvoren, tako da ljudi poput mene i volim da budem okružen prijateljima."
I did not agree but I chose to remain silent.,"Nisam se složio, ali sam odlučio da ćutim."
"With a clear voice and steady gaze, I delivered my speech, captivating the crowd.","Jasnim glasom i stalnim pogledom održao sam svoj govor, očaravajući gomilu."
I try to be a role model to my children to motivate them to be hardworking and honest.,Trudim se da budem uzor svojoj deci da ih motivišem da budu vredni i iskreni.
I like talking to new people.,Volim da razgovaram sa novim ljudima.
I was never complaining about being the only one bringing money home.,Nikada se nisam žalio da sam jedini koji donosi novac kući.
I wouldn't have started it unless I knew I would be able to finish.,Ne bih ga započeo ako nisam znao da ću moći da završim.
I needed help with heavy bags.,Trebala mi je pomoć sa teškim torbama.
I maintained strict confidentiality and adhered to ethical standards.,Održavao sam strogu poverljivost i pridržavao se etičkih standarda.
"I ensured that my laundry was consistently washed, folded, and put away.","Osigurao sam da se moje veš stalno pere, presavija i odlaže."
"In the future, I would like to adopt a child.",U budućnosti bih voleo da usvojim dete.
I like to use various hair products.,Volim da koristim razne proizvode za kosu.
I was never scared of heights.,Nikada se nisam plašio visine.
I knew I was not physically strong enough.,Znao sam da nisam dovoljno fizički jak.
I bought mango scented cleaning products so I enjoy cleaning even more.,"Kupio sam sredstva za čišćenje sa mirisom manga, tako da još više uživam u čišćenju."
I took everyone to the movie theathre.,Odveo sam sve u filmsku pozorište.
I have always been a leadership type.,Uvek sam bio liderski tip.
"In any relationship, I was always the submissive one.","U bilo kojoj vezi, uvek sam bio pokoran."
I decided to work in a non-profit organization.,Odlučio sam da radim u neprofitnoj organizaciji.
I met a lot of cool people in the gym.,U teretani sam upoznao mnogo kul ljudi.
I could never let the other person pay during a date.,Nikada nisam mogao dozvoliti drugoj osobi da plati tokom sastanka.
I felt that taking care of house was always my responsibility.,Osećao sam da je briga o kući uvek moja odgovornost.
"I couldn't open the pickles, so I asked my roommate to do it.","Nisam mogao da otvorim kisele krastavce, pa sam zamolio svog cimera da to uradi."
"I didn't want to change my plans, but it seemed impolite to refuse.","Nisam želeo da promenim svoje planove, ali izgledalo je nepristojno odbiti."
"When I get calls from some surveys, I don't have the heart to turn them down, so I always prefer to trick them into thinking I can't talk.","Kada dobijem pozive iz nekih anketa, nemam srca da ih odbacim, pa ih uvek radije prevaram da misle da ne mogu da razgovaram."
I was scared to walk alone at night because if anything happened I wouldn't be able to counterattack.,"Plašio sam se da hodam sam noću jer ako se nešto dogodi, ne bih mogao da napadim kontranapad."
I have had a lot of sexual partners.,Imao sam mnogo seksualnih partnera.
I exhibited a disregard for rules and boundaries.,Pokazao sam nepoštovanje pravila i granica.
"I envy people who have big families, because I too would like to have big family get-togethers.","Zavidim ljudima koji imaju velike porodice, jer bih i ja voleo da imam velika porodična okupljanja."
I am far better at it than them.,Daleko sam bolji u tome od njih.
"As I walked into the job interview, I exuded self-confidence.","Dok sam ušao na razgovor za posao, odišao sam samopouzdanjem."
I didn't fear refusal.,Nisam se plašio odbijanja.
I always sought instant gratification.,Uvek sam tražio trenutno zadovoljstvo.
I often bought expensive gifts for my family.,Često sam kupovao skupe poklone za svoju porodicu.
I like to work in a competitive environment.,Volim da radim u konkurentnom okruženju.
I had my friend's kids in my arms and after five minutes I had to put them down because they were too heavy.,Imao sam decu svog prijatelja u naručju i nakon pet minuta morao sam ih spustiti jer su bili preteški.
I am not asexual.,Nisam aseksualan.
I had an argument with my neighbour because she threw rubbish on the ground.,Svađao sam se sa komšijom jer je bacala smeće na zemlju.
I told my partner that my sexual needs were not satisfied.,Rekao sam svom partneru da moje seksualne potrebe nisu zadovoljene.
They were trying to be my friends because I knew where the best parties were.,Pokušavali su da mi budu prijatelji jer sam znao gde su najbolje zabave.
"When on holiday, I received daily compliments.","Kada sam bio na odmoru, svakodnevno sam dobijao komplimente."
"I tried to use the children's swing, but it broke.","Pokušao sam da koristim dečiju ljuljašku, ali se slomila."
I never liked confronting someone.,Nikada nisam voleo da se suočavam sa nekim.
"I wasn't happy in Slovakia, even though I didn´t know why. So one day I just packed up and flew to Spain.","Nisam bio srećan u Slovačkoj, iako nisam znao zašto. Tako sam se jednog dana spakovao i odleteo u Španiju."
I handled the snake and got rid of it.,Rukovao sam zmiju i riješio je se.
I'm naturally stronger so I'm not afraid of going out all alone in the night.,"Prirodno sam jači, tako da se ne bojim da izađem potpuno sam noću."
I did not let my emotions take over.,Nisam dozvolio da moje emocije preuzmu kontrolu.
They know how strict I am.,Oni znaju koliko sam strog.
I try avoid confrontation because I tend to cry when I am under pressure.,Pokušavam da izbegnem sukob jer imam tendenciju da plačem kada sam pod pritiskom.
I like to go out for a beer with my friends.,Volim da izađem na pivo sa prijateljima.
"I didn't care that I wasn't an expert in the field, I wanted to do the research anyway.","Nije me bilo briga što nisam stručnjak u ovoj oblasti, ionako sam želeo da uradim istraživanje."
I have discovered a new cream that moisturises the skin perfectly.,Otkrio sam novu kremu koja savršeno vlaži kožu.
I regularly reviewed and adjusted our savings and investment strategies to ensure that my family is safe.,Redovno sam pregledavao i prilagođavao naše strategije štednje i ulaganja kako bih osigurao da je moja porodica bezbedna.
I took the blame to avoid conflict.,Preuzeo sam krivicu da izbegnem sukob.
"When I got bitten by the lion, I didn't hesitate and tended to my wound.","Kad me je lav ugrizao, nisam oklevao i brinuo se za ranu."
I always demanded respect from my co-workers.,Uvek sam tražio poštovanje od svojih saradnika.
I like changing the oil in cars.,Volim da menjam ulje u automobilima.
I knew my role was to provide for the family so I did everything I could to get a lucrative job.,"Znao sam da je moja uloga da obezbedim porodicu, pa sam učinio sve što sam mogao da dobijem unosan posao."
I made the bed.,Napravio sam krevet.
"I took in the puppy, because it had no home.","Uzeo sam štene, jer nije imalo kuće."
I like serving my country.,Volim da služim svojoj zemlji.
I had to hire a bunch of guys to come help me with moving my paintings.,Morao sam da unajmim gomilu momaka da mi pomognu u premještanju slika.
