from,to
"I couldn’t open the pickles, so I asked my roommate to do it.","Я не міг відкрити солоні огірки, тому попросив свою сусідку по кімнаті зробити це."
They pushed their ideas on me and I did not do anything.,"Вони нав'язували мені свої ідеї, а я нічого не робив."
I am passionate.,Я пристрасна.
"When I got bitten by the lion, I didn't hesitate and tended to my wound.","Коли мене вкусив лев, я не вагався і доглянув свою рану."
I felt that taking care of house was always my responsibility.,"Я відчував, що догляд за домом завжди був моїм обов’язком."
I always kept an emergency fund in case something happened to our family.,"Я завжди зберігав запас на випадок, якщо щось трапиться з нашою родиною."
I never liked confronting someone.,Я ніколи не любив стикатися з кимось.
"I ensured that my laundry was consistently washed, folded, and put away.","Я переконався, що моя білизна постійно випрана, складена та прибрана."
I have always been a leadership type.,Я завжди був лідером.
"In any relationship, I was always the submissive one.",У будь-яких стосунках я завжди був покірним.
"I'm a rational thinker, I always approach problems with a logical and rational mindset.","Я раціонально мисля, я завжди підходжу до проблем з логічним і раціональним мисленням."
The chances were low but I still made the right decision.,"Шансів було мало, але я все одно прийняв правильне рішення."
I wrestled with everyone.,Я боровся з усіма.
"I prefer to spend time playing games, I'm in love with it.","Я віддаю перевагу проводити час за іграми, мені це подобається."
I like to work in a competitive environment.,Мені подобається працювати в конкурентному середовищі.
I took everyone to the movie theathre.,Я повів усіх у кінотеатр.
"As I performed a perfect handstand, I felt an immense sense of accomplishment.","Виконавши ідеальну стійку на руках, я відчув неймовірне досягнення."
I was never scared of heights.,Я ніколи не боявся висоти.
"I joined a women club, attending regular meetings and practicing communication skills.","Я приєдналася до жіночого клубу, відвідую регулярні зустрічі та практикую навички спілкування."
"I took care of the whole family myself, even both grandparents.","Я сама опікувалася всією родиною, навіть обома бабусею і дідусем."
"Yesterday I witnessed a nasty argument, so I decided to intervene.","Вчора я був свідком неприємної суперечки, тому вирішив втрутитися."
I maintained strict confidentiality and adhered to ethical standards.,Я зберігав сувору конфіденційність і дотримувався етичних стандартів.
"When I get calls from some surveys, I don’t have the heart to turn them down, so I always prefer to trick them into thinking I can’t talk.","Коли я отримую дзвінки з деяких опитувань, у мене немає духу відмовити їм, тому я завжди вважаю за краще змусити їх подумати, що я не можу говорити."
I did not agree but I chose to remain silent.,"Я не погоджувався, але вирішив мовчати."
"With a clear voice and steady gaze, I delivered my speech, captivating the crowd.","Чистим голосом і твердим поглядом я виголосив свою промову, захопивши натовп."
"I took in the puppy, because it had no home.","Я взяла цуценя, бо в нього не було дому."
"I tried to climb the mountain, but it was too steep.","Я намагався піднятися на гору, але вона була надто крутою."
I paid for everyones coffee.,Я заплатив усім за каву.
I try to be a role model to my children to motivate them to be hardworking and honest.,"Я намагаюся бути взірцем для своїх дітей, щоб мотивувати їх бути працьовитими та чесними."
I handled the snake and got rid of it.,Я впорався зі змією і позбувся її.
"I swung the sledgehammer, each strike ringing through the air.","Я розмахував кувалдою, кожен удар лунав у повітрі."
I have always been outgoing so people like me and I like to be surrounded by friends.,"Я завжди був комунікабельним, тому я подобаюся людям, і я люблю бути в оточенні друзів."
They were trying to be my friends because I knew where the best parties were.,"Вони намагалися бути моїми друзями, бо я знав, де найкращі вечірки."
