from,to
"I couldn’t open the pickles, so I asked my roommate to do it.","Nie mogłam otworzyć pikli, więc poprosiłam o to moją współlokatorkę."
They pushed their ideas on me and I did not do anything.,"Narzucali mi swoje pomysły, a ja nic nie zrobiłem."
I am passionate.,Jestem namiętny.
"When I got bitten by the lion, I didn't hesitate and tended to my wound.","Kiedy ukąsił mnie lew, nie wahałem się i opatrzyłem ranę."
I felt that taking care of house was always my responsibility.,"Poczułam, że zajmowanie się domem zawsze jest moim obowiązkiem."
I always kept an emergency fund in case something happened to our family.,"Zawsze miałem fundusz awaryjny na wypadek, gdyby coś stało się naszej rodzinie."
I never liked confronting someone.,Nigdy nie lubiłem się z kimś konfrontować.
"I ensured that my laundry was consistently washed, folded, and put away.","Dbałam o to, aby moje pranie było konsekwentnie uprane, złożone i odłożone."
I have always been a leadership type.,Zawsze byłem typem przywódcy.
"In any relationship, I was always the submissive one.",W każdym związku zawsze byłam uległa.
I flipped the socks upside down and they were as good as new.,Odwróciłam skarpetki do góry nogami i były jak nowe.
I took the initiative to mentor new employees.,Podjąłem inicjatywę mentorowania nowych pracowników.
"I didn't want to change my plans, but it seemed impolite to refuse.","Nie chciałam zmieniać planów, ale odmowa wydawała mi się niegrzeczna."
"I took care of the whole family myself, even both grandparents.","Sama opiekowałam się całą rodziną, nawet obydwoma dziadkami."
I was never scared of heights.,Nigdy nie bałam się wysokości.
I saved the company before bankrupcy.,Uratowałem firmę przed bankructwem.
I should think about this before deciding.,Powinienem o tym pomyśleć przed podjęciem decyzji.
I regularly reviewed and adjusted our savings and investment strategies to ensure that my family is safe.,"Regularnie przeglądałem i dostosowywałem nasze strategie oszczędzania i inwestycji, aby zapewnić mojej rodzinie bezpieczeństwo."
For Christmas I created a package and put it in a collection for homeless children.,Na Święta przygotowałam paczkę i przekazałam ją do zbiórki na rzecz bezdomnych dzieci.
"I tried to use the children's swing, but it broke.","Próbowałem skorzystać z huśtawki dla dzieci, ale się zepsuła."
I did not agree but I chose to remain silent.,"Nie zgodziłem się, ale zdecydowałem się milczeć."
"I took in the puppy, because it had no home.","Przyjęłam szczeniaka, bo nie miał domu."
I always knew that it’s important to have a good skincare routine.,"Zawsze wiedziałam, że ważna jest dobra pielęgnacja skóry."
I always enjoyed reading astrology predictions.,Zawsze lubiłem czytać przepowiednie astrologiczne.
I have discovered a new cream that moisturises the skin perfectly.,"Odkryłam nowy krem, który doskonale nawilża skórę."
I always demanded respect from my co-workers.,Zawsze wymagałem szacunku od współpracowników.
I like to use various hair products.,Lubię używać różnych produktów do włosów.
The recipe was really hard but I still tried to cook it.,"Przepis był naprawdę trudny, ale mimo to próbowałam go ugotować."
I told my partner that my sexual needs were not satisfied.,"Powiedziałam partnerowi, że moje potrzeby seksualne nie są zaspokojone."
I took the blame to avoid conflict.,"Wziąłem na siebie winę, aby uniknąć konfliktu."
I wrestled with everyone.,Walczyłem ze wszystkimi.
I met a lot of cool people in the gym.,Na siłowni poznałem wielu fajnych ludzi.
I based my decision on my emotions.,Swoją decyzję oparłam na emocjach.
The chances were low but I still made the right decision.,"Szanse były niskie, ale i tak podjąłem właściwą decyzję."
"As I walked into the job interview, I exuded self-confidence.","Idąc na rozmowę kwalifikacyjną, emanowała pewność siebie."
I got tanned to look better.,"Opalałem się, żeby lepiej wyglądać."
I was never complaining about being the only one bringing money home.,"Nigdy nie narzekałem, że jestem jedyną osobą, która przynosi pieniądze do domu."
"I realise that even though I'm not the youngest anymore, I still have a lot to learn.","Zdaję sobie sprawę, że choć nie jestem już najmłodszy, wciąż muszę się wiele nauczyć."
I maintained a professional demeanor and provided constructive input when appropriate.,Zachowywałem profesjonalną postawę i w stosownych przypadkach zapewniałem konstruktywny wkład.
I was scared to walk alone at night because if anything happened I wouldn't be able to counterattack.,"Bałem się chodzić sam nocą, bo gdyby coś się stało, nie byłbym w stanie kontratakować."
I needed help with heavy bags.,Potrzebowałem pomocy z ciężkimi torbami.
I like changing the oil in cars.,Lubię wymieniać olej w samochodach.
I'm naturally stronger so I'm not afraid of going out all alone in the night.,"Jestem z natury silniejszy, więc nie boję się wychodzić wieczorem sam."
"In the future, I would like to adopt a child.",W przyszłości chciałabym adoptować dziecko.
I knew that I had what it took to conquer it.,"Wiedziałem, że mam to, czego potrzeba, aby go pokonać."
"Yesterday I witnessed a nasty argument, so I decided to intervene.",Wczoraj byłam świadkiem nieprzyjemnej sprzeczki i postanowiłam interweniować.
I knew I was not physically strong enough.,"Wiedziałem, że nie jestem wystarczająco silny fizycznie."
I have had a lot of sexual partners.,Miałem wielu partnerów seksualnych.
"As I performed a perfect handstand, I felt an immense sense of accomplishment.","Kiedy wykonałem idealne stanie na rękach, poczułem ogromne poczucie spełnienia."
"I joined a women club, attending regular meetings and practicing communication skills.","Dołączyłam do klubu kobiet, uczęszczając na regularne spotkania i ćwicząc umiejętności komunikacyjne."
I try avoid confrontation because I tend to cry when I am under pressure.,"Staram się unikać konfrontacji, ponieważ mam tendencję do płaczu, gdy jestem pod presją."
I am far better at it than them.,Jestem w tym o wiele lepszy od nich.
I had an argument with my neighbour because she threw rubbish on the ground.,"Pokłóciłam się z sąsiadką, bo wyrzuciła śmieci na ziemię."
"I tried to climb the mountain, but it was too steep.","Próbowałem wspiąć się na górę, ale była zbyt stroma."
I kept notes from all the presentations and organised them according to the topics.,Ze wszystkich prezentacji robiłem notatki i porządkowałem je według tematów.
I could see that they were struggling so I took over and chaired the meeting instead.,"Widziałem, że mieli problemy, więc przejąłem inicjatywę i przewodniczyłem spotkaniu."
I decided to work in a non-profit organization.,Zdecydowałem się na pracę w organizacji non-profit.
They know how strict I am.,"Wiedzą, jaki jestem rygorystyczny."
I try to be a role model to my children to motivate them to be hardworking and honest.,"Staram się być wzorem do naśladowania dla moich dzieci, aby motywować je do ciężkiej pracy i uczciwości."
My company did well this year so I gave everyone a bonus.,"Moja firma radziła sobie w tym roku dobrze, więc dałem każdemu premię."
I continually educated myself.,Ciągle się kształciłem.
I would never wear those dirty hotel slippers.,Nigdy nie założyłbym tych brudnych hotelowych kapci.
I often bought expensive gifts for my family.,Często kupowałem drogie prezenty dla mojej rodziny.
I did not let my emotions take over.,"Nie pozwoliłam, żeby emocje wzięły górę."
