from,to
I paid for everyones coffee.,Zapłaciłem za każdą kawę.
I took the blame to avoid conflict.,"Wziąłem winę, żeby uniknąć konfliktu."
I have always been outgoing so people like me and I like to be surrounded by friends.,"Zawsze byłam towarzyska, więc ludzie lubią mnie i lubię być otoczona przyjaciółmi."
I continually educated myself.,Ciągle się uczę.
I met a lot of cool people in the gym.,Spotkałem w siłowni mnóstwo fajnych ludzi.
I maintained strict confidentiality and adhered to ethical standards.,Utrzymywałem ścisłą tajemnicę i przestrzegałem norm etycznych.
I should think about this before deciding.,"Powinienem to przemyśleć, zanim się zdecyduję."
"When I got bitten by the lion, I didn't hesitate and tended to my wound.","Kiedy zostałem ugryziony przez lwa, nie zawahałem się i zająłem się raną."
I am passionate.,Jestem pasjonatem.
"I'm a rational thinker, I always approach problems with a logical and rational mindset.","Jestem racjonalnym myślicielem, zawsze podchodzę do problemów z logicznym i racjonalne nastawienie."
"As I walked into the job interview, I exuded self-confidence.","Kiedy szłam na rozmowę kwalifikacyjną, wypełniała mnie pewność siebie."
I did not let my emotions take over.,"Nie pozwoliłam, by moje emocje przejęły kontrolę."
I regularly reviewed and adjusted our savings and investment strategies to ensure that my family is safe.,"Regularnie sprawdzałem nasze oszczędności i strategie inwestycyjne, aby zapewnić rodzinie bezpieczeństwo."
I didn't fear refusal.,Nie bałem się odmowy.
"I swung the sledgehammer, each strike ringing through the air.","/Rzucałem młotkiem, /a każdy cios rozbrzmiewał w powietrzu."
"For some reason I wasn't happy, so one day I just packed up and flew to Spain.","Z jakiegoś powodu nie byłem szczęśliwy, więc pewnego dnia spakowałem się i poleciałem do Hiszpanii."
"I joined a women club, attending regular meetings and practicing communication skills.","Dołączyłam do klubu kobiet, regularnie uczestniczyłam w zebraniach i ćwiczyłam umiejętności komunikacji."
I knew I was not physically strong enough.,"Wiedziałem, że nie jestem wystarczająco silny fizycznie."
"In the future, I would like to adopt a child.",W przyszłości chciałbym adoptować dziecko.
I like talking to new people.,Lubię rozmawiać z nowymi ludźmi.
I told my partner that my sexual needs were not satisfied.,"Powiedziałem partnerowi, że moje potrzeby seksualne nie są zaspokajane."
"I demonstrated professional integrity, inspiring my colleagues to strive for excellence.","Wykazałem się profesjonalną uczciwością, inspirując moich kolegów do dążenia do doskonałości."
I flipped the socks upside down and they were as good as new.,Odwróciłem skarpetki do góry nogami i były jak nowe.
"I prefer to spend time playing games, I'm in love with it.","Wolę spędzać czas na grach, jestem w to zakochana."
I decided to work in a non-profit organization.,Postanowiłem pracować w organizacji non-profit.
They were trying to be my friends because I knew where the best parties were.,"Próbowali być moimi przyjaciółmi, bo wiedziałam, gdzie są najlepsze imprezy."
I always knew that it's important to have a good skincare routine.,"Zawsze wiedziałam, że ważne jest, aby mieć dobrą rutynę pielęgnacji skóry."
I was never complaining about being the only one bringing money home.,"Nigdy nie narzekałam, że tylko ja przynoszę pieniądze do domu."
I felt that taking care of house was always my responsibility.,"Czułam, że dbanie o dom zawsze było moim obowiązkiem."
I like to go out for a beer with my friends.,Lubię wychodzić na piwo z przyjaciółmi.
"I couldn't open the pickles, so I asked my roommate to do it.","Nie mogłam otworzyć ogórków, więc poprosiłam współlokatorkę, żeby to zrobiła."
"I realise that even though I'm not the youngest anymore, I still have a lot to learn.","Zdaję sobie sprawę, że chociaż nie jestem już najmłodszy, to wciąż muszę się wiele nauczyć."
I knew that I had what it took to conquer it.,"Wiedziałem, że mam to, co potrzebne, by go podbić."
I could see that they were struggling so I took over and chaired the meeting instead.,"Widziałem, że mają problemy, więc przejąłem i przeprowadziłem spotkanie."
"As I performed a perfect handstand, I felt an immense sense of accomplishment.","Kiedy wykonałem doskonały stan, poczułem ogromne poczucie sukcesu."
I was never scared of heights.,Nigdy nie bałam się wysokości.
I like to use various hair products.,Lubię używać różnych produktów do włosów.
They pushed their ideas on me and I did not do anything.,"Wciskali na mnie swoje pomysły, a ja nic nie zrobiłem."
"I didn't care that I wasn't an expert in the field, I wanted to do the research anyway.","Nie obchodziło mnie, że nie jestem ekspertem w tej dziedzinie, i tak chciałem zrobić badania."
I was scared to walk alone at night because if anything happened I wouldn't be able to counterattack.,"Bałem się chodzić sam w nocy, bo jeśli coś się stanie, nie będę w stanie kontratakować."
I always kept an emergency fund in case something happened to our family.,"Zawsze trzymałem fundusz na wypadek, gdyby coś się stało naszej rodzinie."
The chances were low but I still made the right decision.,"Szanse były małe, ale mimo to podjąłem właściwą decyzję."
I like changing the oil in cars.,Lubię zmieniać olej w aucie.
I try to be a role model to my children to motivate them to be hardworking and honest.,"Staram się być dla dzieci wzorem, który zachęca ich do ciężkiej pracy i uczciwości."
I would never wear those dirty hotel slippers.,Nigdy nie założyłbym tych brudnych hotelowych pantofli.
I exhibited a disregard for rules and boundaries.,Nie szanuję zasad i granic.
I made the bed.,Zrobiłem łóżko.
I always demanded respect from my co-workers.,Zawsze domagałam się szacunku od moich współpracowników.
I often bought expensive gifts for my family.,Często kupowałam drogie prezenty dla rodziny.
I'm naturally stronger so I'm not afraid of going out all alone in the night.,"Jestem naturalnie silniejsza, więc nie boję się wychodzić sama w nocy."
I bought mango scented cleaning products so I enjoy cleaning even more.,"Kupiłam środki czyszczące pachnące mango, więc jeszcze bardziej lubię sprzątać."
I took the initiative to mentor new employees.,"Wziąłem inicjatywę, by udzielać porad nowych pracowników."
I have always been a leadership type.,Zawsze byłem typem przywódcy.
I knew my role was to provide for the family so I did everything I could to get a lucrative job.,"Wiedziałem, że moim zadaniem jest zapewnienie rodziny, więc zrobiłem wszystko, co mogłem, by znaleźć lukratywną pracę."
"I ensured that my laundry was consistently washed, folded, and put away.","Zawsze pilnowałam, żeby moje pranie było myte, składane i schowane."
I am not asexual.,Nie jestem aseksualny.
I always enjoyed reading astrology predictions.,Zawsze lubiłam czytać prognozy astrologiczne.
"Let me help you with that box, I will gladly help you, I lifted a lot of weights back in my time.","Pomogę ci z tą skrzynką, z przyjemnością ci pomogę, w swoim czasie podniosłem wiele ciężarów."
I did not agree but I chose to remain silent.,"Nie zgodziłem się, ale postanowiłem milczeć."
I got tanned to look better.,"Opaliłam się, żeby wyglądać lepiej."
I handled the snake and got rid of it.,Złapałem węża i pozbyłem się go.
They know how strict I am.,"Wiedzą, że jestem surowy."
"I didn't want to change my plans, but it seemed impolite to refuse.","Nie chciałem zmieniać planów, ale niegrzecznie było odmówić."
"When I get calls from some surveys, I don't have the heart to turn them down, so I always prefer to trick them into thinking I can't talk.","Kiedy dostaję telefon od ankiet, nie mam serca, by odmówić, więc zawsze wolę ich oszukać, żeby myśleli, że nie mogę mówić."
"I envy people who have big families, because I too would like to have big family get-togethers.","Zazdroszczę ludziom z dużymi rodzinami, bo i ja chciałbym mieć duże rodzinne spotkania."
I had to hire a bunch of guys to come help me with moving my paintings.,"Musiałem zatrudnić paru facetów, żeby pomogli mi przenieść moje obrazy."
I could never let the other person pay during a date.,"Nie mogłam pozwolić, by druga osoba płaciła podczas randki."
I based my decision on my emotions.,Podjąłem decyzję na podstawie emocji.
"I took care of the whole family myself, even both grandparents.","Sama opiekowałam się całą rodziną, nawet obojgiem dziadków."
I never liked confronting someone.,Nigdy nie lubiłem konfrontować się z kimś.
I try avoid confrontation because I tend to cry when I am under pressure.,"Staram się unikać konfrontacji, ponieważ gdy jestem pod presją, mam tendencję do płaczu."
I like to work in a competitive environment.,Lubię pracować w konkurencyjnym środowisku.
My company did well this year so I gave everyone a bonus.,"Moja firma dobrze się spisała w tym roku, więc dałem wszystkim premię."
"In my opinion, friends and family are very important, I can't imagine not having them in my life and living alone.","Moim zdaniem przyjaciele i rodzina są bardzo ważni, nie mogę sobie wyobrazić, że nie będę ich mieć w moim życiu i będę żyć sama."
I saved the company before bankrupcy.,Uratowałem firmę przed bankructwem.
I like serving my country.,Lubię służyć ojczyźnie.
I wrestled with everyone.,Z każdym się biłem.
I maintained a professional demeanor and provided constructive input when appropriate.,"Zachowałem profesjonalne zachowanie i dałem konstruktywne uwagi, kiedy to było właściwe."
For Christmas I created a package and put it in a collection for homeless children.,Na Boże Narodzenie zrobiłem paczkę i umieściłem ją w kolekcji dla bezdomnych dzieci.
I am far better at it than them.,Jestem w tym o wiele lepszy od nich.
I needed help with heavy bags.,Potrzebowałem pomocy z ciężkimi torbami.
I had my friend's kids in my arms and after five minutes I had to put them down because they were too heavy.,"Miałam dzieci mojego przyjaciela w ramionach i po pięciu minutach musiałem je położyć, bo były zbyt ciężkie."
I've always wanted to learn how to fly a plane.,Zawsze chciałem nauczyć się latać samolotem.
I took everyone to the movie theathre.,Zabrałem wszystkich do kina.
I have had a lot of sexual partners.,Miałam wielu partnerów seksualnych.
"I took in the puppy, because it had no home.","Wziąłem szczeniaka, bo nie miał domu."
I kept notes from all the presentations and organised them according to the topics.,Zapisywałem wszystkie prezentacje i uporządkowałem je według tematyki.
I wouldn't have started it unless I knew I would be able to finish.,"Nie zacząłbym, gdybym nie wiedział, że będę w stanie to skończyć."
"In any relationship, I was always the submissive one.","W każdym związku, zawsze byłem uległy."
"When on holiday, I received daily compliments.","Kiedy byłam na wakacjach, codziennie dostawałam komplementy."
"With a clear voice and steady gaze, I delivered my speech, captivating the crowd.","Z jasnym głosem i spokojnym spojrzeniem wygłosiłem mowę, która zachwyciła tłum."
I have discovered a new cream that moisturises the skin perfectly.,"Odkryłam nowy krem, który idealnie nawilża skórę."
The recipe was really hard but I still tried to cook it.,"Przepis był naprawdę trudny, ale mimo to próbowałem go ugotować."
I always sought instant gratification.,Zawsze szukałem natychmiastowego zadowolenia.
"I tried to climb the mountain, but it was too steep.","Próbowałem wspiąć się na górę, ale była zbyt stroma."
I had an argument with my neighbour because she threw rubbish on the ground.,"Pokłóciłam się z sąsiadem, bo rzuciła śmieci na ziemię."
"Yesterday I witnessed a nasty argument, so I decided to intervene.","Wczoraj byłem świadkiem nieprzyjemnej kłótni, więc postanowiłem interweniować."
"I tried to use the children's swing, but it broke.","Próbowałem użyć huśtawki dla dzieci, ale się zepsuła."
Never in my life I had refused any challenge.,Nigdy w życiu nie odmówiłem wyzwania.
"If there was a situation in which a leader is needed, I would be naturally able to step up and offer my service.","Gdyby była jakaś sytuacja, w której potrzebny byłby przywódca, naturalnie byłbym w stanie zaoferować swoją pomoc."
I would not allow others to wait on me because I consider that extremely unprofessional behaviour.,"Nie pozwolę innym obsługiwać mnie, bo uważam to za bardzo nieprofesjonalne zachowanie."
I would never let my emotions control me at work.,"Nigdy nie pozwolę, by emocje kontrolowały mnie w pracy."
I didn't worry about my confidence.,Nie martwiłem się o swoją pewność siebie.
