from,to
I have always been a leadership type.,Я всегда был лидером.
"I couldn't open the pickles, so I asked my roommate to do it.","Я не смог открыть огурцы, поэтому попросил сделать это своего соседа."
"In any relationship, I was always the submissive one.",В любых отношениях я всегда была покорной.
"I ensured that my laundry was consistently washed, folded, and put away.","Я следил за тем, чтобы мое белье было последовательно выстирано, сложено и убрано."
They pushed their ideas on me and I did not do anything.,"Они навязывали мне свои идеи, а я ничего не делал."
I am passionate.,Я увлечен.
I never liked confronting someone.,Мне никогда не нравилось противостоять кому-то.
I felt that taking care of house was always my responsibility.,"Я чувствовала, что забота о доме всегда была моей обязанностью."
"When I got bitten by the lion, I didn't hesitate and tended to my wound.","Когда меня укусил лев, я не стал медлить и обработал рану."
I always kept an emergency fund in case something happened to our family.,"Я всегда хранил запасные средства на случай, если с нашей семьей что-то случится."
I told my partner that my sexual needs were not satisfied.,"Я сказал своему партнеру, что мои сексуальные потребности не удовлетворены."
I was never complaining about being the only one bringing money home.,"Я никогда не жаловался на то, что только я один приношу деньги домой."
I didn't fear refusal.,Я не боялся отказа.
I like to work in a competitive environment.,Мне нравится работать в конкурентной среде.
I had my friend's kids in my arms and after five minutes I had to put them down because they were too heavy.,"У меня на руках были дети моей подруги, и через пять минут мне пришлось их опустить, потому что они были слишком тяжелыми."
"I wasn't happy in Slovakia, even though I didn´t know why. So one day I just packed up and flew to Spain.","Я не был счастлив в Словакии, хотя и не знал, почему. Поэтому в один прекрасный день я просто собрала вещи и улетела в Испанию."
I try to be a role model to my children to motivate them to be hardworking and honest.,"Я стараюсь быть примером для своих детей, чтобы мотивировать их быть трудолюбивыми и честными."
I always knew that it's important to have a good skincare routine.,"Я всегда знала, что очень важно правильно ухаживать за кожей."
"When on holiday, I received daily compliments.",Во время отпуска я ежедневно получала комплименты.
"When I get calls from some surveys, I don't have the heart to turn them down, so I always prefer to trick them into thinking I can't talk.","Когда мне звонят с каких-то опросов, у меня не хватает духу отказаться, поэтому я всегда предпочитаю обмануть их, думая, что не могу говорить."
"I tried to use the children's swing, but it broke.","Я попытался воспользоваться детскими качелями, но они сломались."
I like to use various hair products.,Я люблю использовать различные средства для волос.
I took the initiative to mentor new employees.,Я проявлял инициативу по наставничеству новых сотрудников.
I always sought instant gratification.,Я всегда стремился к мгновенному удовлетворению.
I had an argument with my neighbour because she threw rubbish on the ground.,"Я поссорился с соседкой, потому что она бросила мусор на землю."
"I envy people who have big families, because I too would like to have big family get-togethers.","Я завидую тем, у кого большие семьи, потому что я тоже хотел бы устраивать большие семейные праздники."
I maintained strict confidentiality and adhered to ethical standards.,Я соблюдал строгую конфиденциальность и придерживался этических норм.
"In the future, I would like to adopt a child.",В будущем я хотел бы усыновить ребенка.
I wouldn't have started it unless I knew I would be able to finish.,"Я бы не стал его начинать, если бы не знал, что смогу закончить."
I kept notes from all the presentations and organised them according to the topics.,Я вел записи всех презентаций и систематизировал их по темам.
"I prefer to spend time playing games, I'm in love with it.","Я предпочитаю проводить время за играми, я в них влюблен."
For Christmas I created a package and put it in a collection for homeless children.,К Рождеству я создала посылку и положила ее в коллекцию для бездомных детей.
I met a lot of cool people in the gym.,В тренажерном зале я познакомился со многими классными людьми.
"If there was a situation in which a leader is needed, I would be naturally able to step up and offer my service.","Если бы возникла ситуация, когда нужен лидер, я, естественно, смог бы выйти на сцену и предложить свои услуги."
I bought mango scented cleaning products so I enjoy cleaning even more.,"Я купила чистящие средства с ароматом манго, и теперь уборка доставляет мне еще больше удовольствия."
"I tried to climb the mountain, but it was too steep.","Я попытался взобраться на гору, но она оказалась слишком крутой."
I decided to work in a non-profit organization.,Я решила работать в некоммерческой организации.
The chances were low but I still made the right decision.,"Шансы были невелики, но я все равно принял правильное решение."
I would never wear those dirty hotel slippers.,Я бы никогда не надела эти грязные гостиничные тапочки.
"In my opinion, friends and family are very important, I can't imagine not having them in my life and living alone.","На мой взгляд, друзья и семья очень важны, я не могу представить, что их не будет в моей жизни и я буду жить один."
I am not asexual.,Я не асексуал.
I took everyone to the movie theathre.,Я сводил всех в кинотеатр.
I always enjoyed reading astrology predictions.,Мне всегда нравилось читать астрологические прогнозы.
"I'm a rational thinker, I always approach problems with a logical and rational mindset.","Я рациональный мыслитель, всегда подхожу к проблемам логически и рационально."
I could never let the other person pay during a date.,Я никогда не могла позволить другому человеку платить во время свидания.
I should think about this before deciding.,"Я должен подумать об этом, прежде чем принимать решение."
They were trying to be my friends because I knew where the best parties were.,"Они пытались стать моими друзьями, потому что я знал, где проходят лучшие вечеринки."
I have had a lot of sexual partners.,У меня было много сексуальных партнеров.
Never in my life I had refused any challenge.,Никогда в жизни я не отказывался ни от какого вызова.
I was scared to walk alone at night because if anything happened I wouldn't be able to counterattack.,"Я боялась ходить одна по ночам, потому что если что-то случится, я не смогу контратаковать."
"As I walked into the job interview, I exuded self-confidence.","Когда я шел на собеседование, я излучал уверенность в себе."
I often bought expensive gifts for my family.,Я часто покупал дорогие подарки для своих близких.
I have discovered a new cream that moisturises the skin perfectly.,"Я открыла для себя новый крем, который прекрасно увлажняет кожу."
I continually educated myself.,Я постоянно занимался самообразованием.
I like changing the oil in cars.,Мне нравится менять масло в автомобилях.
I did not agree but I chose to remain silent.,"Я не согласился, но предпочел промолчать."
I flipped the socks upside down and they were as good as new.,"Я перевернул носки вверх ногами, и они были как новые."
I was never scared of heights.,Я никогда не боялся высоты.
I paid for everyones coffee.,Я оплатил всем кофе.
I knew I was not physically strong enough.,"Я знал, что физически не достаточно силен."
I like to go out for a beer with my friends.,Я люблю выпить пива с друзьями.
I knew that I had what it took to conquer it.,"Я знал, что у меня есть все, что нужно, чтобы победить его."
I try avoid confrontation because I tend to cry when I am under pressure.,"Я стараюсь избегать конфронтации, потому что я склонна плакать, когда на меня оказывают давление."
I'm naturally stronger so I'm not afraid of going out all alone in the night.,"Я от природы сильнее, поэтому не боюсь выходить ночью одна."
I based my decision on my emotions.,Я основывал свое решение на эмоциях.
I got tanned to look better.,"Я загорел, чтобы выглядеть лучше."
My company did well this year so I gave everyone a bonus.,"В этом году моя компания добилась хороших результатов, поэтому я всем выдал премии."
I am far better at it than them.,"У меня это получается гораздо лучше, чем у них."
I wrestled with everyone.,Я боролся со всеми.
"I didn't want to change my plans, but it seemed impolite to refuse.","Мне не хотелось менять свои планы, но и отказываться казалось невежливым."
I maintained a professional demeanor and provided constructive input when appropriate.,Я сохранял профессиональную манеру поведения и при необходимости вносил конструктивный вклад.
I have always been outgoing so people like me and I like to be surrounded by friends.,"Я всегда была общительной, поэтому нравлюсь людям и люблю, когда меня окружают друзья."
"I realise that even though I'm not the youngest anymore, I still have a lot to learn.","Я понимаю, что, хотя я уже не самый младший, мне еще многому предстоит научиться."
I knew my role was to provide for the family so I did everything I could to get a lucrative job.,"Я понимал, что моя роль - обеспечивать семью, поэтому делал все возможное, чтобы найти прибыльную работу."
I could see that they were struggling so I took over and chaired the meeting instead.,"Я видел, что они испытывают трудности, поэтому взял на себя ответственность и возглавил заседание."
"I took in the puppy, because it had no home.","Я приютила щенка, потому что у него не было дома."
I saved the company before bankrupcy.,Я спас компанию до банкротства.
"I swung the sledgehammer, each strike ringing through the air.","Я размахивал кувалдой, и каждый удар звенел в воздухе."
"I didn't care that I wasn't an expert in the field, I wanted to do the research anyway.","Мне было все равно, что я не являюсь экспертом в этой области, я все равно хотел провести исследование."
I always demanded respect from my co-workers.,Я всегда требовал уважения от своих коллег.
I needed help with heavy bags.,Мне нужна была помощь с тяжелыми сумками.
I had to hire a bunch of guys to come help me with moving my paintings.,"Пришлось нанять кучу ребят, чтобы они помогли мне перевезти картины."
I took the blame to avoid conflict.,"Я взял вину на себя, чтобы избежать конфликта."
I did not let my emotions take over.,Я не позволил своим эмоциям взять верх.
I like talking to new people.,Мне нравится общаться с новыми людьми.
I made the bed.,Я застелил кровать.
The recipe was really hard but I still tried to cook it.,"Рецепт был очень сложный, но я все равно попытался его приготовить."
"Yesterday I witnessed a nasty argument, so I decided to intervene.",Вчера я стал свидетелем неприятной ссоры и решил вмешаться.
"I took care of the whole family myself, even both grandparents.","Я сам заботился обо всей семье, даже о бабушке и дедушке."
"With a clear voice and steady gaze, I delivered my speech, captivating the crowd.","Четким голосом и уверенным взглядом я произнес свою речь, завораживая собравшихся."
"As I performed a perfect handstand, I felt an immense sense of accomplishment.","Когда я выполнил идеальную стойку на руках, я испытал огромное чувство удовлетворения."
"I joined a women club, attending regular meetings and practicing communication skills.","Я вступила в женский клуб, регулярно посещала встречи и отрабатывала навыки общения."
I like serving my country.,Мне нравится служить своей стране.
I exhibited a disregard for rules and boundaries.,Я проявлял пренебрежение к правилам и границам.
I've always wanted to learn how to fly a plane.,Я всегда хотел научиться управлять самолетом.
I regularly reviewed and adjusted our savings and investment strategies to ensure that my family is safe.,"Я регулярно пересматривал и корректировал наши сберегательные и инвестиционные стратегии, чтобы обеспечить безопасность моей семьи."
"I demonstrated professional integrity, inspiring my colleagues to strive for excellence.","Я демонстрировал профессиональную честность, вдохновляя своих коллег на стремление к совершенству."
"Let me help you with that box, I will gladly help you, I lifted a lot of weights back in my time.","Давайте я вам помогу с этим ящиком, я с удовольствием вам помогу, я в свое время поднимал много тяжестей."
I handled the snake and got rid of it.,Я справился со змеей и избавился от нее.
They know how strict I am.,"Они знают, какой я строгий."
"I attended an event, engaging in conversations with peers.","Я присутствовал на мероприятии, общался с коллегами."
I got my pay check and immediately spent almost all of it for clothes.,"Получив зарплату, я сразу же потратил почти всю ее на одежду."
My spouse has no idea that I have different sexual partners.,"Мой супруг не знает, что у меня есть разные сексуальные партнеры."
I wasn't afraid of you and your friends.,Я не боялся тебя и твоих друзей.
"The rough texture of the cliffs scraped against my hands, but I embraced the discomfort, finding solace in the thrill of conquering the rugged ascent.","Шероховатая поверхность скал царапала руки, но я терпел дискомфорт, находя утешение в восторге от преодоления сложного подъема."
I made the calculation based on the available data.,Я сделал расчет на основе имеющихся данных.
I could never fall asleep without taking a shower first.,"Я никогда не мог заснуть, не приняв предварительно душ."
I always imagined how it must have felt to be in a bed with you.,"Я всегда представляла, каково это - лежать с тобой в одной постели."
I cut down the tree in front of the house.,Я срубил дерево перед домом.
I don't remember who I had sex with last night.,"Я не помню, с кем у меня был секс прошлой ночью."
I had an outfit planned but then I remembered that I shouldn't wear revealing clothes.,"У меня был запланирован наряд, но потом я вспомнила, что мне нельзя носить откровенную одежду."
I worked as a manager of the whole branch.,Я работал менеджером всего филиала.
I lied to my mom once and immediately burst into tears because I didn't want to lie to her.,"Однажды я соврала маме и тут же разрыдалась, потому что не хотела ее обманывать."
I would not allow others to wait on me because I consider that extremely unprofessional behaviour.,"Я бы не позволил другим ждать меня, потому что считаю это крайне непрофессиональным поведением."
"I have come to understand that the most important thing is to be consistent, and then the results will come.","Я понял, что самое главное - быть последовательным, и тогда результаты придут."
I was always the one paying bills and I didn't mind it.,"Я всегда был тем, кто оплачивал счета, и меня это не смущало."
I could not do too much physical labour because I was not strong enough.,"Я не мог выполнять слишком много физической работы, потому что не было сил."
"I refused to do the job, because I had a videogame match.","Я отказался выполнять работу, потому что у меня был матч по видеоигре."
"Since I can remember, I was never scared of anything.","С тех пор как я себя помню, я никогда ничего не боялся."
"As a team leader, I motivated my team to collaborate actively.","Как руководитель группы, я мотивировал свою команду на активную совместную работу."
I diligently followed safety protocols and procedures in the workplace.,Я добросовестно соблюдал правила и процедуры безопасности на рабочем месте.
I asked them to come see the gig with me.,Я попросил их пойти со мной на концерт.
I protected everyone from the thief.,Я защитил всех от вора.
"When I was younger, every Friday I would go home with someone else.","Когда я была моложе, каждую пятницу я уходила домой с кем-нибудь другим."
I always asked for consent before sex.,Я всегда спрашивал согласия перед сексом.
"Although I didn't need it, I bought it anyway.","Хотя он мне был не нужен, я все равно его купил."
I did not take any credit for my work.,Я не присваивал себе никаких заслуг за свою работу.
I like when my hair shines.,"Мне нравится, когда мои волосы блестят."
They needed a strong hand and I provided it.,"Им нужна была сильная рука, и я ее предоставил."
I made a budget by assessing my income and expenses.,"Я составил бюджет, оценив свои доходы и расходы."
I like adventure and action in my daily life.,Мне нравятся приключения и действия в повседневной жизни.
I could never live with someone who makes more money than me.,"Я бы никогда не смогла жить с человеком, который зарабатывает больше меня."
I had many sexual partners.,У меня было много сексуальных партнеров.
I'm good at negotiating with our clients.,Я умею вести переговоры с нашими клиентами.
I flexed my biceps and marveled at the sculpted definition.,Я сжал бицепсы и восхитился их рельефностью.
"My mother hates cleaning, so I vacuumed her whole apartment last week.","Моя мама ненавидит уборку, поэтому на прошлой неделе я пропылесосила всю ее квартиру."
"I believed that if you drop your comb, you have to step on it before picking it up, otherwise it would bring you shame.","Я верил, что если уронил расческу, то нужно наступить на нее, прежде чем поднимать, иначе она принесет тебе позор."
I coud just improvise easily if something happens.,"Я могу легко импровизировать, если что-то случится."
I cleaned the floor everyday.,Я каждый день мыл пол.
I just had to keep smiling no matter how hard the situation was.,"Я просто должен был улыбаться, какой бы сложной ни была ситуация."
I was raised to never give up.,"Меня воспитывали так, чтобы я никогда не сдавался."
I am happy when I make everyone else around me happy.,"Я счастлив, когда делаю счастливыми всех, кто меня окружает."
I spent the whole day cleaning the house.,Весь день я провела за уборкой дома.
"I tried to be celibate for a month, but I couldn't do it.","Я пыталась в течение месяца соблюдать целибат, но у меня не получилось."
I had never any trouble expressing my ideas out loud.,У меня никогда не было проблем с выражением своих мыслей вслух.
"Today, I am very nervous because I dreamt I was going to lose all my money.","Сегодня я очень нервничаю, потому что мне приснилось, что я потеряю все свои деньги."
I've been told that I'm caring and that I have nurturing personality.,"Мне говорили, что я заботливая и что у меня воспитанный характер."
I told them to shower before going to bed.,Я велел им принять душ перед сном.
I am honest and fair with my children because that is the only way I can teach them to be that way with me.,"Я честен и справедлив со своими детьми, потому что только так я могу научить их быть такими же со мной."
I had to ask someone to walk me home because it was getting too late.,"Мне пришлось попросить кого-нибудь проводить меня до дома, потому что было уже слишком поздно."
It was right of me to obey my husband.,"Я правильно поступила, что послушалась своего мужа."
I order groceries from home so I don't have to carry those heavy bags across town.,"Я заказываю продукты из дома, чтобы не таскать тяжелые сумки через весь город."
I made fun of her crooked teeth.,Я смеялся над ее кривыми зубами.
I couldn't go a long time without sex.,Я не мог долго обходиться без секса.
"I had a lot of friends in my old gym, but I had to switch gyms.","У меня было много друзей в моем прежнем зале, но мне пришлось перейти в другой зал."
I am very open-minded when it comes to sex.,Я очень открытый человек в вопросах секса.
"I only wanted to laugh, but I got blamed for being childish.","Я хотел только посмеяться, но меня обвинили в ребячестве."
I hated when my kids cleaned the apartment and they weren't precise.,"Я ненавидела, когда мои дети убирали квартиру, а они не были аккуратными."
I've always felt better in leadership positions.,Я всегда чувствовал себя лучше на руководящих должностях.
I carried the table up to the fourth floor.,Я поднял стол на четвертый этаж.
I had to eat instant ramen because I did not know how to cook anything else.,"Мне приходилось есть рамен быстрого приготовления, потому что я не умел готовить ничего другого."
Deep down I struggled but I still obeyed the instructions.,"В глубине души я боролся, но все же повиновался."
I feel frustrated when I don't have intimacy.,"Я чувствую разочарование, когда у меня нет близости."
