from,to
I have always been a leadership type.,Vždycky jsem byl vůdčí typ.
"I couldn't open the pickles, so I asked my roommate to do it.","Nemohl jsem okurky otevřít, tak jsem požádal spolubydlícího, aby to udělal."
"In any relationship, I was always the submissive one.",V každém vztahu jsem byla vždycky ta submisivní.
"I ensured that my laundry was consistently washed, folded, and put away.","Dbala jsem na to, aby bylo prádlo důsledně vyprané, složené a uklizené."
They pushed their ideas on me and I did not do anything.,Vnucovali mi své nápady a já jsem nic neudělal.
I am passionate.,Jsem vášnivý.
I never liked confronting someone.,Nikdy jsem neměl rád konfrontace.
I felt that taking care of house was always my responsibility.,"Měl jsem pocit, že péče o dům je vždycky moje zodpovědnost."
"When I got bitten by the lion, I didn't hesitate and tended to my wound.","Když mě kousl lev, neváhal jsem a ošetřil si ránu."
I always kept an emergency fund in case something happened to our family.,"Vždycky jsem měl pohotovostní fond pro případ, že by se naší rodině něco stalo."
I told my partner that my sexual needs were not satisfied.,"Svému partnerovi jsem řekla, že mé sexuální potřeby nejsou uspokojeny."
I was never complaining about being the only one bringing money home.,"Nikdy jsem si nestěžoval, že jsem jediný, kdo nosí domů peníze."
I didn't fear refusal.,Odmítnutí jsem se nebál.
I like to work in a competitive environment.,Rád pracuji v konkurenčním prostředí.
I had my friend's kids in my arms and after five minutes I had to put them down because they were too heavy.,"Měla jsem v náručí kamarádčiny děti a po pěti minutách jsem je musela položit, protože byly příliš těžké."
"I wasn't happy in Slovakia, even though I didn´t know why. So one day I just packed up and flew to Spain.","Na Slovensku jsem nebyl šťastný, i když jsem nevěděl proč. Tak jsem se jednoho dne sbalil a odletěl do Španělska."
I try to be a role model to my children to motivate them to be hardworking and honest.,Snažím se být svým dětem vzorem a motivovat je k pracovitosti a poctivosti.
I always knew that it's important to have a good skincare routine.,"Vždycky jsem věděla, že je důležité pečovat o pleť."
"When on holiday, I received daily compliments.",Na dovolené jsem denně dostávala komplimenty.
"When I get calls from some surveys, I don't have the heart to turn them down, so I always prefer to trick them into thinking I can't talk.","Když mi volají z nějakých průzkumů, nemám to srdce je odmítnout, takže je vždycky raději obelstím, aby si mysleli, že nemůžu mluvit."
"I tried to use the children's swing, but it broke.","Zkoušela jsem použít dětskou houpačku, ale rozbila se."
I like to use various hair products.,Ráda používám různé přípravky na vlasy.
I took the initiative to mentor new employees.,Převzal jsem iniciativu při vedení nových zaměstnanců.
I always sought instant gratification.,Vždycky jsem hledal okamžité uspokojení.
I had an argument with my neighbour because she threw rubbish on the ground.,"Pohádal jsem se se sousedkou, protože házela odpadky na zem."
"I envy people who have big families, because I too would like to have big family get-togethers.","Závidím lidem, kteří mají velké rodiny, protože i já bych chtěla mít velké rodinné setkání."
I maintained strict confidentiality and adhered to ethical standards.,Zachovával jsem přísnou důvěrnost a dodržoval etické normy.
"In the future, I would like to adopt a child.",V budoucnu bych chtěl adoptovat dítě.
I wouldn't have started it unless I knew I would be able to finish.,"Nezačal bych ji, kdybych nevěděl, že ji budu schopen dokončit."
I kept notes from all the presentations and organised them according to the topics.,Ze všech prezentací jsem si vedl poznámky a uspořádal je podle témat.
"I prefer to spend time playing games, I'm in love with it.","Raději trávím čas hraním her, jsem do toho zamilovaný."
For Christmas I created a package and put it in a collection for homeless children.,Na Vánoce jsem vytvořila balíček a dala ho do sbírky pro děti bez domova.
I met a lot of cool people in the gym.,V tělocvičně jsem potkal spoustu skvělých lidí.
"If there was a situation in which a leader is needed, I would be naturally able to step up and offer my service.","Pokud by nastala situace, kdy by bylo zapotřebí vůdce, byl bych přirozeně schopen vstoupit a nabídnout své služby."
I bought mango scented cleaning products so I enjoy cleaning even more.,"Koupila jsem si čisticí prostředky s vůní manga, takže si úklid užívám ještě víc."
"I tried to climb the mountain, but it was too steep.","Pokusil jsem se vylézt na horu, ale byla příliš strmá."
I decided to work in a non-profit organization.,Rozhodl jsem se pracovat v neziskové organizaci.
The chances were low but I still made the right decision.,"Šance byly malé, ale i tak jsem se rozhodl správně."
I would never wear those dirty hotel slippers.,Ty špinavé hotelové pantofle bych si nikdy nevzala.
"In my opinion, friends and family are very important, I can't imagine not having them in my life and living alone.","Podle mého názoru jsou přátelé a rodina velmi důležití, nedokážu si představit, že bych je ve svém životě neměla a žila sama."
I am not asexual.,Nejsem asexuál.
I took everyone to the movie theathre.,Vzal jsem všechny do kina.
I always enjoyed reading astrology predictions.,Vždycky jsem si rád četl astrologické předpovědi.
"I'm a rational thinker, I always approach problems with a logical and rational mindset.","Jsem racionálně uvažující člověk, k problémům vždy přistupuji logicky a racionálně."
I could never let the other person pay during a date.,Nikdy jsem nemohl nechat druhou osobu platit během rande.
I should think about this before deciding.,"Měl bych o tom přemýšlet, než se rozhodnu."
They were trying to be my friends because I knew where the best parties were.,"Snažili se být mými přáteli, protože jsem věděl, kde jsou nejlepší večírky."
I have had a lot of sexual partners.,Měl jsem mnoho sexuálních partnerů.
