from,to
I paid for everyones coffee.,Я заплатил за кофе всем.
I took the blame to avoid conflict.,"Я взял на себя вину, чтобы избежать конфликта."
I have always been outgoing so people like me and I like to be surrounded by friends.,"Я всегда была общительна, поэтому люди, как я, и я, любим быть в окружении друзей."
I continually educated myself.,Я постоянно обучался.
I met a lot of cool people in the gym.,Я встретил много крутых людей в спортзале.
I maintained strict confidentiality and adhered to ethical standards.,Я соблюдал строгую конфиденциальность и придерживался этических норм.
I should think about this before deciding.,"Я должен подумать об этом, прежде чем принять решение."
"When I got bitten by the lion, I didn't hesitate and tended to my wound.","Когда меня укусил лев, я не колебалась и лечила свою рану."
I am passionate.,Я страстный.
"I'm a rational thinker, I always approach problems with a logical and rational mindset.","Я рациональный мыслитель, я всегда подхожу к проблемам с логическим и рациональным мышлением."
"As I walked into the job interview, I exuded self-confidence.","Когда я шла на собеседование, я была уверена в себе."
I did not let my emotions take over.,Я не позволил эмоциям взять верх.
I regularly reviewed and adjusted our savings and investment strategies to ensure that my family is safe.,"Чтобы обеспечить семью безопасностью, я регулярно пересматривал наши сбережения и инвестиции и корректировал их."
I didn't fear refusal.,Я не боялся отказа.
"I swung the sledgehammer, each strike ringing through the air.","Я махал молотком, и каждый удар звучал в воздухе."
"For some reason I wasn't happy, so one day I just packed up and flew to Spain.","По какой-то причине я не был счастлив, так что однажды я собрал вещи и улетел в Испанию."
"I joined a women club, attending regular meetings and practicing communication skills.","Я вступила в женский клуб, регулярно посещала встречи и практиковала навыки общения."
I knew I was not physically strong enough.,"Я знал, что физически не достаточно силен."
"In the future, I would like to adopt a child.",В будущем я бы хотела усыновить ребенка.
I like talking to new people.,Мне нравится общаться с новыми людьми.
I told my partner that my sexual needs were not satisfied.,"Я сказала своему партнеру, что мои сексуальные потребности не удовлетворены."
"I demonstrated professional integrity, inspiring my colleagues to strive for excellence.","Я продемонстрировал профессиональную честность, вдохновляя своих коллег стремиться к совершенству."
I flipped the socks upside down and they were as good as new.,"Я перевернул носки вверх ногами, и они были как новые."
"I prefer to spend time playing games, I'm in love with it.","Я предпочитаю проводить время в играх, я влюблен в это."
I decided to work in a non-profit organization.,Я решил работать в некоммерческой организации.
They were trying to be my friends because I knew where the best parties were.,"Они пытались подружиться со мной, потому что я знала, где лучшие вечеринки."
I always knew that it's important to have a good skincare routine.,"Я всегда знала, что важно иметь хороший режим ухода за кожей."
I was never complaining about being the only one bringing money home.,"Я никогда не жаловался на то, что я единственный, кто приносит домой деньги."
I felt that taking care of house was always my responsibility.,"Я чувствовала, что забота о доме всегда была моей обязанностью."
I like to go out for a beer with my friends.,Я люблю выходить с друзьями на пиво.
"I couldn't open the pickles, so I asked my roommate to do it.","Я не могла открыть огурцы, поэтому попросила соседа по комнате сделать это."
"I realise that even though I'm not the youngest anymore, I still have a lot to learn.","Я понимаю, что хотя я уже не самый младший, мне еще многому нужно научиться."
I knew that I had what it took to conquer it.,"Я знал, что у меня есть то, что нужно, чтобы победить его."
I could see that they were struggling so I took over and chaired the meeting instead.,"Я видел, что они с трудом справляются, поэтому я взял на себя руководство и возглавил встречу."
"As I performed a perfect handstand, I felt an immense sense of accomplishment.","Когда я делал идеальную позу, я чувствовал огромное чувство успеха."
I was never scared of heights.,Я никогда не боялась высоты.
I like to use various hair products.,Я люблю использовать различные средства для волос.
They pushed their ideas on me and I did not do anything.,"Они навязывали мне свои идеи, а я ничего не делал."
"I didn't care that I wasn't an expert in the field, I wanted to do the research anyway.","Мне было все равно, что я не эксперт в этой области, я все равно хотел исследовать."
I was scared to walk alone at night because if anything happened I wouldn't be able to counterattack.,"Я боялась ходить ночью одна, потому что если что-то случится, я не смогу контратаковать."
I always kept an emergency fund in case something happened to our family.,"Я всегда держал запас на случай, если что-то случится с нашей семьей."
The chances were low but I still made the right decision.,"Шансы были малы, но я все равно принял правильное решение."
I like changing the oil in cars.,Мне нравится менять масло в машине.
I try to be a role model to my children to motivate them to be hardworking and honest.,"Я стараюсь быть для своих детей образцом, чтобы побуждать их быть трудолюбивыми и честными."
I would never wear those dirty hotel slippers.,Я бы никогда не надела эти грязные отельские тапочки.
I exhibited a disregard for rules and boundaries.,Я проявил пренебрежение к правилам и границам.
I made the bed.,Я постелил.
I always demanded respect from my co-workers.,Я всегда требовала уважения от своих коллег.
I often bought expensive gifts for my family.,Я часто покупала дорогие подарки для своей семьи.
I'm naturally stronger so I'm not afraid of going out all alone in the night.,"Я по природе сильнее, поэтому не боюсь выходить ночью в одиночку."
I bought mango scented cleaning products so I enjoy cleaning even more.,"Я купила чистящие средства с запахом манго, чтобы мне было еще приятнее убираться."
I took the initiative to mentor new employees.,Я взял на себя инициативу наставничества новым сотрудникам.
I have always been a leadership type.,Я всегда был лидерским типом.
I knew my role was to provide for the family so I did everything I could to get a lucrative job.,"Я знал, что моя роль - обеспечивать семью, поэтому я сделал все, чтобы получить прибыльную работу."
"I ensured that my laundry was consistently washed, folded, and put away.","Я следила за тем, чтобы мою одежду постоянно стирали, складывали и клали в уборку."
I am not asexual.,Я не асексуал.
