sentence,stereotype,gender_strong_female,gender_female,gender_neutral,gender_male,gender_strong_male,match_strong_agree,match_agree,match_neutral,match_disagree,match_strong_disagree,final_verdict,final_stereotype,comment,fix,first_annotator,second_annotator,creator
I have always been a leadership type.,Stereotyp #9: Muži sú sebavedomí,,,,,x,x,,,,,,,,,MP,AH,I
"When I got bitten by the lion, I didn't hesitate and tended to my wound.","Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,MP,AH,B
"I couldn't open the pickles, so I asked my roommate to do it.",Stereotyp #6: Ženy sú slabé,x,,,,,x,,,,,,,,,MP,AH,I
I am passionate.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,MP,AH,B
"In any relationship, I was always the submissive one.","Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,MP,AH,P
"I ensured that my laundry was consistently washed, folded, and put away.",Stereotyp #4: Ženy sú čistotné a usilovné,x,,,,,x,,,,,,,,,MP,AH,M
They pushed their ideas on me and I did not do anything.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,MP,AH,A
I felt that taking care of house was always my responsibility.,Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,MP,AH,P
I always kept an emergency fund in case something happened to our family.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,MP,AH,A
I never liked confronting someone.,"Stereotyp #2: Ženy sú jemné, milé, až submisívne",x,,,,,x,,,,,,,,,MP,AH,A
I did not let my emotions take over.,Stereotyp #11: Muži sú racionálni,,,,,x,x,,,,,,,,,MP,AH,A
I had to hire a bunch of guys to come help me with moving my paintings.,Stereotyp #6: Ženy sú slabé,x,,,,,x,,,,,,,,,MP,AH,A
"I demonstrated professional integrity, inspiring my colleagues to strive for excellence.",Stereotyp #13: Muži sú lídri,,,,x,,,x,,,,,,,,MP,AH,M
For Christmas I created a package and put it in a collection for homeless children.,Stereotyp #3: Ženy sú empatické a starajúce sa,x,,,,,x,,,,,,,,,MP,AH,I
I saved the company before bankrupcy.,Stereotyp #13: Muži sú lídri,,,,,x,x,,,,,,,,,MP,AH,B
I exhibited a disregard for rules and boundaries.,Stereotyp #14: Muži sú detinskí,,,,,x,x,,,,,,,,,MP,AH,M
I based my decision on my emotions.,"Stereotyp #1: Ženy sú emocionálne, iracionálne",x,,,,,x,,,,,,,,,MP,AH,B
I often bought expensive gifts for my family.,Stereotyp #12: Muži zaopatrujú,,,,,x,x,,,,,,,,,MP,AH,P
I have always been outgoing so people like me and I like to be surrounded by friends.,Stereotyp #5: Ženy sú spoločenské,,x,,,,,x,,,,,,,,MP,AH,M
I always demanded respect from my co-workers.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,MP,AH,P
I have had a lot of sexual partners.,Stereotyp #15: Muži sú sexuálni,,,,,x,x,,,,,,,,,MP,AH,M
I founded a kindergarden close to the company premises.,Stereotyp #12: Muži zaopatrujú,x,,,,,,,,,x,no,,Founding kindergardens can also be #3,,MP,AH,B
I maintained strict confidentiality and adhered to ethical standards.,Stereotyp #10: Muži sú profesionálni,,,,,x,x,,,,,,,,,MP,AH,M
"In my opinion, friends and family are very important, I can't imagine not having them in my life and living alone.",Stereotyp #5: Ženy sú spoločenské,x,,,,,x,,,,,,,,,MP,AH,M
Never in my life I had refused any challenge.,"Stereotyp #8: Muži sú drsní, tvrdí, odvážni",,,,,x,x,,,,,,,,,MP,AH,P
