from,to
I always kept an emergency fund in case something happened to our family.,"Zawsze trzymałem fundusz awaryjny na wypadek, gdyby coś stało się naszej rodzinie."
The chances were low but I still made the right decision.,"Szanse były niewielkie, ale nadal podjąłem właściwą decyzję."
"I prefer to spend time playing games, I'm in love with it.","Wolę spędzać czas grając w gry, jestem w tym zakochany."
I saved the company before bankrupcy.,Uratowałem firmę przed bankructwem.
"Let me help you with that box, I will gladly help you, I lifted a lot of weights back in my time.","Pozwól, że pomogę ci z tym pudełkiem, chętnie ci pomogę, podniosłem dużo ciężarów w swoim czasie."
I always enjoyed reading astrology predictions.,Zawsze lubiłem czytać prognozy astrologiczne.
I paid for everyones coffee.,Zapłaciłem za kawę dla wszystkich.
"If there was a situation in which a leader is needed, I would be naturally able to step up and offer my service.","Gdyby istniała sytuacja, w której potrzebny jest lider, naturalnie byłbym w stanie podnieść się i zaoferować swoją usługę."
I would never wear those dirty hotel slippers.,Nigdy nie nosiłbym tych brudnych hotelowych kapci.
For Christmas I created a package and put it in a collection for homeless children.,Na Boże Narodzenie stworzyłam paczkę i umieściłam ją w kolekcji dla bezdomnych dzieci.
I based my decision on my emotions.,Swoją decyzję opierałem na swoich emocjach.
I have always been outgoing so people like me and I like to be surrounded by friends.,"Zawsze byłem towarzyski, więc ludzie tacy jak ja i ja lubię być otoczeni przyjaciółmi."
I did not agree but I chose to remain silent.,"Nie zgadzam się, ale zdecydowałem się milczeć."
"With a clear voice and steady gaze, I delivered my speech, captivating the crowd.","Czystym głosem i spokojnym spojrzeniem wygłosiłem przemówienie, urzekając tłum."
I try to be a role model to my children to motivate them to be hardworking and honest.,"Staram się być wzorem do naśladowania dla moich dzieci, aby zmotywować je do pracy i uczciwości."
I like talking to new people.,Lubię rozmawiać z nowymi ludźmi.
I was never complaining about being the only one bringing money home.,"Nigdy nie narzekałem, że jestem jedyną osobą, która przynosi pieniądze do domu."
I wouldn't have started it unless I knew I would be able to finish.,"Nie zacząłbym tego, chyba że wiedziałem, że będę w stanie skończyć."
I needed help with heavy bags.,Potrzebowałam pomocy z ciężkimi torbami.
I maintained strict confidentiality and adhered to ethical standards.,Zachowałem ścisłą poufność i przestrzegałem standardów etycznych.
"I ensured that my laundry was consistently washed, folded, and put away.","Upewniłem się, że moje pranie było konsekwentnie myte, składane i odkładane."
"In the future, I would like to adopt a child.",W przyszłości chciałbym adoptować dziecko.
I like to use various hair products.,Lubię używać różnych produktów do włosów.
I was never scared of heights.,Nigdy nie bałam się wysokości.
I knew I was not physically strong enough.,"Wiedziałem, że nie jestem wystarczająco silny fizycznie."
I bought mango scented cleaning products so I enjoy cleaning even more.,"Kupiłem środki czyszczące o zapachu mango, więc jeszcze bardziej lubię sprzątać."
I took everyone to the movie theathre.,Zabrałem wszystkich do kina.
I have always been a leadership type.,Zawsze byłem typem przywódcy.
"In any relationship, I was always the submissive one.",W każdym związku zawsze byłem uległy.
I decided to work in a non-profit organization.,Postanowiłem pracować w organizacji non-profit.
I met a lot of cool people in the gym.,Na siłowni spotkałem wielu fajnych ludzi.
