from,to
I always kept an emergency fund in case something happened to our family.,Uvijek sam držao hitni fond za slučaj da se nešto dogodi našoj obitelji.
The chances were low but I still made the right decision.,"Šanse su bile male, ali ipak sam donio ispravnu odluku."
"I prefer to spend time playing games, I'm in love with it.","Radije provodim vrijeme igrajući igre, zaljubljen sam u to."
I saved the company before bankrupcy.,Spasio sam tvrtku prije bankrota.
"Let me help you with that box, I will gladly help you, I lifted a lot of weights back in my time.","Dopustite mi da vam pomognem s tom kutijom, rado ću vam pomoći, podigao sam puno utega u svoje vrijeme."
I always enjoyed reading astrology predictions.,Uvijek sam uživao čitajući astrološka predviđanja.
I paid for everyones coffee.,Platio sam svima kavu.
"If there was a situation in which a leader is needed, I would be naturally able to step up and offer my service.","Da postoji situacija u kojoj je potreban vođa, prirodno bih mogao pojačati i ponuditi svoju uslugu."
I would never wear those dirty hotel slippers.,Nikad ne bih nosio one prljave hotelske papuče.
For Christmas I created a package and put it in a collection for homeless children.,Za Božić sam napravio paket i stavio ga u kolekciju za djecu beskućnika.
I based my decision on my emotions.,Odluku sam temeljio na svojim osjećajima.
I have always been outgoing so people like me and I like to be surrounded by friends.,Oduvijek sam bio druželjubiv pa ljudi poput mene i ja volim biti okružen prijateljima.
I did not agree but I chose to remain silent.,"Nisam se složio, ali sam odlučio šutjeti."
"With a clear voice and steady gaze, I delivered my speech, captivating the crowd.","Jasnim glasom i mirnim pogledom održao sam svoj govor, očaravajući gomilu."
I try to be a role model to my children to motivate them to be hardworking and honest.,Pokušavam biti uzor svojoj djeci kako bih ih motivirao da budu vrijedni i iskreni.
I like talking to new people.,Volim razgovarati s novim ljudima.
I was never complaining about being the only one bringing money home.,Nikad se nisam žalio da sam jedini koji donosi novac kući.
I wouldn't have started it unless I knew I would be able to finish.,Ne bih ga započeo ako nisam znao da ću moći završiti.
I needed help with heavy bags.,Trebala mi je pomoć s teškim torbama.
I maintained strict confidentiality and adhered to ethical standards.,Čuvao sam strogu povjerljivost i pridržavao se etičkih standarda.
"I ensured that my laundry was consistently washed, folded, and put away.","Pobrinuo sam se da se moje rublje stalno pere, presavija i odlaže."
"In the future, I would like to adopt a child.",U budućnosti bih želio usvojiti dijete.
I like to use various hair products.,Volim koristiti razne proizvode za kosu.
I was never scared of heights.,Nikad se nisam bojao visine.
I knew I was not physically strong enough.,Znao sam da fizički nisam dovoljno jak.
