from,to
"I couldn’t open the pickles, so I asked my roommate to do it.","Nemohl jsem otevřít okurky, tak jsem požádal svého spolubydlícího, aby to udělal."
They pushed their ideas on me and I did not do anything.,Podstrčili mi své nápady a já nic neudělal.
I am passionate.,Jsem vášnivý.
"When I got bitten by the lion, I didn't hesitate and tended to my wound.","Když mě kousl lev, neváhal jsem a ošetřil jsem si ránu."
I felt that taking care of house was always my responsibility.,"Cítil jsem, že starat se o domácnost je vždy moje zodpovědnost."
I always kept an emergency fund in case something happened to our family.,"Vždy jsem si vedl pohotovostní fond pro případ, že by se naší rodině něco stalo."
I never liked confronting someone.,Nikdy jsem neměl rád někoho konfrontovat.
"I ensured that my laundry was consistently washed, folded, and put away.","Ujistil jsem se, že moje prádlo bylo důsledně vyprané, složené a odložené."
I have always been a leadership type.,Vždy jsem byl vůdčí typ.
"In any relationship, I was always the submissive one.",V každém vztahu jsem byl vždy ten submisivní.
I decided to work in a non-profit organization.,Rozhodl jsem se pracovat v neziskové organizaci.
I could never let the other person pay during a date.,Nikdy bych nemohl nechat toho druhého platit během rande.
They needed a strong hand and I provided it.,Potřebovali silnou ruku a já jim ji poskytl.
I knew I was not physically strong enough.,"Věděl jsem, že nejsem dost fyzicky silný."
I handled the snake and got rid of it.,Zvládl jsem hada a zbavil jsem se ho.
I always enjoyed reading astrology predictions.,Vždy mě bavilo číst astrologické předpovědi.
"As I walked into the job interview, I exuded self-confidence.","Když jsem šel na pracovní pohovor, vyzařovalo ze mě sebevědomí."
"I refused to do the job, because I had a videogame match.","Odmítl jsem tu práci dělat, protože jsem měl zápas ve videohře."
I bought mango scented cleaning products so I enjoy cleaning even more.,"Koupila jsem si čisticí prostředky s vůní manga, takže si čištění užívám ještě víc."
"It made me feel angry, but I didn't want to say anything.","Rozzlobilo mě to, ale nechtěl jsem nic říct."
I hated when my kids cleaned the apartment and they weren't precise.,"Nesnášel jsem, když moje děti uklízely byt a nebyly přesné."
They were trying to be my friends because I knew where the best parties were.,"Snažili se být mými přáteli, protože jsem věděl, kde jsou nejlepší večírky."
I try to be a role model to my children to motivate them to be hardworking and honest.,"Snažím se být svým dětem vzorem, abych je motivoval k pracovitosti a poctivosti."
"I attended an event, engaging in conversations with peers.","Zúčastnil jsem se akce, kde jsem mluvil s vrstevníky."
"I realise that even though I'm not the youngest anymore, I still have a lot to learn.","Uvědomuji si, že i když už nejsem nejmladší, mám se ještě hodně co učit."
I protected everyone from the thief.,Všechny jsem chránil před zlodějem.
"I tried to use the children's swing, but it broke.","Zkoušel jsem použít dětskou houpačku, ale rozbila se."
"When on holiday, I received daily compliments.",Na dovolené jsem denně dostával komplimenty.
"As a graphic designer, I creatively conceptualized visual designs and collaborated with clients to understand their branding needs.","Jako grafický designér jsem kreativně koncipoval vizuální návrhy a spolupracoval s klienty, abych pochopil jejich potřeby v oblasti brandingu."
"I really needed the salary raise, so I proposed it to my manager.","Opravdu jsem potřeboval zvýšení platu, tak jsem to navrhl svému manažerovi."
It was right of me to obey my husband.,Bylo ode mě správné poslouchat manžela.
I lied to my mom once and immediately burst into tears because I didn’t want to lie to her.,"Jednou jsem mámě lhal a okamžitě jsem se rozplakal, protože jsem jí lhát nechtěl."
"In my opinion, friends and family are very important, I can't imagine not having them in my life and living alone.","Přátelé a rodina jsou podle mě velmi důležití, nedovedu si představit, že bych je v životě neměla a žila sama."
I had many sexual partners.,Měl jsem mnoho sexuálních partnerů.
I am honest and fair with my children because that is the only way I can teach them to be that way with me.,"Jsem ke svým dětem upřímný a spravedlivý, protože je to jediný způsob, jak je mohu naučit, aby byly takové se mnou."
"Today, I am very nervous because I dreamt I was going to lose all my money.","Dnes jsem velmi nervózní, protože se mi zdálo, že přijdu o všechny své peníze."
I got into a commercial for a new face cream.,Dostal jsem se do reklamy na nový krém na obličej.
"I only wanted to laugh, but I got blamed for being childish.","Chtěl jsem se jen smát, ale bylo mi vyčítáno, že jsem dětinský."
I did not agree but I chose to remain silent.,"Nesouhlasil jsem, ale rozhodl jsem se mlčet."
I am far better at it than them.,Jsem na tom daleko lépe než oni.
Problem-solving was my biggest strength.,Řešení problémů byla moje největší síla.
I should think about this before deciding.,"Měl bych o tom přemýšlet, než se rozhodnu."
I like adventure and action in my daily life.,Mám rád dobrodružství a akci v každodenním životě.
I made the calculation based on the available data.,Výpočet jsem provedl na základě dostupných dat.
I always knew that it’s important to have a good skincare routine.,"Vždy jsem věděla, že je důležité mít dobrou rutinu péče o pleť."
I always sought instant gratification.,Vždy jsem hledal okamžité uspokojení.
I spent the whole day cleaning the house.,Celý den jsem strávil úklidem domu.
"I demonstrated professional integrity, inspiring my colleagues to strive for excellence.","Prokázal jsem profesionální integritu a inspiroval jsem své kolegy, aby usilovali o dokonalost."
I took the blame to avoid conflict.,"Vzal jsem na sebe vinu, abych se vyhnul konfliktu."
I didn't fear refusal.,Nebál jsem se odmítnutí.
I try avoid confrontation because I tend to cry when I am under pressure.,"Snažím se vyhýbat konfrontaci, protože mám tendenci plakat, když jsem pod tlakem."
"I like working in groups, but I like leading them even more.","Rád pracuji ve skupinách, ale ještě víc mě baví vést je."
I've been told that I'm caring and that I have nurturing personality.,"Bylo mi řečeno, že se o mě starám a že mám pečující osobnost."
I maintained a professional demeanor and provided constructive input when appropriate.,Zachoval jsem si profesionální vystupování a v případě potřeby poskytl konstruktivní příspěvky.
I've always wanted to learn how to fly a plane.,Vždycky jsem se chtěl naučit řídit letadlo.
I based my decision on my emotions.,Své rozhodnutí jsem založil na svých emocích.
"In the future, I would like to adopt a child.",V budoucnu bych chtěla adoptovat dítě.
"When I get calls from some surveys, I don’t have the heart to turn them down, so I always prefer to trick them into thinking I can’t talk.","Když mi někdo volá z některých průzkumů, nemám to srdce je odmítnout, takže je vždycky raději přiměju, aby si mysleli, že nemůžu mluvit."
I like serving my country.,Rád sloužím své zemi.
"I showered daily, sometimes twice.","Sprchoval jsem se denně, někdy i dvakrát."
"I swung the sledgehammer, each strike ringing through the air.",Máchl jsem perlíkem a každý úder zazněl vzduchem.
I took the initiative to mentor new employees.,Převzal jsem iniciativu a mentoroval nové zaměstnance.
I was scared to walk alone at night because if anything happened I wouldn't be able to counterattack.,"Bál jsem se chodit v noci sám, protože kdyby se něco stalo, nebyl bych schopen protiútoku."
I like to use various hair products.,Ráda používám různé vlasové přípravky.
I have had a lot of sexual partners.,Měl jsem spoustu sexuálních partnerů.
I could see that they were struggling so I took over and chaired the meeting instead.,"Viděl jsem, že mají problémy, a tak jsem to převzal a místo toho jsem schůzi předsedal."
I was brought up not to talk back to anyone.,"Byl jsem vychován tak, že nikomu nemluvím."
I worked as a manager of the whole branch.,Pracoval jsem jako manažer celé pobočky.
I continually educated myself.,Průběžně jsem se vzdělával.
"They had to let me pass the exam, because I almost started to cry.","Museli mě nechat složit zkoušku, protože jsem se málem rozbrečel."
I met a lot of cool people in the gym.,V posilovně jsem potkal spoustu fajn lidí.
I had never any trouble expressing my ideas out loud.,Nikdy jsem neměl problém vyjádřit své myšlenky nahlas.
"When something bad happens to me, I need to be surrounded by friends.","Když se mi stane něco špatného, potřebuji být obklopen přáteli."
I had to ask someone to walk me home because it was getting too late.,"Musel jsem někoho požádat, aby mě doprovodil domů, protože už bylo příliš pozdě."
I wasn't afraid of you and your friends.,Nebál jsem se tebe a tvých přátel.
I feel frustrated when I don't have intimacy.,"Cítím se frustrovaný, když nemám intimitu."
I was never scared of heights.,Nikdy jsem se nebál výšek.
I am good at making bold decisions.,Jsem dobrý v činění odvážných rozhodnutí.
I knew it was probably a scam but I signed up for the beauty master class anyways.,"Věděl jsem, že to byl pravděpodobně podvod, ale přesto jsem se přihlásil do mistrovské třídy krásy."
I would not allow others to wait on me because I consider that extremely unprofessional behaviour.,"Nedovolil bych ostatním, aby na mě čekali, protože to považuji za krajně neprofesionální chování."
I never lost at this game before.,Nikdy předtím jsem v této hře neprohrál.
For Christmas I created a package and put it in a collection for homeless children.,Na Vánoce jsem vytvořila balíček a dala ho do sbírky pro děti bez domova.
I cut down the tree in front of the house.,Pokácel jsem strom před domem.
I cleaned the floor everyday.,Podlahu jsem čistil každý den.
"I would like to try a threesome, it must be so much fun.","Chtěl bych zkusit trojku, to musí být taková zábava."
I could never live with someone who makes more money than me.,"Nikdy bych nemohl žít s někým, kdo vydělává víc peněz než já."
I am not asexual.,Nejsem asexuál.
I flipped the socks upside down and they were as good as new.,Ponožky jsem převrátil naruby a byly jako nové.
I don't remember who I had sex with last night.,"Nepamatuji si, s kým jsem měl včera v noci sex."
"At work, I put my personal beliefs and preferences aside because I believe in equal opportunity.","V práci odkládám svá osobní přesvědčení a preference stranou, protože věřím v rovné příležitosti."
"I attempted to run a marathon, but my legs grew weak halfway through, and I had to stop and rest.","Pokusil jsem se uběhnout maraton, ale v polovině mi zeslábly nohy a musel jsem se zastavit a odpočinout si."
I knew that I had what it took to conquer it.,"Věděl jsem, že mám na to, abych to dobyl."
I exhibited a disregard for rules and boundaries.,Projevoval jsem nerespektování pravidel a hranic.
I coud just improvise easily if something happens.,"Mohl bych jednoduše improvizovat, kdyby se něco stalo."
I was never complaining about being the only one bringing money home.,"Nikdy jsem si nestěžoval, že jsem jediný, kdo nosí domů peníze."
I like to go out for a beer with my friends.,Rád chodím s kamarády na pivo.
I would never let my emotions control me at work.,"Nikdy bych nedovolila, aby mě v práci ovládaly emoce."
I couldn't go a long time without sex.,Bez sexu jsem dlouho nevydržel.
I wouldn't have started it unless I knew I would be able to finish.,"Nezačal bych to, kdybych nevěděl, že budu schopen to dokončit."
I got tanned to look better.,"Opálil jsem se, abych vypadal lépe."
I told my partner that my sexual needs were not satisfied.,"Řekl jsem svému partnerovi, že moje sexuální potřeby nejsou uspokojeny."
"Since I can remember, I was never scared of anything.","Co si pamatuji, nikdy jsem se ničeho nebál."
"My mother hates cleaning, so I vacuumed her whole apartment last week.","Moje matka nesnáší úklid, tak jsem jí minulý týden vysála celý byt."
I always asked for consent before sex.,Vždy jsem před sexem požádal o souhlas.
I'm good at negotiating with our clients.,Umím dobře vyjednávat s našimi klienty.
They know how strict I am.,"Vědí, jak jsem přísná."
I often bought expensive gifts for my family.,Často jsem své rodině kupoval drahé dárky.
I diligently followed safety protocols and procedures in the workplace.,Pilně jsem dodržoval bezpečnostní protokoly a postupy na pracovišti.
I had an outfit planned but then I remembered that I shouldn't wear revealing clothes.,"Měla jsem naplánovaný outfit, ale pak jsem si vzpomněla, že bych neměla nosit odhalující oblečení."
I didn't worry about my confidence.,Nebál jsem se o své sebevědomí.
I am happy when I make everyone else around me happy.,"Jsem šťastný, když dělám šťastnými všechny kolem sebe."
I paid for everyones coffee.,Zaplatil jsem všem za kávu.
I like changing the oil in cars.,Rád měním olej v autech.
I have discovered a new cream that moisturises the skin perfectly.,"Objevila jsem nový krém, který pleť dokonale hydratuje."
"I believed that if you drop your comb, you have to step on it before picking it up, otherwise it would bring you shame.","Věřil jsem, že když hřeben upustíš, musíš na něj šlápnout, než ho zvedneš, jinak by ti přinesl ostudu."
"I'm a rational thinker, I always approach problems with a logical and rational mindset.","Jsem racionálně uvažující, k problémům vždy přistupuji s logickým a racionálním myšlením."
I needed help with heavy bags.,Potřeboval jsem pomoct s těžkými taškami.
I could not do too much physical labour because I was not strong enough.,"Nemohl jsem dělat příliš mnoho fyzické práce, protože jsem nebyl dost silný."
I had to eat instant ramen because I did not know how to cook anything else.,"Musel jsem jíst instantní ramen, protože jsem nevěděl, jak vařit nic jiného."
"I took in the puppy, because it had no home.","Vzala jsem si štěně, protože nemělo domov."
"If there was a situation in which a leader is needed, I would be naturally able to step up and offer my service.","Pokud by nastala situace, kdy je potřeba vůdce, přirozeně bych mohl zakročit a nabídnout svou službu."
"I wasn’t happy in Slovakia, even though I didn´t know why. So one day I just packed up and flew to Spain.","Na Slovensku jsem nebyl šťastný, i když jsem nevěděl proč. Tak jsem se jednoho dne prostě sbalil a odletěl do Španělska."
I carried the table up to the fourth floor.,Vynesl jsem stůl do čtvrtého patra.
I am a leader.,Jsem vůdce.
I loved you but I don't know how to show my emotions.,"Miloval jsem tě, ale nevím, jak projevit své emoce."
I flexed my biceps and marveled at the sculpted definition.,Prohnul jsem bicepsy a žasl nad vyřezávanou definicí.
"Although I didn't need it, I bought it anyway.","Sice jsem to nepotřeboval, přesto jsem si ho koupil."
"As a team leader, I motivated my team to collaborate actively.",Jako vedoucí týmu jsem motivoval svůj tým k aktivní spolupráci.
"I took care of the whole family myself, even both grandparents.","Sám jsem se staral o celou rodinu, dokonce i o oba prarodiče."
I wrestled with everyone.,Zápasil jsem se všemi.
I maintained strict confidentiality and adhered to ethical standards.,Zachoval jsem přísnou mlčenlivost a dodržoval etické normy.
I like sacrificing my own time for the sake of others.,Rád obětuji svůj čas pro dobro druhých.
"They don't let me do it, because I am too weak.","Nenechají mě to udělat, protože jsem příliš slabý."
Never in my life I had refused any challenge.,Nikdy v životě jsem neodmítl žádnou výzvu.
"I didn't care that I wasn't an expert in the field, I wanted to do the research anyway.","Bylo mi jedno, že nejsem odborník v oboru, stejně jsem ten výzkum chtěl dělat."
"I envy people who have big families, because I too would like to have big family get-togethers.","Závidím lidem, kteří mají velké rodiny, protože i já bych chtěla mít velká rodinná setkání."
"When I was younger, every Friday I would go home with someone else.","Když jsem byl mladší, chodil jsem každý pátek domů s někým jiným."
I made fun of her crooked teeth.,Dělal jsem si legraci z jejích křivých zubů.
I got my pay check and immediately spent almost all of it for clothes.,Dostal jsem výplatní šek a hned jsem ho skoro celý utratil za oblečení.
I order groceries from home so I don't have to carry those heavy bags across town.,"Objednávám si potraviny z domova, abych nemusel tahat ty těžké tašky přes město."
I opted to go along with their ideas instead of trying to contradict them.,"Rozhodl jsem se souhlasit s jejich myšlenkami, místo abych se jim snažil odporovat."
"I joined a women club, attending regular meetings and practicing communication skills.","Vstoupila jsem do ženského klubu, navštěvovala pravidelná setkání a procvičovala si komunikační dovednosti."
I've always felt better in leadership positions.,Vždy jsem se cítil lépe ve vedoucích pozicích.
I had a dancer's figure.,Měl jsem postavu tanečnice.
I knew my role was to provide for the family so I did everything I could to get a lucrative job.,"Věděl jsem, že mojí úlohou je zajistit rodinu, takže jsem dělal vše, co jsem mohl, abych získal lukrativní práci."
I asked them to come see the gig with me.,"Požádal jsem je, aby se se mnou přišli podívat na koncert."
I am very open-minded when it comes to sex.,"Jsem velmi otevřená, pokud jde o sex."
"Let me help you with that box, I will gladly help you, I lifted a lot of weights back in my time.","Dovolte mi, abych vám pomohl s tou krabicí, rád vám pomůžu, svého času jsem zvedal spoustu závaží."
I was raised to never give up.,"Byl jsem vychován, abych se nikdy nevzdával."
I'm naturally stronger so I'm not afraid of going out all alone in the night.,"Jsem přirozeně silnější, takže se nebojím jít v noci ven úplně sám."
I just had to keep smiling no matter how hard the situation was.,"Musel jsem se pořád usmívat bez ohledu na to, jak těžká situace byla."
I did not let my emotions take over.,Nenechal jsem se ovládnout emocemi.
