from,to
"I couldn’t open the pickles, so I asked my roommate to do it.","Я не магла адкрыць салёныя агуркі, таму папрасіла гэта зрабіць сваю суседку па пакоі."
They pushed their ideas on me and I did not do anything.,"Яны навязвалі мне свае ідэі, а я нічога не рабіў."
I am passionate.,Я захоплены.
"When I got bitten by the lion, I didn't hesitate and tended to my wound.","Калі мяне ўкусіў леў, я не вагаўся і даглядаў сваю рану."
I felt that taking care of house was always my responsibility.,"Я адчуваў, што клопат пра дом заўсёды быў маім абавязкам."
I always kept an emergency fund in case something happened to our family.,"Я заўсёды трымаў фонд на выпадак надзвычайных сітуацый на выпадак, калі з нашай сям'ёй нешта здарыцца."
I never liked confronting someone.,Я ніколі не любіў сутыкацца з кімсьці.
"I ensured that my laundry was consistently washed, folded, and put away.","Я пераканаўся, што мая бялізна пастаянна мыецца, складваецца і прыбіраецца."
I have always been a leadership type.,Я заўсёды быў тыпам лідэра.
"In any relationship, I was always the submissive one.",У любых адносінах я заўсёды быў пакорлівым.
"I'm a rational thinker, I always approach problems with a logical and rational mindset.","Я рацыянальны мысляр, я заўсёды падыходжу да праблем з лагічным і рацыянальным мысленнем."
The chances were low but I still made the right decision.,"Шанцаў было мала, але я прыняў правільнае рашэнне."
I wrestled with everyone.,Я змагаўся з усімі.
"I prefer to spend time playing games, I'm in love with it.","Я аддаю перавагу бавіць час за гульнямі, мне гэта падабаецца."
I like to work in a competitive environment.,Мне падабаецца працаваць у канкурэнтным асяроддзі.
I took everyone to the movie theathre.,Я павёў усіх у кінатэатр.
"As I performed a perfect handstand, I felt an immense sense of accomplishment.","Калі я выканаў ідэальную стойку на руках, я адчуў велізарнае пачуццё дасягнення."
I was never scared of heights.,Я ніколі не баяўся вышыні.
"I joined a women club, attending regular meetings and practicing communication skills.","Я ўступіла ў жаночы клуб, хадзіла на рэгулярныя сустрэчы і практыкую навыкі зносін."
"I took care of the whole family myself, even both grandparents.","Я сама даглядала ўсю сям’ю, нават абодвух дзядуляў і бабуль."
"Yesterday I witnessed a nasty argument, so I decided to intervene.","Учора я быў сведкам непрыемнай сваркі, таму вырашыў умяшацца."
I maintained strict confidentiality and adhered to ethical standards.,Я захоўваў строгую канфідэнцыяльнасць і прытрымліваўся этычных нормаў.
"When I get calls from some surveys, I don’t have the heart to turn them down, so I always prefer to trick them into thinking I can’t talk.","Калі мне тэлефануюць з некаторых апытанняў, у мяне няма духу адмовіцца ад іх, таму я заўсёды аддаю перавагу прымушаць іх думаць, што я не магу размаўляць."
I did not agree but I chose to remain silent.,"Я не пагадзіўся, але вырашыў прамаўчаць."
"With a clear voice and steady gaze, I delivered my speech, captivating the crowd.","З чыстым голасам і ўстойлівым позіркам я вымавіў сваю прамову, захапіўшы натоўп."
"I took in the puppy, because it had no home.","Я ўзяла шчанюка, бо ў яго не было дома."
"I tried to climb the mountain, but it was too steep.","Я спрабаваў падняцца на гару, але яна была занадта крутая."
I paid for everyones coffee.,Я заплаціў усім за каву.
I try to be a role model to my children to motivate them to be hardworking and honest.,"Я стараюся быць узорам для сваіх дзяцей, матываваць іх быць працавітымі і сумленнымі."
I handled the snake and got rid of it.,Я справіўся са змяёй і пазбавіўся ад яе.
"I swung the sledgehammer, each strike ringing through the air.","Я размахваў кувалдай, кожны ўдар праносіўся ў паветры."
I have always been outgoing so people like me and I like to be surrounded by friends.,"Я заўсёды быў камунікабельным, таму я падабаюся людзям, і мне падабаецца быць у асяроддзі сяброў."
