from,to
"I couldn’t open the pickles, so I asked my roommate to do it.","Я не могла открыть соленые огурцы, поэтому попросила сделать это своего соседа по комнате."
They pushed their ideas on me and I did not do anything.,"Они навязали мне свои идеи, а я ничего не сделал."
I am passionate.,Я страстный.
"When I got bitten by the lion, I didn't hesitate and tended to my wound.","Когда меня укусил лев, я не колебался и обработал рану."
I felt that taking care of house was always my responsibility.,"Я чувствовал, что забота о доме всегда была моей обязанностью."
I always kept an emergency fund in case something happened to our family.,"У меня всегда был запасной фонд на случай, если что-нибудь случится с нашей семьей."
I never liked confronting someone.,Мне никогда не нравилось сталкиваться с кем-то.
"I ensured that my laundry was consistently washed, folded, and put away.","Я следил за тем, чтобы мое белье постоянно стиралось, складывалось и убиралось."
I have always been a leadership type.,Я всегда был лидером.
"In any relationship, I was always the submissive one.",В любых отношениях я всегда была покорной.
"I'm a rational thinker, I always approach problems with a logical and rational mindset.","Я рациональный мыслитель, всегда подхожу к проблемам с логическим и рациональным мышлением."
The chances were low but I still made the right decision.,"Шансы были невелики, но я все же принял правильное решение."
I wrestled with everyone.,Я боролся со всеми.
"I prefer to spend time playing games, I'm in love with it.","Я предпочитаю проводить время за играми, мне это нравится."
I like to work in a competitive environment.,Мне нравится работать в конкурентной среде.
I took everyone to the movie theathre.,Я повел всех в кинотеатр.
"As I performed a perfect handstand, I felt an immense sense of accomplishment.","Выполнив идеальную стойку на руках, я почувствовал огромное чувство выполненного долга."
I was never scared of heights.,Я никогда не боялся высоты.
"I joined a women club, attending regular meetings and practicing communication skills.","Я вступила в женский клуб, посещая регулярные встречи и практикуя коммуникативные навыки."
"I took care of the whole family myself, even both grandparents.","Я сам заботился обо всей семье, даже о бабушке и дедушке."
"Yesterday I witnessed a nasty argument, so I decided to intervene.","Вчера я стал свидетелем неприятного спора, поэтому решил вмешаться."
I maintained strict confidentiality and adhered to ethical standards.,Я соблюдал строгую конфиденциальность и придерживался этических норм.
