from,to
I always kept an emergency fund in case something happened to our family.,"Vedno sem imel sklad za nujne primere, če se kaj zgodi naši družini."
The chances were low but I still made the right decision.,"Možnosti so bile majhne, vendar sem se vseeno pravilno odločil."
"I prefer to spend time playing games, I'm in love with it.","Raje preživim čas z igranjem iger, zaljubljen sem vanj."
I saved the company before bankrupcy.,Podjetje sem rešil pred bankrotiranjem.
"Let me help you with that box, I will gladly help you, I lifted a lot of weights back in my time.","Naj vam pomagam s to škatlo, z veseljem vam bom pomagal, v svojem času sem dvignil veliko uteži."
I always enjoyed reading astrology predictions.,Vedno sem užival v branju astroloških napovedi.
I paid for everyones coffee.,Za kavo sem plačala vsem.
"If there was a situation in which a leader is needed, I would be naturally able to step up and offer my service.","Če bi obstajala situacija, v kateri je potreben vodja, bi se seveda lahko okrepil in ponudil svojo storitev."
I would never wear those dirty hotel slippers.,Nikoli ne bi nosil teh umazanih hotelskih copat.
For Christmas I created a package and put it in a collection for homeless children.,Za božič sem ustvaril paket in ga dal v zbirko za brezdomce.
I based my decision on my emotions.,Odločitev sem temeljil na svojih čustvih.
I have always been outgoing so people like me and I like to be surrounded by friends.,"Vedno sem bila družabna, zato sem ljudem, kot sem jaz in rad obkrožen s prijatelji."
I did not agree but I chose to remain silent.,"Nisem se strinjal, vendar sem se odločil molčati."
"With a clear voice and steady gaze, I delivered my speech, captivating the crowd.",Z jasnim glasom in stalnim pogledom sem govoril in očaral množico.
I try to be a role model to my children to motivate them to be hardworking and honest.,"Poskušam biti vzor svojim otrokom, da jih motiviram, da so pridni in pošteni."
I like talking to new people.,Rad se pogovarjam z novimi ljudmi.
I was never complaining about being the only one bringing money home.,"Nikoli se nisem pritoževal, da sem edini, ki prinaša denar domov."
I wouldn't have started it unless I knew I would be able to finish.,"Ne bi ga začel, če bi vedel, da bom lahko končal."
I needed help with heavy bags.,Potreboval sem pomoč pri težkih vrečah.
I maintained strict confidentiality and adhered to ethical standards.,Ohranil sem strogo zaupnost in se držal etičnih standardov.
"I ensured that my laundry was consistently washed, folded, and put away.","Poskrbel sem, da je moje perilo stalno oprano, zloženo in odlagano."
"In the future, I would like to adopt a child.",V prihodnosti bi rad posvojil otroka.
I like to use various hair products.,Rad uporabljam različne izdelke za lase.
I was never scared of heights.,Nikoli se nisem bal višine.
I knew I was not physically strong enough.,"Vedela sem, da nisem dovolj fizično močna."
I bought mango scented cleaning products so I enjoy cleaning even more.,"Kupil sem čistilna sredstva z dišečim mangom, zato še bolj uživam v čiščenju."
I took everyone to the movie theathre.,Vse sem peljal v filmsko gledališče.
I have always been a leadership type.,Vedno sem bil vodilni tip.
"In any relationship, I was always the submissive one.",V vsakem odnosu sem bil vedno pokoren.
I decided to work in a non-profit organization.,"Odločil sem se, da bom delal v neprofitni organizaciji."
I met a lot of cool people in the gym.,V telovadnici sem spoznal veliko kul ljudi.
I could never let the other person pay during a date.,"Nikoli nisem mogel dovoliti, da druga oseba plača med zmenkom."
I felt that taking care of house was always my responsibility.,"Čutil sem, da je skrb za hišo vedno moja odgovornost."
"I couldn't open the pickles, so I asked my roommate to do it.","Nisem mogel odpreti kumaric, zato sem prosil sostanovalca, naj to stori."
"I didn't want to change my plans, but it seemed impolite to refuse.","Nisem hotel spremeniti svojih načrtov, vendar se mi je zdelo nepristojno zavrniti."
"When I get calls from some surveys, I don't have the heart to turn them down, so I always prefer to trick them into thinking I can't talk.","Ko dobim klice iz nekaterih anket, nimam srca, da bi jih zavrnil, zato jih vedno raje prevaram, da mislijo, da ne morem govoriti."
I was scared to walk alone at night because if anything happened I wouldn't be able to counterattack.,"Bal sem se hoditi sam ponoči, ker če bi se kaj zgodilo, ne bi mogel protinapadati."
I have had a lot of sexual partners.,Imel sem veliko spolnih partnerjev.
I exhibited a disregard for rules and boundaries.,Pokazal sem neupoštevanje pravil in meja.
"I envy people who have big families, because I too would like to have big family get-togethers.","Zavidam ljudem, ki imajo velike družine, saj bi tudi jaz rad imel velika družinska druženja."
I am far better at it than them.,Jaz sem veliko boljši od njih.
"As I walked into the job interview, I exuded self-confidence.","Ko sem stopil na razgovor za službo, sem izžareval samozavest."
I didn't fear refusal.,Nisem se bal zavrnitve.
I always sought instant gratification.,Vedno sem iskal takojšnje zadovoljstvo.
I often bought expensive gifts for my family.,Pogosto sem kupoval draga darila za svojo družino.
I like to work in a competitive environment.,Rada delam v konkurenčnem okolju.
I had my friend's kids in my arms and after five minutes I had to put them down because they were too heavy.,"Otroke mojega prijatelja sem imel v naročju in po petih minutah sem jih moral odložiti, ker so bili pretežki."
I am not asexual.,Nisem aseksualna.
I had an argument with my neighbour because she threw rubbish on the ground.,"Prepirala sem se s sosedo, ker je vrgla smeti na tla."
I told my partner that my sexual needs were not satisfied.,"Partnerju sem povedala, da moje spolne potrebe niso zadovoljene."
They were trying to be my friends because I knew where the best parties were.,"Poskušali so biti moji prijatelji, ker sem vedel, kje so najboljše zabave."
