from,to
I have always been a leadership type.,Я завжди був лідером.
"I couldn't open the pickles, so I asked my roommate to do it.","Я не міг відкрити огірки, тому попросив це зробити свого сусіда по кімнаті."
"In any relationship, I was always the submissive one.",У будь-яких стосунках я завжди був покірним.
"I ensured that my laundry was consistently washed, folded, and put away.","Я стежив за тим, щоб моя білизна була випрана, складена і прибрана."
They pushed their ideas on me and I did not do anything.,"Вони нав'язували мені свої ідеї, а я нічого не робив."
I am passionate.,Я пристрасний.
I never liked confronting someone.,Мені ніколи не подобалося протистояти комусь.
I felt that taking care of house was always my responsibility.,"Я відчувала, що піклування про дім завжди було моїм обов'язком."
"When I got bitten by the lion, I didn't hesitate and tended to my wound.","Коли мене вкусив лев, я, не вагаючись, перев'язав собі рану."
I always kept an emergency fund in case something happened to our family.,"Я завжди тримав резервний фонд на випадок, якщо щось трапиться з нашою родиною."
I told my partner that my sexual needs were not satisfied.,"Я сказала своєму партнеру, що мої сексуальні потреби не задовольняються."
I was never complaining about being the only one bringing money home.,"Я ніколи не скаржилася на те, що тільки я приношу гроші додому."
I didn't fear refusal.,Я не боявся відмови.
I like to work in a competitive environment.,Мені подобається працювати в конкурентному середовищі.
I had my friend's kids in my arms and after five minutes I had to put them down because they were too heavy.,"Я тримала на руках дітей моєї подруги, і через п'ять хвилин мені довелося покласти їх на землю, бо вони були занадто важкі."
"I wasn't happy in Slovakia, even though I didn´t know why. So one day I just packed up and flew to Spain.","Я не був щасливий у Словаччині, хоча й не знав чому. Тож одного дня я просто зібрався і полетів до Іспанії."
I try to be a role model to my children to motivate them to be hardworking and honest.,"Я намагаюся бути прикладом для своїх дітей, щоб мотивувати їх бути працьовитими та чесними."
I always knew that it's important to have a good skincare routine.,"Я завжди знала, що важливо мати правильний догляд за шкірою."
"When on holiday, I received daily compliments.",У відпустці я щодня отримувала компліменти.
