from,to
"I joined a women club, attending regular meetings and practicing communication skills.","Přidala jsem se k klubu žen, pravidelně jsem navštěvovala shromáždění a cvičila se v komunikaci."
Never in my life I had refused any challenge.,Nikdy v životě jsem odmítl jakoukoliv výzvu.
I like to work in a competitive environment.,Rád pracuji v konkurenčním prostředí.
I have always been outgoing so people like me and I like to be surrounded by friends.,"Vždycky jsem byla společenská, takže lidé jako já a já rádi obklopují přátelé."
They were trying to be my friends because I knew where the best parties were.,"Snažili se být mými přáteli, protože jsem věděla, kde jsou nejlepší párty."
"Yesterday I witnessed a nasty argument, so I decided to intervene.","Včera jsem byl svědkem ošklivé hádky, tak jsem se rozhodl zasáhnout."
I knew I was not physically strong enough.,"Věděl jsem, že nejsem dostatečně silný."
I am far better at it than them.,Jsem v tom mnohem lepší než oni.
I like changing the oil in cars.,Rád měním olej v autech.
I did not let my emotions take over.,"Nedovolil jsem, aby mě ovládly emoce."
"I didn't want to change my plans, but it seemed impolite to refuse.","Nechtěla jsem změnit své plány, ale zdálo se mi nezdvořilé odmítnout."
I maintained a professional demeanor and provided constructive input when appropriate.,"Zachoval jsem si profesionální chování a poskytl konstruktivní komentář, když to bylo vhodné."
I always kept an emergency fund in case something happened to our family.,"Vždycky jsem si nechávala na pohotovost, kdyby se něco stalo naší rodině."
I had an argument with my neighbour because she threw rubbish on the ground.,"Pohádala jsem se se sousedkou, protože hodila odpadky na zem."
I wouldn't have started it unless I knew I would be able to finish.,"Nezačal bych, kdybych nevěděl, že to dokážu dokončit."
I have always been a leadership type.,Vždycky jsem byl typ lídra.
"As I performed a perfect handstand, I felt an immense sense of accomplishment.","Když jsem dokonale stál na rukou, cítil jsem obrovský pocit úspěchu."
I am not asexual.,Nejsem asexuální.
The recipe was really hard but I still tried to cook it.,"Recept byl opravdu těžký, ale stejně jsem se ho snažil uvařit."
I always knew that it's important to have a good skincare routine.,"Vždycky jsem věděla, že je důležité mít dobrou péči o pleť."
I am passionate.,Jsem vášnivá.
I decided to work in a non-profit organization.,Rozhodl jsem se pracovat pro neziskovou organizaci.
"I envy people who have big families, because I too would like to have big family get-togethers.","Závidím lidem, kteří mají velké rodiny, protože i já bych si přála mít velké rodinné setkání."
I always sought instant gratification.,Vždycky jsem hledala okamžité uspokojení.
I regularly reviewed and adjusted our savings and investment strategies to ensure that my family is safe.,"Pravidelně jsem přezkoumával a upravoval naše úspory a investiční strategie, abych se ujistil, že moje rodina bude v bezpečí."
I like to go out for a beer with my friends.,Rád si jdu s přáteli dát pivo.
"I couldn't open the pickles, so I asked my roommate to do it.","Nemohla jsem otevřít okurky, tak jsem požádala svého spolubydlícího, aby to udělal."
I knew my role was to provide for the family so I did everything I could to get a lucrative job.,"Věděl jsem, že mou rolí je postarat se o rodinu, tak jsem udělal všechno, co jsem mohl, abych získal lukrativní práci."
I should think about this before deciding.,"Měl bych o tom přemýšlet, než se rozhodnu."
I like to use various hair products.,Rád používám různé přípravky na vlasy.
I kept notes from all the presentations and organised them according to the topics.,Z všech přednášek jsem si dělala poznámky a uspořádala je podle témat.
