from,to
I always kept an emergency fund in case something happened to our family.,"Vždycky jsem měl pohotovostní fond pro případ, že by se něco stalo naší rodině."
The chances were low but I still made the right decision.,"Šance byly nízké, ale přesto jsem se rozhodl správně."
"I prefer to spend time playing games, I'm in love with it.","Raději trávím čas hraním her, jsem do toho zamilovaný."
I saved the company before bankrupcy.,Zachránil jsem firmu před bankrotem.
"Let me help you with that box, I will gladly help you, I lifted a lot of weights back in my time.","Dovolte mi, abych vám pomohl s tou krabicí, rád vám pomůžu, ve své době jsem zvedl spoustu závaží."
I always enjoyed reading astrology predictions.,Vždy jsem rád četl astrologické předpovědi.
I paid for everyones coffee.,Zaplatil jsem za kávu každého.
"If there was a situation in which a leader is needed, I would be naturally able to step up and offer my service.","Kdyby nastala situace, kdy je potřeba vůdce, byl bych přirozeně schopen vystoupit a nabídnout své služby."
I would never wear those dirty hotel slippers.,Nikdy bych nenosila ty špinavé hotelové pantofle.
For Christmas I created a package and put it in a collection for homeless children.,Na Vánoce jsem vytvořil balíček a vložil ho do sbírky pro děti bez domova.
I based my decision on my emotions.,Rozhodnutí jsem zakládal na svých emocích.
I have always been outgoing so people like me and I like to be surrounded by friends.,"Vždy jsem byl odchozí, takže lidé mě mají rádi a rád jsem obklopen přáteli."
I did not agree but I chose to remain silent.,"Nesouhlasil jsem, ale rozhodl jsem se mlčet."
"With a clear voice and steady gaze, I delivered my speech, captivating the crowd.",Jasným hlasem a stálým pohledem jsem pronesl svůj projev a uchvátil dav.
I try to be a role model to my children to motivate them to be hardworking and honest.,"Snažím se být vzorem pro své děti, abych je motivoval k pracovitosti a poctivosti."
I like talking to new people.,Rád mluvím s novými lidmi.
I was never complaining about being the only one bringing money home.,"Nikdy jsem si nestěžoval, že jsem jediný, kdo přináší peníze domů."
I wouldn't have started it unless I knew I would be able to finish.,"Nezačal bych to, pokud bych nevěděl, že budu schopen dokončit."
I needed help with heavy bags.,Potřeboval jsem pomoc s těžkými taškami.
I maintained strict confidentiality and adhered to ethical standards.,Zachoval jsem přísnou důvěrnost a dodržoval etické standardy.
"I ensured that my laundry was consistently washed, folded, and put away.","Zajistil jsem, aby moje prádlo bylo důsledně umýváno, složeno a odloženo."
"In the future, I would like to adopt a child.",V budoucnu bych chtěl adoptovat dítě.
I like to use various hair products.,Rád používám různé vlasové přípravky.
I was never scared of heights.,Nikdy jsem se nebál výšek.
I knew I was not physically strong enough.,"Věděl jsem, že nejsem dostatečně fyzicky silný."
I bought mango scented cleaning products so I enjoy cleaning even more.,"Koupil jsem čisticí prostředky s vůní manga, takže si čištění užívám ještě více."
I took everyone to the movie theathre.,Vzal jsem všechny do kina.
I have always been a leadership type.,Vždy jsem byl vůdčím typem.
"In any relationship, I was always the submissive one.",V každém vztahu jsem byl vždy submisivní.
I decided to work in a non-profit organization.,Rozhodl jsem se pracovat v neziskové organizaci.
I met a lot of cool people in the gym.,V tělocvičně jsem potkal spoustu skvělých lidí.
I could never let the other person pay during a date.,Nikdy jsem nemohl nechat druhou osobu platit během rande.
I felt that taking care of house was always my responsibility.,"Cítil jsem, že péče o dům je vždy mojí odpovědností."
"I couldn't open the pickles, so I asked my roommate to do it.","Nemohl jsem otevřít okurky, tak jsem požádal svého spolubydlícího, aby to udělal."
"I didn't want to change my plans, but it seemed impolite to refuse.","Nechtěl jsem měnit své plány, ale zdálo se mi nezdvořilé odmítnout."
"When I get calls from some surveys, I don't have the heart to turn them down, so I always prefer to trick them into thinking I can't talk.","Když dostávám hovory z některých průzkumů, nemám to srdce je odmítnout, takže je vždy raději přiměji přimět, aby si mysleli, že nemůžu mluvit."
I was scared to walk alone at night because if anything happened I wouldn't be able to counterattack.,"Bál jsem se chodit sám v noci, protože kdyby se něco stalo, nemohl bych protiútok."
I have had a lot of sexual partners.,Měl jsem spoustu sexuálních partnerů.
I exhibited a disregard for rules and boundaries.,Prokázal jsem ignorování pravidel a hranic.
"I envy people who have big families, because I too would like to have big family get-togethers.","Závidím lidem, kteří mají velké rodiny, protože i já bych chtěl mít velká rodinná setkání."
I am far better at it than them.,Jsem v tom mnohem lepší než oni.
"As I walked into the job interview, I exuded self-confidence.","Když jsem šel na pracovní pohovor, vyzařoval jsem sebevědomí."
I didn't fear refusal.,Nebál jsem se odmítnutí.
I always sought instant gratification.,Vždy jsem hledal okamžité uspokojení.
I often bought expensive gifts for my family.,Často jsem kupoval drahé dárky pro svou rodinu.
I like to work in a competitive environment.,Rád pracuji v konkurenčním prostředí.
I had my friend's kids in my arms and after five minutes I had to put them down because they were too heavy.,"Měl jsem v náručí děti mého přítele a po pěti minutách jsem je musel položit, protože byly příliš těžké."
I am not asexual.,Nejsem asexuální.
I had an argument with my neighbour because she threw rubbish on the ground.,"Pohádal jsem se se sousedkou, protože házela odpadky na zem."
I told my partner that my sexual needs were not satisfied.,"Řekl jsem svému partnerovi, že moje sexuální potřeby nebyly uspokojeny."
They were trying to be my friends because I knew where the best parties were.,"Snažili se být mými přáteli, protože jsem věděl, kde jsou nejlepší večírky."
"When on holiday, I received daily compliments.","Když jsem byl na dovolené, dostávám každý den komplimenty."
"I tried to use the children's swing, but it broke.","Snažil jsem se použít dětskou houpačku, ale zlomila se."
I never liked confronting someone.,Nikdy se mi nelíbilo čelit někomu.
"I wasn't happy in Slovakia, even though I didn´t know why. So one day I just packed up and flew to Spain.","Na Slovensku jsem nebyl šťastný, i když jsem nevěděl proč. Jednoho dne jsem se sbalil a odletěl do Španělska."
I handled the snake and got rid of it.,Zacházel jsem s hadem a zbavil se ho.
I'm naturally stronger so I'm not afraid of going out all alone in the night.,"Jsem přirozeně silnější, takže se nebojím jít ven v noci úplně sám."
I did not let my emotions take over.,"Nedovolil jsem, aby mé emoce převzaly kontrolu."
They know how strict I am.,"Vědí, jak jsem přísný."
I try avoid confrontation because I tend to cry when I am under pressure.,"Snažím se vyhnout konfrontaci, protože mám tendenci plakat, když jsem pod tlakem."
I like to go out for a beer with my friends.,Rád chodím na pivo se svými přáteli.
"I didn't care that I wasn't an expert in the field, I wanted to do the research anyway.","Nezajímalo mě, že nejsem odborník v oboru, stejně jsem chtěl udělat průzkum."
I have discovered a new cream that moisturises the skin perfectly.,"Objevila jsem nový krém, který dokonale hydratuje pokožku."
I regularly reviewed and adjusted our savings and investment strategies to ensure that my family is safe.,"Pravidelně jsem kontroloval a upravoval naše spořicí a investiční strategie, abych zajistil, že moje rodina je v bezpečí."
I took the blame to avoid conflict.,"Vzal jsem vinu, abych se vyhnul konfliktu."
"When I got bitten by the lion, I didn't hesitate and tended to my wound.","Když mě lev kousl, neváhal jsem a staral se o svou ránu."
I always demanded respect from my co-workers.,Vždy jsem požadoval respekt od svých spolupracovníků.
I like changing the oil in cars.,Líbí se mi výměna oleje v autech.
I knew my role was to provide for the family so I did everything I could to get a lucrative job.,"Věděl jsem, že mou rolí je zajistit rodinu, takže jsem udělal vše, co jsem mohl, abych získal lukrativní práci."
I made the bed.,Uložil jsem postel.
"I took in the puppy, because it had no home.","Vzal jsem štěně, protože neměl domov."
I like serving my country.,Rád sloužím své zemi.
I had to hire a bunch of guys to come help me with moving my paintings.,"Musel jsem najmout partu chlapů, aby mi pomohli s přesunem mých obrazů."
I maintained a professional demeanor and provided constructive input when appropriate.,Udržoval jsem profesionální chování a v případě potřeby poskytl konstruktivní vstup.
I flipped the socks upside down and they were as good as new.,Převrátil jsem ponožky vzhůru nohama a byly stejně dobré jako nové.
"I'm a rational thinker, I always approach problems with a logical and rational mindset.","Jsem racionální myslitel, vždy přistupuji k problémům s logickým a racionálním myšlením."
The recipe was really hard but I still tried to cook it.,"Recept byl opravdu těžký, ale stále jsem se ho snažil uvařit."
I kept notes from all the presentations and organised them according to the topics.,Vedl jsem si poznámky ze všech prezentací a organizoval je podle témat.
I've always wanted to learn how to fly a plane.,Vždycky jsem se chtěl naučit létat letadlem.
"I tried to climb the mountain, but it was too steep.","Snažil jsem se vylézt na horu, ale byla příliš strmá."
"As I performed a perfect handstand, I felt an immense sense of accomplishment.","Když jsem předváděl dokonalý stojan, cítil jsem nesmírný pocit úspěchu."
"Yesterday I witnessed a nasty argument, so I decided to intervene.","Včera jsem byl svědkem ošklivé hádky, a tak jsem se rozhodl zasáhnout."
"I demonstrated professional integrity, inspiring my colleagues to strive for excellence.","Prokázal jsem profesionální integritu a inspiroval jsem své kolegy, aby usilovali o dokonalost."
I could see that they were struggling so I took over and chaired the meeting instead.,"Viděl jsem, že se potýkají, tak jsem převzal vedení a místo toho jsem předsedal schůzce."
"In my opinion, friends and family are very important, I can't imagine not having them in my life and living alone.","Podle mého názoru jsou přátelé a rodina velmi důležití, nedokážu si představit, že bych je neměl ve svém životě a žil sám."
I wrestled with everyone.,Bojoval jsem se všemi.
Never in my life I had refused any challenge.,Nikdy v životě jsem neodmítl žádnou výzvu.
I am passionate.,Jsem vášnivý.
They pushed their ideas on me and I did not do anything.,Protlačili na mě své nápady a já jsem nic neudělal.
I continually educated myself.,Neustále jsem se vzdělával.
I always knew that it's important to have a good skincare routine.,"Vždy jsem věděl, že je důležité mít dobrou rutinu péče o pleť."
I took the initiative to mentor new employees.,Převzal jsem iniciativu mentorovat nové zaměstnance.
I should think about this before deciding.,"Měl bych o tom přemýšlet, než se rozhodnu."
I got tanned to look better.,"Opálila jsem se, abych vypadala lépe."
My company did well this year so I gave everyone a bonus.,"Moje společnost si letos vedla dobře, takže jsem všem dal bonus."
I knew that I had what it took to conquer it.,"Věděl jsem, že mám, co je potřeba, abych to dobyl."
"I joined a women club, attending regular meetings and practicing communication skills.","Připojila jsem se do ženského klubu, navštěvovala pravidelná setkání a procvičovala komunikační dovednosti."
"I took care of the whole family myself, even both grandparents.","Sám jsem se staral o celou rodinu, dokonce i o oba prarodiče."
"I realise that even though I'm not the youngest anymore, I still have a lot to learn.","Uvědomuji si, že i když už nejsem nejmladší, stále se musím hodně naučit."
"I swung the sledgehammer, each strike ringing through the air.",Otočil jsem kladivem a každý úder zvonil vzduchem.
"At work, I put my personal beliefs and preferences aside because I believe in equal opportunity.","V práci odkládám své osobní přesvědčení a preference stranou, protože věřím v rovné příležitosti."
Problem-solving was my biggest strength.,Řešení problémů bylo mou největší silou.
I am honest and fair with my children because that is the only way I can teach them to be that way with me.,"Jsem ke svým dětem upřímný a spravedlivý, protože to je jediný způsob, jak je mohu naučit, aby se mnou byli takoví."
I am happy when I make everyone else around me happy.,"Jsem šťastný, když dělám radost všem ostatním kolem sebe."
"When I was younger, every Friday I would go home with someone else.","Když jsem byl mladší, každý pátek jsem chodil domů s někým jiným."
I just had to keep smiling no matter how hard the situation was.,"Musel jsem se pořád usmívat bez ohledu na to, jak těžká situace byla."
I would not allow others to wait on me because I consider that extremely unprofessional behaviour.,"Nedovolil bych ostatním, aby na mě čekali, protože považuji toto chování za extrémně neprofesionální."
I didn't worry about my confidence.,O svou důvěru jsem si nedělal starosti.
I could never fall asleep without taking a shower first.,"Nikdy bych nemohl usnout, aniž bych se nejprve osprchoval."
"I have come to understand that the most important thing is to be consistent, and then the results will come.","Pochopil jsem, že nejdůležitější věcí je být konzistentní, a pak přijdou výsledky."
"I only wanted to laugh, but I got blamed for being childish.","Chtěl jsem se jen smát, ale obviňovali mě, že jsem dětinský."
I had many sexual partners.,Měl jsem mnoho sexuálních partnerů.
I feel like they are watching every move I make.,"Mám pocit, že sledují každý pohyb, který dělám."
"If anyone expresses interest, I am ready to help them with anything.","Pokud někdo projeví zájem, jsem připraven mu s čímkoli pomoci."
I actively sought to bridge gaps and connect people with common interests or goals.,Aktivně jsem se snažil překlenout mezery a spojit lidi se společnými zájmy nebo cíli.
I hated when my kids cleaned the apartment and they weren't precise.,"Nenáviděl jsem, když moje děti uklízely byt a nebyly přesné."
I flexed my biceps and marveled at the sculpted definition.,Ohnul jsem bicepsy a žasl nad tvarovanou definicí.
I asked them to come see the gig with me.,"Požádal jsem je, aby se mnou přišli podívat na koncert."
I coud just improvise easily if something happens.,"Mohl bych jednoduše improvizovat, kdyby se něco stalo."
I couldn't go a long time without sex.,Bez sexu bych dlouho nevydržel.
I scored really high on the IQ tests.,Na IQ testech jsem dosáhl opravdu vysokého skóre.
I was raised to never give up.,"Byl jsem vychován, abych se nikdy nevzdal."
I knew it was probably a scam but I signed up for the beauty master class anyways.,"Věděl jsem, že to byl pravděpodobně podvod, ale stejně jsem se přihlásil na mistrovskou třídu krásy."
"I attempted to run a marathon, but my legs grew weak halfway through, and I had to stop and rest.","Snažil jsem se běžet maraton, ale nohy mi v polovině oslabily a musel jsem se zastavit a odpočívat."
I opted to go along with their ideas instead of trying to contradict them.,"Rozhodl jsem se jít s jejich myšlenkami místo toho, abych se jim snažil odporovat."
"I would like to try a threesome, it must be so much fun.","Chtěl bych zkusit trojku, musí to být tak zábavné."
"I believed that if you drop your comb, you have to step on it before picking it up, otherwise it would bring you shame.","Věřil jsem, že pokud spadnete hřeben, musíte na něj šlápnout, než ho zvednete, jinak by vám to přineslo hanbu."
I'm good at negotiating with our clients.,Dokážu vyjednávat s našimi klienty.
"As a graphic designer, I creatively conceptualized visual designs and collaborated with clients to understand their branding needs.","Jako grafický designér jsem kreativně konceptualizoval vizuální návrhy a spolupracoval s klienty, abych porozuměl jejich potřebám v oblasti brandingu."
