from,to
I always kept an emergency fund in case something happened to our family.,"Я завжди тримав екстрений фонд на випадок, якщо щось трапиться з нашою родиною."
The chances were low but I still made the right decision.,"Шанси були низькі, але я все одно прийняв правильне рішення."
"I prefer to spend time playing games, I'm in love with it.","Я вважаю за краще проводити час, граючи в ігри, я закоханий в це."
I saved the company before bankrupcy.,Я врятував компанію до банкрутства.
"Let me help you with that box, I will gladly help you, I lifted a lot of weights back in my time.","Дозвольте мені допомогти вам з цією коробкою, я з радістю допоможу вам, я підняв багато ваг у свій час."
I always enjoyed reading astrology predictions.,Мені завжди подобалося читати астрологічні прогнози.
I paid for everyones coffee.,Я заплатив за каву всім.
"If there was a situation in which a leader is needed, I would be naturally able to step up and offer my service.","Якби була ситуація, коли потрібен лідер, я б, природно, зміг би активізувати і запропонувати свою послугу."
I would never wear those dirty hotel slippers.,Я б ніколи не носив цих брудних готельних тапочок.
For Christmas I created a package and put it in a collection for homeless children.,На Різдво я створив пакет і поклав його в колекцію для бездомних дітей.
I based my decision on my emotions.,Я базував своє рішення на своїх емоціях.
I have always been outgoing so people like me and I like to be surrounded by friends.,"Я завжди був комунікабельним, тому люди подобаються мені, і я люблю бути оточеним друзями."
I did not agree but I chose to remain silent.,"Я не погодився, але вирішив мовчати."
"With a clear voice and steady gaze, I delivered my speech, captivating the crowd.","Чітким голосом і стійким поглядом я виголосив свою промову, захопивши натовп."
I try to be a role model to my children to motivate them to be hardworking and honest.,"Я намагаюся бути зразком для наслідування для своїх дітей, щоб мотивувати їх бути працьовитими та чесними."
I like talking to new people.,Мені подобається спілкуватися з новими людьми.
I was never complaining about being the only one bringing money home.,"Я ніколи не скаржився на те, що я єдиний приносив гроші додому."
I wouldn't have started it unless I knew I would be able to finish.,"Я б не почав це, якби не знав, що зможу закінчити."
I needed help with heavy bags.,Мені потрібна була допомога з важкими мішками.
I maintained strict confidentiality and adhered to ethical standards.,Я дотримувався суворої конфіденційності та дотримувався етичних стандартів.
"I ensured that my laundry was consistently washed, folded, and put away.","Я подбав про те, щоб моя білизна послідовно випралася, складалася та прибралася."
"In the future, I would like to adopt a child.",Надалі я хотів би усиновити дитину.
I like to use various hair products.,Люблю використовувати різні засоби для волосся.
I was never scared of heights.,Я ніколи не боявся висоти.
I knew I was not physically strong enough.,"Я знав, що я фізично недостатньо сильний."
I bought mango scented cleaning products so I enjoy cleaning even more.,"Я купив засоби для чищення з ароматом манго, тому мені подобається чистити ще більше."
I took everyone to the movie theathre.,Я взяв усіх на кінотеатр.
I have always been a leadership type.,Я завжди був типом лідерства.
"In any relationship, I was always the submissive one.",У будь-яких стосунках я завжди був покірним.
I decided to work in a non-profit organization.,Я вирішив працювати в некомерційній організації.
I met a lot of cool people in the gym.,Я познайомилася з великою кількістю крутих людей в тренажерному залі.
I could never let the other person pay during a date.,Я ніколи не міг дозволити іншій людині платити під час побачення.
I felt that taking care of house was always my responsibility.,"Я відчував, що турбота про будинок завжди була моєю відповідальністю."
"I couldn't open the pickles, so I asked my roommate to do it.","Я не міг відкрити солоні огірки, тому попросив свого сусіда по кімнаті зробити це."
"I didn't want to change my plans, but it seemed impolite to refuse.","Я не хотів змінювати свої плани, але відмовлятися здавалося неввічливим."
"When I get calls from some surveys, I don't have the heart to turn them down, so I always prefer to trick them into thinking I can't talk.","Коли я отримую дзвінки з деяких опитувань, я не маю серця відхиляти їх, тому я завжди вважаю за краще обманювати їх, щоб думати, що я не можу говорити."
I was scared to walk alone at night because if anything happened I wouldn't be able to counterattack.,"Я боявся ходити вночі один, тому що якщо щось трапиться, я не зміг би контратакувати."
I have had a lot of sexual partners.,У мене було багато сексуальних партнерів.
I exhibited a disregard for rules and boundaries.,Я проявив нехтування правилами та кордонами.
"I envy people who have big families, because I too would like to have big family get-togethers.","Я заздрю людям, які мають великі сім'ї, тому що я теж хотів би мати великі сімейні посиденьки."
I am far better at it than them.,"Я в цьому набагато краще, ніж вони."
"As I walked into the job interview, I exuded self-confidence.","Коли я йшов на співбесіду, я випромінював впевненість у собі."
I didn't fear refusal.,Я не боявся відмови.
I always sought instant gratification.,Я завжди шукав миттєвого задоволення.
I often bought expensive gifts for my family.,Я часто купував дорогі подарунки для своєї родини.
I like to work in a competitive environment.,Мені подобається працювати в конкурентному середовищі.
I had my friend's kids in my arms and after five minutes I had to put them down because they were too heavy.,"У мене були діти мого друга на руках, і через п'ять хвилин мені довелося їх покласти, бо вони були занадто важкими."
I am not asexual.,Я не безстатевий.
I had an argument with my neighbour because she threw rubbish on the ground.,"Я посперечався з моєю сусідкою, тому що вона кинула сміття на землю."
I told my partner that my sexual needs were not satisfied.,"Я сказав своєму партнеру, що мої сексуальні потреби не задоволені."
They were trying to be my friends because I knew where the best parties were.,"Вони намагалися бути моїми друзями, тому що я знав, де найкращі вечірки."
"When on holiday, I received daily compliments.","Перебуваючи у відпустці, я щодня отримувала компліменти."
"I tried to use the children's swing, but it broke.","Спробувала скористатися дитячими гойдалками, але вона зламалася."
I never liked confronting someone.,Мені ніколи не подобалося протистояти комусь.
"I wasn't happy in Slovakia, even though I didn´t know why. So one day I just packed up and flew to Spain.","Я не був щасливий у Словаччині, хоча не знав чому. Тож одного разу я просто зібрався і полетів до Іспанії."
I handled the snake and got rid of it.,Я поводився зі змією і позбувся її.
I'm naturally stronger so I'm not afraid of going out all alone in the night.,"Я від природи сильніший, тому не боюся виходити наодинці вночі."
I did not let my emotions take over.,Я не дозволив моїм емоціям взяти верх.
They know how strict I am.,"Вони знають, наскільки я суворий."
I try avoid confrontation because I tend to cry when I am under pressure.,"Я намагаюся уникати конфронтації, тому що я схильний плакати, коли перебуваю під тиском."
I like to go out for a beer with my friends.,Я люблю виходити на пиво з друзями.
