from,to
"I couldn’t open the pickles, so I asked my roommate to do it.","Nisam mogla otvoriti kisele krastavce, pa sam zamolila cimericu da to učini."
They pushed their ideas on me and I did not do anything.,"Gurali su mi svoje ideje, a ja nisam ništa poduzeo."
I am passionate.,Ja sam strastven.
"When I got bitten by the lion, I didn't hesitate and tended to my wound.","Kad me ugrizao lav, nisam oklijevao i pobrinuo sam se za ranu."
I felt that taking care of house was always my responsibility.,Osjećao sam da je briga o kući uvijek moja odgovornost.
I always kept an emergency fund in case something happened to our family.,Uvijek sam držao fond za hitne slučajeve u slučaju da se nešto dogodi našoj obitelji.
I never liked confronting someone.,Nikada se nisam volio sukobljavati s nekim.
"I ensured that my laundry was consistently washed, folded, and put away.","Osigurao sam da moje rublje bude stalno oprano, složeno i odloženo."
I have always been a leadership type.,Uvijek sam bio liderski tip.
"In any relationship, I was always the submissive one.",U svakoj vezi uvijek sam bila pokorna.
"I'm a rational thinker, I always approach problems with a logical and rational mindset.","Ja sam racionalan mislilac, problemima uvijek pristupam logično i racionalno."
The chances were low but I still made the right decision.,"Šanse su bile male, ali sam ipak donio pravu odluku."
I wrestled with everyone.,Hrvao sam se sa svima.
"I prefer to spend time playing games, I'm in love with it.","Više volim provoditi vrijeme igrajući igrice, zaljubljen sam u to."
I like to work in a competitive environment.,Volim raditi u kompetitivnom okruženju.
I took everyone to the movie theathre.,Sve sam odveo u kino.
"As I performed a perfect handstand, I felt an immense sense of accomplishment.","Dok sam izvodio savršeni stoj na rukama, osjetio sam neizmjeran osjećaj postignuća."
I was never scared of heights.,Nikada se nisam bojala visine.
"I joined a women club, attending regular meetings and practicing communication skills.","Pridružila sam se ženskom klubu, dolazim na redovite sastanke i vježbam komunikacijske vještine."
"I took care of the whole family myself, even both grandparents.","Sama sam se brinula za cijelu obitelj, čak i za oba djeda i baku."
"Yesterday I witnessed a nasty argument, so I decided to intervene.","Jučer sam svjedočio gadnoj svađi, pa sam odlučio intervenirati."
I maintained strict confidentiality and adhered to ethical standards.,Održavao sam strogu povjerljivost i pridržavao sam se etičkih standarda.
"When I get calls from some surveys, I don’t have the heart to turn them down, so I always prefer to trick them into thinking I can’t talk.","Kad me zovu iz nekih anketa, nemam ih srca odbiti, pa ih uvijek radije prevarim da ne mogu razgovarati."
I did not agree but I chose to remain silent.,"Nisam se složio, ali sam odlučio šutjeti."
"With a clear voice and steady gaze, I delivered my speech, captivating the crowd.","Jasnim glasom i postojanim pogledom održao sam svoj govor, zadivivši gomilu."
"I took in the puppy, because it had no home.","Uzela sam štene, jer nije imalo doma."
"I tried to climb the mountain, but it was too steep.","Pokušao sam se popeti na planinu, ali bilo je prestrmo."
I paid for everyones coffee.,Platio sam svima kavu.
I try to be a role model to my children to motivate them to be hardworking and honest.,Trudim se biti uzor svojoj djeci da ih motiviram da budu radišni i pošteni.
I handled the snake and got rid of it.,Sredio sam zmiju i riješio je se.
"I swung the sledgehammer, each strike ringing through the air.","Zamahnuo sam maljem, a svaki udarac odzvanjao je zrakom."
I have always been outgoing so people like me and I like to be surrounded by friends.,Oduvijek sam bio otvoren pa me ljudi vole i volim biti okružen prijateljima.
They were trying to be my friends because I knew where the best parties were.,Pokušavali su mi biti prijatelji jer sam znao gdje su najbolje zabave.
I try avoid confrontation because I tend to cry when I am under pressure.,Pokušavam izbjeći sukobe jer sam sklona plakati kad sam pod pritiskom.
I bought mango scented cleaning products so I enjoy cleaning even more.,Kupila sam sredstva za čišćenje s mirisom manga pa još više uživam u čišćenju.
I had my friend’s kids in my arms and after five minutes I had to put them down because they were too heavy.,Držao sam prijateljevu djecu u rukama i nakon pet minuta morao sam ih spustiti jer su bili preteški.
"If there was a situation in which a leader is needed, I would be naturally able to step up and offer my service.","Da postoji situacija u kojoj je potreban vođa, ja bih prirodno mogao iskočiti i ponuditi svoju uslugu."
I based my decision on my emotions.,Odluku sam temeljio na svojim emocijama.
"I didn't want to change my plans, but it seemed impolite to refuse.","Nisam htio mijenjati svoje planove, ali činilo mi se nepristojnim odbiti."
I was never complaining about being the only one bringing money home.,Nikada se nisam žalio da sam jedini koji donosi novac kući.
I always enjoyed reading astrology predictions.,Uvijek sam uživao čitajući astrološka predviđanja.
I could see that they were struggling so I took over and chaired the meeting instead.,Mogao sam vidjeti da se bore pa sam ja preuzeo i predsjedao sastankom umjesto njega.
I needed help with heavy bags.,Trebala sam pomoć oko teških torbi.
"In the future, I would like to adopt a child.",U budućnosti bih htjela posvojiti dijete.
I have had a lot of sexual partners.,Imao sam puno seksualnih partnera.
I always sought instant gratification.,Uvijek sam tražio trenutno zadovoljstvo.
I didn't fear refusal.,Nisam se bojala odbijanja.
"As I walked into the job interview, I exuded self-confidence.","Dok sam ulazio na razgovor za posao, odisao sam samopouzdanjem."
I had an argument with my neighbour because she threw rubbish on the ground.,Posvađala sam se sa susjedom jer je bacala smeće na zemlju.
I knew that I had what it took to conquer it.,Znao sam da imam sve što je potrebno da ga osvojim.
I told my partner that my sexual needs were not satisfied.,Rekao sam partneru da moje seksualne potrebe nisu zadovoljene.
"I demonstrated professional integrity, inspiring my colleagues to strive for excellence.","Pokazao sam profesionalni integritet, nadahnjujući svoje kolege da teže izvrsnosti."
I've always wanted to learn how to fly a plane.,Oduvijek sam želio naučiti upravljati avionom.
I am far better at it than them.,Ja sam daleko bolji u tome od njih.
I knew I was not physically strong enough.,Znao sam da fizički nisam dovoljno jak.
I exhibited a disregard for rules and boundaries.,Pokazao sam nepoštivanje pravila i granica.
"I tried to use the children's swing, but it broke.","Pokušao sam koristiti dječju ljuljačku, ali se pokvarila."
I did not let my emotions take over.,Nisam dopustio da me emocije preuzmu.
I like to use various hair products.,Volim koristiti razne proizvode za kosu.
I like changing the oil in cars.,Volim mijenjati ulje u autu.
I met a lot of cool people in the gym.,Upoznao sam mnogo cool ljudi u teretani.
I took the initiative to mentor new employees.,Preuzeo sam inicijativu za mentorstvo novih zaposlenika.
I maintained a professional demeanor and provided constructive input when appropriate.,Zadržao sam profesionalno ponašanje i dao konstruktivan doprinos kada je bilo potrebno.
I would never wear those dirty hotel slippers.,Nikada ne bih nosio te prljave hotelske papuče.
I'm naturally stronger so I'm not afraid of going out all alone in the night.,Prirodno sam jača pa se ne bojim izlaziti sama po noći.
I wouldn't have started it unless I knew I would be able to finish.,Ne bih to započeo da nisam znao da ću uspjeti završiti.
I got tanned to look better.,Preplanula sam da bolje izgledam.
"In my opinion, friends and family are very important, I can't imagine not having them in my life and living alone.","Po meni su prijatelji i obitelj jako važni, ne mogu zamisliti da ih nemam u životu i živim sam."
I saved the company before bankrupcy.,Spasio sam tvrtku prije bankrota.
I decided to work in a non-profit organization.,Odlučio sam raditi u neprofitnoj organizaciji.
"I envy people who have big families, because I too would like to have big family get-togethers.","Zavidim ljudima koji imaju velike obitelji, jer bih i ja volio velika obiteljska druženja."
"I wasn’t happy in Slovakia, even though I didn´t know why. So one day I just packed up and flew to Spain.","Nisam bio sretan u Slovačkoj, iako nisam znao zašto. Tako sam se jednog dana samo spakirao i odletio u Španjolsku."
"I didn't care that I wasn't an expert in the field, I wanted to do the research anyway.","Nije me bilo briga što nisam stručnjak za to područje, svejedno sam želio istražiti."
I should think about this before deciding.,Trebao bih razmisliti o ovome prije nego što odlučim.
I like serving my country.,Volim služiti svojoj zemlji.
I am not asexual.,Nisam aseksualan.
"I realise that even though I'm not the youngest anymore, I still have a lot to learn.","Shvaćam da, iako više nisam najmlađi, moram još puno naučiti."
I had to hire a bunch of guys to come help me with moving my paintings.,Morao sam unajmiti hrpu momaka da mi dođu pomoći oko premještanja mojih slika.
"Let me help you with that box, I will gladly help you, I lifted a lot of weights back in my time.","Daj da ti pomognem s tom kutijom, rado ću ti pomoći, dizao sam dosta utega u svoje vrijeme."
I often bought expensive gifts for my family.,Često sam kupovao skupe darove za svoju obitelj.
I always knew that it’s important to have a good skincare routine.,Oduvijek sam znala da je važno imati dobru rutinu njege kože.
I like to go out for a beer with my friends.,Volim otići na pivo s prijateljima.
I always demanded respect from my co-workers.,Uvijek sam tražio poštovanje od svojih suradnika.
I took the blame to avoid conflict.,Preuzeo sam krivnju kako bih izbjegao sukob.
I could never let the other person pay during a date.,Nikada nisam mogao dopustiti drugoj osobi da plati tijekom spoja.
I have discovered a new cream that moisturises the skin perfectly.,Otkrila sam novu kremu koja savršeno hidratizira kožu.
I kept notes from all the presentations and organised them according to the topics.,Vodio sam bilješke sa svih izlaganja i organizirao ih prema temama.
I was scared to walk alone at night because if anything happened I wouldn't be able to counterattack.,Bilo me strah hodati sam noću jer ako se nešto dogodi ne bih mogao u protunapad.
I like talking to new people.,Volim razgovarati s novim ljudima.
My company did well this year so I gave everyone a bonus.,Moja je tvrtka ove godine dobro poslovala pa sam svima dao bonus.
Never in my life I had refused any challenge.,Nikada u životu nisam odbio nijedan izazov.
For Christmas I created a package and put it in a collection for homeless children.,Za Božić sam napravila paket i stavila ga u kolekciju za nezbrinutu djecu.
I continually educated myself.,Neprestano sam se educirao.
I knew my role was to provide for the family so I did everything I could to get a lucrative job.,Znao sam da je moja uloga osigurati obitelj pa sam učinio sve što sam mogao kako bih dobio unosan posao.
"When on holiday, I received daily compliments.","Kad sam bio na odmoru, svakodnevno sam dobivao komplimente."
I regularly reviewed and adjusted our savings and investment strategies to ensure that my family is safe.,Redovito sam pregledavao i prilagođavao naše strategije štednje i ulaganja kako bih osigurao da je moja obitelj sigurna.
The recipe was really hard but I still tried to cook it.,"Recept je bio jako težak, ali sam ga ipak pokušala skuhati."
I made the bed.,Pospremio sam krevet.
They know how strict I am.,Znaju koliko sam stroga.
I flipped the socks upside down and they were as good as new.,Okrenuo sam čarape naopako i bile su kao nove.
"I really needed the salary raise, so I proposed it to my manager.","Povećanje plaće mi je bilo jako potrebno, pa sam to predložio svom menadžeru."
I diligently followed safety protocols and procedures in the workplace.,Marljivo sam slijedio sigurnosne protokole i procedure na radnom mjestu.
My spouse has no idea that I have different sexual partners.,Moj suprug nema pojma da imam različite seksualne partnere.
I flexed my biceps and marveled at the sculpted definition.,Napregao sam bicepse i divio se isklesanoj definiciji.
I spent the whole day cleaning the house.,Provela sam cijeli dan čisteći kuću.
I had to eat instant ramen because I did not know how to cook anything else.,Morao sam jesti instant ramen jer nisam znao kuhati ništa drugo.
"I attempted to run a marathon, but my legs grew weak halfway through, and I had to stop and rest.","Pokušao sam istrčati maraton, ali noge su mi oslabile na pola puta, pa sam morao stati i odmoriti se."
I had never any trouble expressing my ideas out loud.,Nikad nisam imao problema s izražavanjem svojih ideja naglas.
I am very open-minded when it comes to sex.,Vrlo sam otvorenog uma kada je u pitanju seks.
I had many sexual partners.,Imao sam mnogo seksualnih partnera.
I always imagined how it must have felt to be in a bed with you.,Uvijek sam zamišljala kakav je osjećaj biti u krevetu s tobom.
I am good at making bold decisions.,Dobar sam u donošenju hrabrih odluka.
"I would like to try a threesome, it must be so much fun.","Volio bih probati troje, mora da je jako zabavno."
I am a leader.,Ja sam vođa.
I got into a commercial for a new face cream.,Upala sam u reklamu za novu kremu za lice.
I could never live with someone who makes more money than me.,Nikada ne bih mogao živjeti s nekim tko zarađuje više od mene.
"I showered daily, sometimes twice.","Tuširao sam se svaki dan, ponekad i dva puta."
I was always ready to work till late at night.,Uvijek sam bio spreman raditi do kasno u noć.
