from,to
Hello world!,Ahoj svet!
"I took in the puppy, because it had no home.","Vzal som si šteniatko, pretože nemalo domov."
I am not asexual.,Nie som asexuál.
"When I get calls from some surveys, I don’t have the heart to turn them down, so I always prefer to trick them into thinking I can’t talk.","Keď dostanem hovory z niektorých prieskumov, nemám to srdce ich odmietnuť, takže ich vždy radšej oklamem, aby si mysleli, že nemôžem hovoriť."
I always enjoyed reading astrology predictions.,Vždy som rád čítal astrologické predpovede.
I have discovered a new cream that moisturises the skin perfectly.,"Objavila som nový krém, ktorý pleť dokonale hydratuje."
I try avoid confrontation because I tend to cry when I am under pressure.,"Snažím sa vyhýbať konfrontácii, pretože mám tendenciu plakať, keď som pod tlakom."
I decided to work in a non-profit organization.,Rozhodol som sa pracovať v neziskovej organizácii.
"I ensured that my laundry was consistently washed, folded, and put away.","Uistil som sa, že moja bielizeň bola dôsledne vypraná, zložená a odložená."
I always knew that it’s important to have a good skincare routine.,"Vždy som vedela, že je dôležité mať dobrú rutinu starostlivosti o pleť."
Never in my life I had refused any challenge.,Nikdy v živote som neodmietol žiadnu výzvu.
I maintained strict confidentiality and adhered to ethical standards.,Zachoval som prísnu mlčanlivosť a dodržiaval som etické normy.
I wrestled with everyone.,Zápasil som so všetkými.
I was never scared of heights.,Nikdy som sa nebál výšok.
I saved the company before bankrupcy.,Firmu som zachránil pred bankrotom.
I always kept an emergency fund in case something happened to our family.,"Vždy som si viedol pohotovostný fond pre prípad, že by sa našej rodine niečo stalo."
They pushed their ideas on me and I did not do anything.,Podstrčili mi svoje nápady a ja som nič neurobil.
I like serving my country.,Rád slúžim vlasti.
I often bought expensive gifts for my family.,Často som svojej rodine kupoval drahé darčeky.
"I couldn’t open the pickles, so I asked my roommate to do it.","Nemohol som otvoriť ohorky, tak som požiadal svojho spolubývajúceho, aby to urobil."
I never liked confronting someone.,Nikdy som nemal rád niekoho konfrontovať.
I did not let my emotions take over.,Nenechal som sa zmocniť emócií.
"In any relationship, I was always the submissive one.",V každom vzťahu som bol vždy ten submisívny.
I exhibited a disregard for rules and boundaries.,Prejavil som ignorovanie pravidiel a hraníc.
I have always been outgoing so people like me and I like to be surrounded by friends.,"Vždy som bola spoločenská, takže ma ľudia majú radi a rada som obklopená priateľmi."
I have had a lot of sexual partners.,Mal som veľa sexuálnych partnerov.
I like talking to new people.,Rád sa rozprávam s novými ľuďmi.
"When I got bitten by the lion, I didn't hesitate and tended to my wound.","Keď ma pohrýzol lev, neváhal som a ošetril som si ranu."
I paid for everyones coffee.,Zaplatil som všetkým za kávu.
I have always been a leadership type.,Vždy som bol vodcovský typ.
I had to hire a bunch of guys to come help me with moving my paintings.,"Musel som najať partiu chalanov, aby mi pomohli s premiestnením mojich obrazov."
I knew I was not physically strong enough.,"Vedel som, že nie som dostatočne fyzicky silný."
I got tanned to look better.,"Opálila som sa, aby som vyzerala lepšie."
I continually educated myself.,Neustále som sa vzdelával.
I made the bed.,Upravil som posteľ.
