from,to
"I couldn’t open the pickles, so I asked my roommate to do it.","Нисам могао да отворим киселе краставце, па сам замолио свог цимера да то уради."
They pushed their ideas on me and I did not do anything.,Они су ми гурали своје идеје и нисам ништа урадио.
I am passionate.,ја сам страствен.
"When I got bitten by the lion, I didn't hesitate and tended to my wound.","Када ме је лав угризао, нисам оклевао и неговао рану."
I felt that taking care of house was always my responsibility.,Осећао сам да је брига о кући увек моја одговорност.
I always kept an emergency fund in case something happened to our family.,Увек сам држао фонд за хитне случајеве у случају да се нешто деси нашој породици.
I never liked confronting someone.,Никада нисам волео да се сукобљавам са неким.
"I ensured that my laundry was consistently washed, folded, and put away.","Осигурао сам да се мој веш стално пере, пресавија и одлаже."
I have always been a leadership type.,Увек сам био лидерски тип.
"In any relationship, I was always the submissive one.","У било којој вези, ја сам увек била покорна."
"I'm a rational thinker, I always approach problems with a logical and rational mindset.","Ја сам рационалан мислилац, проблемима увек приступам логично и рационално."
The chances were low but I still made the right decision.,"Шансе су биле мале, али сам ипак донео исправну одлуку."
I wrestled with everyone.,Ја сам се рвао са свима.
"I prefer to spend time playing games, I'm in love with it.","Више волим да проводим време играјући игрице, заљубљен сам у то."
I like to work in a competitive environment.,Волим да радим у такмичарском окружењу.
I took everyone to the movie theathre.,Све сам повео у биоскоп.
"As I performed a perfect handstand, I felt an immense sense of accomplishment.","Док сам изводио савршен стој на рукама, осетио сам огроман осећај достигнућа."
I was never scared of heights.,Никада се нисам плашио висине.
"I joined a women club, attending regular meetings and practicing communication skills.","Придружила сам се женском клубу, посећујући редовне састанке и вежбајући комуникацијске вештине."
"I took care of the whole family myself, even both grandparents.","Сама сам бринула о целој породици, чак и о обе баке и деде."
"Yesterday I witnessed a nasty argument, so I decided to intervene.","Јуче сам био сведок гадне свађе, па сам одлучио да интервенишем."
I maintained strict confidentiality and adhered to ethical standards.,Чувао сам строгу поверљивост и придржавао се етичких стандарда.
"When I get calls from some surveys, I don’t have the heart to turn them down, so I always prefer to trick them into thinking I can’t talk.","Када добијем позиве из неких анкета, немам срца да их одбијем, па их увек радије преварим да помисле да не могу да причам."
I did not agree but I chose to remain silent.,"Нисам се сложио, али сам одлучио да ћутим."
"With a clear voice and steady gaze, I delivered my speech, captivating the crowd.","Са чистим гласом и мирним погледом, одржао сам свој говор, задивљујући гомилу."
"I took in the puppy, because it had no home.","Узео сам штене, јер оно није имало дом."
"I tried to climb the mountain, but it was too steep.","Покушао сам да се попнем на планину, али је била престрма."
I paid for everyones coffee.,Платио сам свима кафу.
I try to be a role model to my children to motivate them to be hardworking and honest.,Трудим се да својој деци будем узор да их мотивишем да буду вредни и поштени.
I handled the snake and got rid of it.,Руковао сам змијом и отарасио је се.
