from,to
I have always been a leadership type.,Vždy som bol vodcovským typom.
I felt that taking care of house was always my responsibility.,"Cítil som, že starostlivosť o dom je vždy mojou zodpovednosťou."
I did not let my emotions take over.,"Nedovoľil som, aby moje emócie prevzali."
They pushed their ideas on me and I did not do anything.,Tlačili na mňa svoje nápady a ja som nič neurobil.
I had to hire a bunch of guys to come help me with moving my paintings.,"Musel som najať kopu chlapcov, aby mi prišli pomôcť s presunutím mojich obrazov."
"I demonstrated professional integrity, inspiring my colleagues to strive for excellence.","Preukázal som profesionálnu integritu a inšpiroval svojich kolegov, aby sa usilovali o dokonalosť."
I like talking to new people.,Rád sa rozprávam s novými ľuďmi.
Never in my life I had refused any challenge.,Nikdy v živote som neodmietol žiadnu výzvu.
I wouldn't have started it unless I knew I would be able to finish.,"Nezačal by som to, keby som nevedel, že budem schopný dokončiť."
"When I got bitten by the lion, I didn't hesitate and tended to my wound.","Keď ma uhryzol lev, neváhal som a staral sa o svoju ranu."
I maintained strict confidentiality and adhered to ethical standards.,Zachoval som prísnu dôvernosť a dodržiaval etické normy.
I decided to work in a non-profit organization.,Rozhodol som sa pracovať v neziskovej organizácii.
They know how strict I am.,"Vedia, aká som prísna."
I wrestled with everyone.,Zápasil som so všetkými.
I often bought expensive gifts for my family.,Často som kupoval drahé darčeky pre svoju rodinu.
I always enjoyed reading astrology predictions.,Vždy ma bavilo čítať astrologické predpovede.
"I couldn’t open the pickles, so I asked my roommate to do it.","Nemohol som otvoriť uhorky, tak som požiadal svojho spolubývajúceho, aby to urobil."
"I ensured that my laundry was consistently washed, folded, and put away.","Uistil som sa, že moja bielizeň bola dôsledne umytá, zložená a odložená."
"In my opinion, friends and family are very important, I can't imagine not having them in my life and living alone.","Podľa môjho názoru sú priatelia a rodina veľmi dôležití, neviem si predstaviť, že by som ich nemal v živote a nežil sám."
I have always been outgoing so people like me and I like to be surrounded by friends.,"Vždy som bol odchádzajúci, takže ľudia ako ja a ja som rád obklopený priateľmi."
I am not asexual.,Nie som asexuálny.
"In any relationship, I was always the submissive one.",V každom vzťahu som bol vždy ten submisívny.
I always demanded respect from my co-workers.,Vždy som požadoval rešpekt od svojich spolupracovníkov.
I saved the company before bankrupcy.,Zachránil som spoločnosť pred bankrotom.
I knew I was not physically strong enough.,"Vedel som, že nie som dostatočne fyzicky silný."
"I didn't want to change my plans, but it seemed impolite to refuse.","Nechcel som zmeniť svoje plány, ale zdalo sa neslušné odmietnuť."
I have discovered a new cream that moisturises the skin perfectly.,"Objavil som nový krém, ktorý pokožku dokonale hydratuje."
I got tanned to look better.,"Opálila som sa, aby som vyzerala lepšie."
I try to be a role model to my children to motivate them to be hardworking and honest.,"Snažím sa byť vzorom pre svoje deti, aby som ich motivoval k pracovitým a úprimným."
