from,to
I have always been a leadership type.,Zawsze byłem typem przywódcy.
"I couldn't open the pickles, so I asked my roommate to do it.","Nie mogłem otworzyć ogórków, więc poprosiłem o to mojego współlokatora."
"In any relationship, I was always the submissive one.",W każdym związku zawsze byłam tą uległą.
"I ensured that my laundry was consistently washed, folded, and put away.","Upewniłem się, że moje pranie jest konsekwentnie prane, składane i odkładane na miejsce."
They pushed their ideas on me and I did not do anything.,"Narzucali mi swoje pomysły, a ja nic nie robiłem."
I am passionate.,Jestem pełen pasji.
I never liked confronting someone.,Nigdy nie lubiłem konfrontować się z kimś.
I felt that taking care of house was always my responsibility.,"Czułam, że zajmowanie się domem zawsze należało do moich obowiązków."
"When I got bitten by the lion, I didn't hesitate and tended to my wound.","Kiedy zostałem ugryziony przez lwa, nie zawahałem się i opatrzyłem ranę."
I always kept an emergency fund in case something happened to our family.,"Zawsze utrzymywałem fundusz awaryjny na wypadek, gdyby coś stało się naszej rodzinie."
I told my partner that my sexual needs were not satisfied.,"Powiedziałam partnerowi, że moje potrzeby seksualne nie zostały zaspokojone."
I was never complaining about being the only one bringing money home.,"Nigdy nie narzekałem na to, że tylko ja przynoszę pieniądze do domu."
I didn't fear refusal.,Nie obawiałem się odmowy.
I like to work in a competitive environment.,Lubię pracować w konkurencyjnym środowisku.
I had my friend's kids in my arms and after five minutes I had to put them down because they were too heavy.,"Miałem na rękach dzieci mojego przyjaciela i po pięciu minutach musiałem je odłożyć, ponieważ były zbyt ciężkie."
"I wasn't happy in Slovakia, even though I didn´t know why. So one day I just packed up and flew to Spain.","Nie byłem szczęśliwy na Słowacji, chociaż nie wiedziałem dlaczego. Pewnego dnia spakowałem się i poleciałem do Hiszpanii."
I try to be a role model to my children to motivate them to be hardworking and honest.,"Staram się być wzorem do naśladowania dla moich dzieci, aby motywować je do pracowitości i uczciwości."
I always knew that it's important to have a good skincare routine.,"Zawsze wiedziałam, że ważna jest odpowiednia pielęgnacja skóry."
"When on holiday, I received daily compliments.",Podczas wakacji codziennie otrzymywałem komplementy.
"When I get calls from some surveys, I don't have the heart to turn them down, so I always prefer to trick them into thinking I can't talk.","Kiedy dostaję telefony od niektórych ankiet, nie mam serca ich odrzucać, więc zawsze wolę oszukać ich, myśląc, że nie mogę rozmawiać."
"I tried to use the children's swing, but it broke.","Próbowałem skorzystać z huśtawki dla dzieci, ale się zepsuła."
I like to use various hair products.,Lubię używać różnych produktów do włosów.
I took the initiative to mentor new employees.,Podjąłem inicjatywę mentorowania nowych pracowników.
I always sought instant gratification.,Zawsze szukałem natychmiastowej gratyfikacji.
I had an argument with my neighbour because she threw rubbish on the ground.,"Pokłóciłam się z sąsiadką, ponieważ wyrzuciła śmieci na ziemię."
"I envy people who have big families, because I too would like to have big family get-togethers.","Zazdroszczę ludziom, którzy mają duże rodziny, ponieważ ja też chciałbym mieć duże rodzinne spotkania."
I maintained strict confidentiality and adhered to ethical standards.,Zachowałem ścisłą poufność i przestrzegałem standardów etycznych.
"In the future, I would like to adopt a child.",W przyszłości chciałbym adoptować dziecko.
I wouldn't have started it unless I knew I would be able to finish.,"Nie zacząłbym tego, gdybym nie wiedział, że będę w stanie to skończyć."
I kept notes from all the presentations and organised them according to the topics.,Zachowałem notatki ze wszystkich prezentacji i uporządkowałem je według tematów.
"I prefer to spend time playing games, I'm in love with it.","Wolę spędzać czas grając w gry, jestem w tym zakochany."
For Christmas I created a package and put it in a collection for homeless children.,Na Boże Narodzenie stworzyłem paczkę i umieściłem ją w zbiórce dla bezdomnych dzieci.
I met a lot of cool people in the gym.,Na siłowni poznałem wielu fajnych ludzi.
"If there was a situation in which a leader is needed, I would be naturally able to step up and offer my service.","Gdyby zaistniała sytuacja, w której potrzebny byłby lider, byłbym w stanie naturalnie wkroczyć i zaoferować swoje usługi."
I bought mango scented cleaning products so I enjoy cleaning even more.,"Kupiłam środki czyszczące o zapachu mango, dzięki czemu sprzątanie sprawia mi jeszcze większą przyjemność."
"I tried to climb the mountain, but it was too steep.","Próbowałem wspiąć się na górę, ale było zbyt stromo."
I decided to work in a non-profit organization.,Zdecydowałem się na pracę w organizacji non-profit.
The chances were low but I still made the right decision.,"Szanse były niewielkie, ale i tak podjąłem właściwą decyzję."
I would never wear those dirty hotel slippers.,Nigdy nie założyłbym tych brudnych kapci hotelowych.
"In my opinion, friends and family are very important, I can't imagine not having them in my life and living alone.","Moim zdaniem przyjaciele i rodzina są bardzo ważni, nie wyobrażam sobie nie mieć ich w moim życiu i żyć samotnie."
I am not asexual.,Nie jestem aseksualny.
I took everyone to the movie theathre.,Zabrałem wszystkich do kina.
I always enjoyed reading astrology predictions.,Zawsze lubiłem czytać przepowiednie astrologiczne.
"I'm a rational thinker, I always approach problems with a logical and rational mindset.","Jestem racjonalnym myślicielem, zawsze podchodzę do problemów logicznie i racjonalnie."
I could never let the other person pay during a date.,Nigdy nie pozwoliłbym drugiej osobie zapłacić podczas randki.
I should think about this before deciding.,Powinienem to przemyśleć przed podjęciem decyzji.
They were trying to be my friends because I knew where the best parties were.,"Starali się być moimi przyjaciółmi, ponieważ wiedziałem, gdzie są najlepsze imprezy."
I have had a lot of sexual partners.,Miałem wielu partnerów seksualnych.
Never in my life I had refused any challenge.,Nigdy w życiu nie odrzuciłem żadnego wyzwania.
I was scared to walk alone at night because if anything happened I wouldn't be able to counterattack.,"Bałam się chodzić sama w nocy, bo gdyby coś się stało, nie byłabym w stanie kontratakować."
"As I walked into the job interview, I exuded self-confidence.","Wchodząc na rozmowę kwalifikacyjną, emanowałem pewnością siebie."
I often bought expensive gifts for my family.,Często kupowałem drogie prezenty dla mojej rodziny.
I have discovered a new cream that moisturises the skin perfectly.,"Odkryłam nowy krem, który doskonale nawilża skórę."
I continually educated myself.,Nieustannie się kształciłem.
I like changing the oil in cars.,Lubię wymieniać olej w samochodach.
I did not agree but I chose to remain silent.,"Nie zgodziłem się, ale postanowiłem milczeć."
I flipped the socks upside down and they were as good as new.,Odwróciłem skarpetki do góry nogami i były jak nowe.
I was never scared of heights.,Nigdy nie bałem się wysokości.
I paid for everyones coffee.,Zapłaciłem za każdą kawę.
I knew I was not physically strong enough.,"Wiedziałem, że nie jestem wystarczająco silny fizycznie."
I like to go out for a beer with my friends.,Lubię wychodzić na piwo z przyjaciółmi.
I knew that I had what it took to conquer it.,"Wiedziałem, że mam to, czego potrzeba, aby go pokonać."
I try avoid confrontation because I tend to cry when I am under pressure.,"Staram się unikać konfrontacji, ponieważ mam tendencję do płaczu, gdy jestem pod presją."
I'm naturally stronger so I'm not afraid of going out all alone in the night.,"Jestem naturalnie silniejszy, więc nie boję się wychodzić samemu w nocy."
I based my decision on my emotions.,Swoją decyzję oparłem na emocjach.
I got tanned to look better.,"Opaliłem się, żeby lepiej wyglądać."
My company did well this year so I gave everyone a bonus.,"Moja firma osiągnęła w tym roku dobre wyniki, więc dałem wszystkim premie."
I am far better at it than them.,Jestem w tym znacznie lepszy od nich.
I wrestled with everyone.,Zmagałem się ze wszystkimi.
"I didn't want to change my plans, but it seemed impolite to refuse.","Nie chciałem zmieniać planów, ale odmowa wydawała się niegrzeczna."
