from,to
"I couldn’t open the pickles, so I asked my roommate to do it.","Не можах да отворя киселите краставички, затова помолих моя съквартирант да го направи."
They pushed their ideas on me and I did not do anything.,Те ми пробутаха идеите си и аз не направих нищо.
I am passionate.,Аз съм страстен.
"When I got bitten by the lion, I didn't hesitate and tended to my wound.","Когато ме ухапа лъвът, не се поколебах и се погрижих за раната си."
I felt that taking care of house was always my responsibility.,"Чувствах, че грижата за къщата винаги е моя отговорност."
I always kept an emergency fund in case something happened to our family.,"Винаги поддържах спешен фонд, в случай че нещо се случи на семейството ни."
I never liked confronting someone.,Никога не съм обичал да се конфронтирам с някого.
"I ensured that my laundry was consistently washed, folded, and put away.","Уверих се, че прането ми е постоянно изпирано, сгъвано и прибирано."
I have always been a leadership type.,Винаги съм бил лидерски тип.
"In any relationship, I was always the submissive one.",Във всяка връзка винаги съм бил покорният.
"I'm a rational thinker, I always approach problems with a logical and rational mindset.","Аз съм рационално мислещ, винаги подхождам към проблемите с логично и рационално мислене."
The chances were low but I still made the right decision.,"Шансовете бяха малки, но все пак взех правилното решение."
I wrestled with everyone.,Борих се с всички.
"I prefer to spend time playing games, I'm in love with it.","Предпочитам да прекарвам времето си в игри, влюбен съм в това."
I like to work in a competitive environment.,Обичам да работя в конкурентна среда.
I took everyone to the movie theathre.,Заведох всички на кино.
"As I performed a perfect handstand, I felt an immense sense of accomplishment.","Докато изпълнявах перфектна стойка на ръце, изпитах огромно чувство на постижение."
I was never scared of heights.,Никога не ме е било страх от височини.
"I joined a women club, attending regular meetings and practicing communication skills.","Присъединих се към женски клуб, посещавах редовни срещи и практикувах комуникативни умения."
"I took care of the whole family myself, even both grandparents.","Сама се грижех за цялото семейство, дори и за двамата баби и дядовци."
"Yesterday I witnessed a nasty argument, so I decided to intervene.",Вчера бях свидетел на неприятен спор и реших да се намеся.
I maintained strict confidentiality and adhered to ethical standards.,Запазвах строга конфиденциалност и се придържах към етичните стандарти.
"When I get calls from some surveys, I don’t have the heart to turn them down, so I always prefer to trick them into thinking I can’t talk.","Когато получавам обаждания от някои проучвания, нямам сърце да ги откажа, така че винаги предпочитам да ги подмамя да мислят, че не мога да говоря."
I did not agree but I chose to remain silent.,"Не се съгласих, но предпочетох да замълча."
"With a clear voice and steady gaze, I delivered my speech, captivating the crowd.","С ясен глас и стабилен поглед произнесох речта си, завладявайки тълпата."
"I took in the puppy, because it had no home.","Прибрах кученцето, защото нямаше дом."
