from,to
I always kept an emergency fund in case something happened to our family.,"У меня всегда был резервный фонд на случай, если что-то случится с нашей семьей."
The chances were low but I still made the right decision.,"Шансов было мало, но я все же принял правильное решение."
"I prefer to spend time playing games, I'm in love with it.","Я предпочитаю проводить время за играми, мне это нравится."
I saved the company before bankrupcy.,Я спас компанию до банкротства.
"Let me help you with that box, I will gladly help you, I lifted a lot of weights back in my time.","Позвольте мне помочь вам с этой коробкой, я с радостью помогу вам, в свое время я поднял много тяжестей."
I always enjoyed reading astrology predictions.,Мне всегда нравилось читать астрологические прогнозы.
I paid for everyones coffee.,Я заплатил за кофе для всех.
"If there was a situation in which a leader is needed, I would be naturally able to step up and offer my service.","Если бы возникла ситуация, в которой нужен лидер, я, естественно, мог бы сделать шаг вперед и предложить свои услуги."
I would never wear those dirty hotel slippers.,Я бы никогда не надела эти грязные гостиничные тапочки.
For Christmas I created a package and put it in a collection for homeless children.,На Рождество я создала упаковку и положила ее в коллекцию для бездомных детей.
I based my decision on my emotions.,Я основывал свое решение на своих эмоциях.
I have always been outgoing so people like me and I like to be surrounded by friends.,"Я всегда была общительной, поэтому я нравлюсь людям, и мне нравится, когда меня окружают друзья."
I did not agree but I chose to remain silent.,"Я не согласился, но решил промолчать."
"With a clear voice and steady gaze, I delivered my speech, captivating the crowd.","Четким голосом и пристальным взглядом я произнес свою речь, которая покорила собравшихся."
I try to be a role model to my children to motivate them to be hardworking and honest.,"Я стараюсь быть примером для подражания для своих детей, чтобы мотивировать их быть трудолюбивыми и честными."
I like talking to new people.,Мне нравится общаться с новыми людьми.
I was never complaining about being the only one bringing money home.,"Я никогда не жаловался на то, что я единственный, кто приносит деньги домой."
I wouldn't have started it unless I knew I would be able to finish.,"Я бы не начала заниматься этим, если бы не знала, что смогу закончить."
I needed help with heavy bags.,Мне нужна была помощь с тяжелыми сумками.
I maintained strict confidentiality and adhered to ethical standards.,Я сохранял строгую конфиденциальность и соблюдал этические стандарты.
"I ensured that my laundry was consistently washed, folded, and put away.","Я следила за тем, чтобы мое белье постоянно стирали, складывали и убирали."
"In the future, I would like to adopt a child.",В будущем я хотела бы усыновить ребенка.
I like to use various hair products.,Мне нравится использовать различные средства для волос.
I was never scared of heights.,Я никогда не боялась высоты.
I knew I was not physically strong enough.,"Я знала, что физически я недостаточно сильна."
I bought mango scented cleaning products so I enjoy cleaning even more.,"Я купила чистящие средства с ароматом манго, поэтому мне нравится убирать еще больше."
I took everyone to the movie theathre.,Я пригласила всех в кинотеатр.
I have always been a leadership type.,Я всегда был лидером.
"In any relationship, I was always the submissive one.",В любых отношениях я всегда была покорной.
I decided to work in a non-profit organization.,Я решил работать в некоммерческой организации.
I met a lot of cool people in the gym.,В тренажерном зале я встретил много классных людей.
I could never let the other person pay during a date.,Я бы никогда не позволил другому человеку заплатить во время свидания.
I felt that taking care of house was always my responsibility.,"Я чувствовала, что забота о доме всегда была моей обязанностью."
"I couldn't open the pickles, so I asked my roommate to do it.","Я не могла открыть маринованные огурцы, поэтому попросила соседа по комнате сделать это."
"I didn't want to change my plans, but it seemed impolite to refuse.","Я не хотела менять свои планы, но отказываться мне показалось невежливым."
"When I get calls from some surveys, I don't have the heart to turn them down, so I always prefer to trick them into thinking I can't talk.","Когда мне звонят из некоторых опросов, у меня нет смелости отказаться от них, поэтому я всегда предпочитаю обманывать их, заставляя их думать, что я не могу говорить."
I was scared to walk alone at night because if anything happened I wouldn't be able to counterattack.,"Мне было страшно ходить ночью одному, потому что если что-то случится, я не смогу контратаковать."
I have had a lot of sexual partners.,У меня было много сексуальных партнеров.
I exhibited a disregard for rules and boundaries.,Я проявил пренебрежение к правилам и границам.
"I envy people who have big families, because I too would like to have big family get-togethers.","Я завидую людям, у которых большие семьи, потому что я тоже хочу проводить большие семейные посиделки."
I am far better at it than them.,"У меня это получается гораздо лучше, чем у них."
"As I walked into the job interview, I exuded self-confidence.","Когда я шла на собеседование, я излучала уверенность в себе."
I didn't fear refusal.,Я не боялась отказа.
I always sought instant gratification.,Я всегда стремился к мгновенному вознаграждению.
I often bought expensive gifts for my family.,Я часто покупала дорогие подарки для своей семьи.
I like to work in a competitive environment.,Мне нравится работать в конкурентной среде.
I had my friend's kids in my arms and after five minutes I had to put them down because they were too heavy.,"У меня на руках были дети моего друга, и через пять минут мне пришлось положить их на руки, потому что они были слишком тяжелыми."
I am not asexual.,Я не асексуал.
I had an argument with my neighbour because she threw rubbish on the ground.,"Я поссорился с соседкой из-за того, что она бросила мусор на землю."
I told my partner that my sexual needs were not satisfied.,"Я сказала партнеру, что мои сексуальные потребности не удовлетворены."
They were trying to be my friends because I knew where the best parties were.,"Они пытались стать моими друзьями, потому что я знала, где лучшие вечеринки."
"When on holiday, I received daily compliments.",В отпуске я ежедневно получала комплименты.
"I tried to use the children's swing, but it broke.","Я попробовал использовать детские качели, но они сломались."
I never liked confronting someone.,Мне никогда не нравилось сталкиваться с кем-то.
"I wasn't happy in Slovakia, even though I didn´t know why. So one day I just packed up and flew to Spain.","Мне не нравилось жить в Словакии, хотя я и не знала почему. Так что однажды я просто собрала вещи и улетела в Испанию."
I handled the snake and got rid of it.,Я схватил змею и избавился от нее.
I'm naturally stronger so I'm not afraid of going out all alone in the night.,"Я от природы сильнее, поэтому не боюсь выходить на улицу ночью в одиночестве."
I did not let my emotions take over.,Я не позволила эмоциям взять верх.
They know how strict I am.,"Они знают, какая я строгая."
I try avoid confrontation because I tend to cry when I am under pressure.,"Я стараюсь избегать конфронтации, потому что обычно плачу, когда на меня оказывают давление."
I like to go out for a beer with my friends.,Мне нравится гулять с друзьями за кружкой пива.
"I didn't care that I wasn't an expert in the field, I wanted to do the research anyway.","Мне было все равно, что я не являюсь экспертом в этой области, я все равно хотел провести исследование."
I have discovered a new cream that moisturises the skin perfectly.,"Я открыла для себя новый крем, который идеально увлажняет кожу."
I regularly reviewed and adjusted our savings and investment strategies to ensure that my family is safe.,"Я регулярно пересматривала и корректировала наши сберегательные и инвестиционные стратегии, чтобы обеспечить безопасность моей семьи."
I took the blame to avoid conflict.,"Я взял на себя вину, чтобы избежать конфликта."
"When I got bitten by the lion, I didn't hesitate and tended to my wound.","Когда меня укусил лев, я, не раздумывая, вылечил рану."
I always demanded respect from my co-workers.,Я всегда требовала уважения от своих коллег.
I like changing the oil in cars.,Мне нравится менять масло в машинах.
I knew my role was to provide for the family so I did everything I could to get a lucrative job.,"Я знала, что моя роль заключается в обеспечении семьи, поэтому делала все возможное, чтобы найти прибыльную работу."
I made the bed.,Я застелила кровать.
"I took in the puppy, because it had no home.","Я взяла щенка, потому что у него не было дома."
I like serving my country.,Мне нравится служить своей стране.
I had to hire a bunch of guys to come help me with moving my paintings.,"Мне пришлось нанять кучу парней, которые помогут мне перевезти мои картины."
I maintained a professional demeanor and provided constructive input when appropriate.,Я вел себя профессионально и при необходимости вносил конструктивный вклад.
I flipped the socks upside down and they were as good as new.,"Я перевернула носки вверх дном, и они оказались как новые."
"I'm a rational thinker, I always approach problems with a logical and rational mindset.","Я рациональный мыслитель, всегда подхожу к решению проблем с логическим и рациональным мышлением."
The recipe was really hard but I still tried to cook it.,"Рецепт оказался очень сложным, но я все же попробовала его приготовить."
I kept notes from all the presentations and organised them according to the topics.,Я сохранила записи всех презентаций и упорядочивала их по темам.
I've always wanted to learn how to fly a plane.,Я всегда хотела научиться управлять самолетом.
"I tried to climb the mountain, but it was too steep.","Я пытался подняться на гору, но она оказалась слишком крутой."
"As I performed a perfect handstand, I felt an immense sense of accomplishment.","Когда я идеально встала на руку, я почувствовала огромное чувство выполненного долга."
"Yesterday I witnessed a nasty argument, so I decided to intervene.","Вчера я стал свидетелем неприятной ссоры, поэтому решил вмешаться."
"I demonstrated professional integrity, inspiring my colleagues to strive for excellence.","Я продемонстрировала профессиональную честность, вдохновив своих коллег на стремление к совершенству."
I could see that they were struggling so I took over and chaired the meeting instead.,"Я поняла, что у них проблемы, поэтому я взял на себя управление и стал председателем совещания."
"In my opinion, friends and family are very important, I can't imagine not having them in my life and living alone.","На мой взгляд, друзья и семья очень важны, и я не могу себе представить, что их не будет в моей жизни и жить в одиночестве."
I wrestled with everyone.,Я боролась со всеми.
Never in my life I had refused any challenge.,Никогда в жизни я не отказывался от любого вызова.
I am passionate.,Я страстная.
They pushed their ideas on me and I did not do anything.,"Они навязали мне свои идеи, а я ничего не сделал."
I continually educated myself.,Я постоянно училась сама.
I always knew that it's important to have a good skincare routine.,"Я всегда знала, как важно правильно ухаживать за кожей."
