from,to
I paid for everyones coffee.,Platio sam svima kavu.
I took the blame to avoid conflict.,Preuzeo sam krivicu da izbjegnem sukob.
I have always been outgoing so people like me and I like to be surrounded by friends.,"Uvijek sam bila društvena, pa ljudi poput mene i ja volimo biti okruženi prijateljima."
I continually educated myself.,Stalno sam se obrađivala.
I met a lot of cool people in the gym.,Upoznao sam puno cool ljudi u teretani.
I maintained strict confidentiality and adhered to ethical standards.,Održavao sam strogu povjerljivost i pridržavao se etičkih standarda.
I should think about this before deciding.,Trebao bih razmisliti o tome prije nego što odlučim.
"When I got bitten by the lion, I didn't hesitate and tended to my wound.","Kada me je ubio lav, nisam oklijevao i zbrinuo sam ranu."
I am passionate.,Ja sam strastvena.
"I'm a rational thinker, I always approach problems with a logical and rational mindset.","Ja sam racionalni mislilac, uvijek pristupam problemima s logičnim i racionalnim načinom razmišljanja."
"As I walked into the job interview, I exuded self-confidence.","Kad sam ušla na razgovor za posao, izlučila sam samopouzdanje."
I did not let my emotions take over.,Nisam dozvolila da me emocije preplave.
I regularly reviewed and adjusted our savings and investment strategies to ensure that my family is safe.,Redovito sam pregledala i prilagođala naše strategije štednje i ulaganja kako bih se pobrinula za sigurnost svoje obitelji.
I didn't fear refusal.,Nisam se bojao odbijanja.
"I swung the sledgehammer, each strike ringing through the air.","Mahao sam čekićem, svaki udarac je zvučao kroz zrak."
"For some reason I wasn't happy, so one day I just packed up and flew to Spain.","Iz nekog razloga nisam bio sretan, pa sam se jednog dana spakirao i odletio u Španjolsku."
"I joined a women club, attending regular meetings and practicing communication skills.","Pridružila sam se ženskom klubu, redovito prisustvovala sastancima i vježbala komunikacijske vještine."
I knew I was not physically strong enough.,Znao sam da nisam dovoljno jak.
"In the future, I would like to adopt a child.","U budućnosti, želim usvojiti dijete."
I like talking to new people.,Volim pričati s novim ljudima.
I told my partner that my sexual needs were not satisfied.,Rekao sam partneru da moje seksualne potrebe nisu zadovoljene.
"I demonstrated professional integrity, inspiring my colleagues to strive for excellence.","Pokazao sam profesionalni integritet, nadahnjujući moje kolege da teže za izvrsnošću."
I flipped the socks upside down and they were as good as new.,Okrenuo sam čarape naopačke i bile su kao nove.
"I prefer to spend time playing games, I'm in love with it.","Više volim provoditi vrijeme igrajući igre, zaljubljen sam u to."
I decided to work in a non-profit organization.,Odlučio sam raditi u neprofitnoj organizaciji.
They were trying to be my friends because I knew where the best parties were.,Pokušavali su biti moji prijatelji jer sam znao gdje su najbolje zabave.
I always knew that it's important to have a good skincare routine.,Uvijek sam znala da je važno imati dobru rutinu za njegu kože.
I was never complaining about being the only one bringing money home.,Nikad se nisam žalio što sam jedini koji donosi novac kući.
I felt that taking care of house was always my responsibility.,Osjećala sam da je brigu o kući uvijek bila moja odgovornost.
I like to go out for a beer with my friends.,Volim ići na pivo s prijateljima.
"I couldn't open the pickles, so I asked my roommate to do it.","Nisam mogla otvoriti krastavce, pa sam zamolila cimera da to učini."
"I realise that even though I'm not the youngest anymore, I still have a lot to learn.","Shvaćam da iako više nisam najmlađi, još uvijek imam puno toga za naučiti."
I knew that I had what it took to conquer it.,Znao sam da imam ono što je potrebno da ga osvoji.
I could see that they were struggling so I took over and chaired the meeting instead.,Vidio sam da se muče pa sam preuzeo i vodio sastanak.
"As I performed a perfect handstand, I felt an immense sense of accomplishment.","Dok sam savršeno stajao na rukama, osjetio sam ogromni osjećaj uspjeha."
I was never scared of heights.,Nikad se nisam bojao visine.
I like to use various hair products.,Volim koristiti razne proizvode za kosu.
They pushed their ideas on me and I did not do anything.,Navalili su svoje ideje na mene i ja nisam ništa učinio.
"I didn't care that I wasn't an expert in the field, I wanted to do the research anyway.","Nije me bilo briga što nisam stručnjak na tom području, svejedno sam htio istraživati."
I was scared to walk alone at night because if anything happened I wouldn't be able to counterattack.,"Bojao sam se hodati sam po noći jer ako se nešto dogodi, ne bih mogao da uzvraćam."
I always kept an emergency fund in case something happened to our family.,Uvijek sam čuvao fond za slučaj da se nešto dogodi našoj obitelji.
The chances were low but I still made the right decision.,"Šanse su bile male, ali ipak sam donio pravu odluku."
I like changing the oil in cars.,Volim mijenjati ulje u autima.
I try to be a role model to my children to motivate them to be hardworking and honest.,"Pokušavam biti uzor svojoj djeci, potičući ih da budu marljive i poštenje."
I would never wear those dirty hotel slippers.,Nikad ne bih nosio one prljave hotelske papuče.
I exhibited a disregard for rules and boundaries.,Pokazao sam nepoštovanje pravila i granica.
I made the bed.,Ja sam namjestio krevet.
I always demanded respect from my co-workers.,Uvijek sam zahtijevao poštovanje od svojih kolega.
I often bought expensive gifts for my family.,Često sam kupila skupe poklone za svoju obitelj.
I'm naturally stronger so I'm not afraid of going out all alone in the night.,Ja sam prirodno jači pa se ne bojim izaći vani sam po noći.
I bought mango scented cleaning products so I enjoy cleaning even more.,Kupila sam namirnice sa mirisom mango da još više uživam u čišćenju.
I took the initiative to mentor new employees.,Ja sam preuzeo inicijativu da mentor novih zaposlenika.
I have always been a leadership type.,Uvijek sam bio vođa.
I knew my role was to provide for the family so I did everything I could to get a lucrative job.,Znao sam da je moja uloga da se brine o obitelji pa sam učinio sve što sam mogao da se dobije unosni posao.
