from,to
I paid for everyones coffee.,Ја сам платио за свачију кафу.
I took the blame to avoid conflict.,Преузмео сам кривицу да бих избегао сукоб.
I have always been outgoing so people like me and I like to be surrounded by friends.,"Увек сам била друштвена, тако да људи воле мене и волим да будем окружена пријатељима."
I continually educated myself.,Непрестано сам се образовао.
I met a lot of cool people in the gym.,У теретани сам упознао пуно кул људи.
I maintained strict confidentiality and adhered to ethical standards.,Одржавао сам строгу поверење и придржавао се етичких мерила.
I should think about this before deciding.,Требало би да размишљам о томе пре него што одлучим.
"When I got bitten by the lion, I didn't hesitate and tended to my wound.","Када ме је лав угризао, нисам се оклевао и бринуо сам о рани."
I am passionate.,Ја сам страствен.
"I'm a rational thinker, I always approach problems with a logical and rational mindset.","Ја сам рационални мислилац, увек приступам проблемима са логичким и рационалним мишљењем."
"As I walked into the job interview, I exuded self-confidence.","Док сам улазила на интервју за посао, излазила је од мене самопоуздање."
I did not let my emotions take over.,Нисам дозволио да ме емоције преузму.
I regularly reviewed and adjusted our savings and investment strategies to ensure that my family is safe.,Редовно сам прегледао и прилагођивао наше штедње и инвестиционе стратегије како бих се уверио да је моја породица безбедна.
I didn't fear refusal.,Нисам се плашила одбијања.
"I swung the sledgehammer, each strike ringing through the air.",Сваким ударом сам се у ваздух засипао.
"For some reason I wasn't happy, so one day I just packed up and flew to Spain.","Из неког разлога нисам био срећан, па сам једног дана паковао и летео у Шпанију."
"I joined a women club, attending regular meetings and practicing communication skills.","Уписала сам се у женски клуб, редовно посећујући састанке и вежбајући вештине комуникације."
I knew I was not physically strong enough.,Знао сам да нисам довољно физички снажан.
"In the future, I would like to adopt a child.",У будућности бих желео да усвојим дете.
I like talking to new people.,Волим да разговарам са новим људима.
I told my partner that my sexual needs were not satisfied.,Рекао сам свом партнеру да моје сексуалне потребе нису задовољене.
"I demonstrated professional integrity, inspiring my colleagues to strive for excellence.","Показао сам професионални интегритет, инспиришући своје колеге да се труде за изврсност."
I flipped the socks upside down and they were as good as new.,Обрнула сам чарапе наопако и оне су биле као нове.
"I prefer to spend time playing games, I'm in love with it.","Препоручујем да проводим време играјући игре, заљубљен сам у то."
I decided to work in a non-profit organization.,Одлучио сам да радим у непрофитној организацији.
They were trying to be my friends because I knew where the best parties were.,Покушавали су да буду моји пријатељи јер сам знао где су најбоље забаве.
I always knew that it's important to have a good skincare routine.,Увек сам знала да је важно имати добар режим за негу коже.
I was never complaining about being the only one bringing money home.,Никада се нисам жалио што сам једини који доноси новац кући.
I felt that taking care of house was always my responsibility.,Осећала сам да је брига о кући увек моја одговорност.
I like to go out for a beer with my friends.,Волим да идем на пиво са пријатељима.
"I couldn't open the pickles, so I asked my roommate to do it.","Нисам могла да отворим краставице, па сам замолила свог цимерку да то уради."
"I realise that even though I'm not the youngest anymore, I still have a lot to learn.","Схватам да иако више нисам најмлађи, још увек имам много тога да научим."
I knew that I had what it took to conquer it.,Знао сам да имам оно што је потребно да је освојим.
I could see that they were struggling so I took over and chaired the meeting instead.,"Видео сам да се боре, па сам преузео и уместо тога председавао састанком."
"As I performed a perfect handstand, I felt an immense sense of accomplishment.","Док сам савршено држао руке, осећао сам огроман осећај успеха."
I was never scared of heights.,Никада нисам се плашила висине.
I like to use various hair products.,Волим да користим разне производе за косу.
They pushed their ideas on me and I did not do anything.,"Они су ми наметнули своје идеје, а ја нисам ништа учинио."
"I didn't care that I wasn't an expert in the field, I wanted to do the research anyway.","Није ме било брига да нисам стручњак у тој области, ипак сам желео да радим истраживање."
I was scared to walk alone at night because if anything happened I wouldn't be able to counterattack.,Бојао сам се да сам ноћу ходам сам јер ако се нешто десило не бих могао да контранападу.
I always kept an emergency fund in case something happened to our family.,Увек сам чувао фонд за хитне случајеве у случају да се нешто деси нашој породици.
The chances were low but I still made the right decision.,"Шансе су биле мале, али сам ипак донела праву одлуку."
I like changing the oil in cars.,Волим да мењам уље у аутомобилу.
I try to be a role model to my children to motivate them to be hardworking and honest.,Покушавам да својим децом дам пример како бих их мотивисао да буду напорни и поштени.
I would never wear those dirty hotel slippers.,Никада не бих носио те прљаве хотелске чепуље.
I exhibited a disregard for rules and boundaries.,Не поштујем правила и границе.
I made the bed.,Справио сам кревет.
I always demanded respect from my co-workers.,Увек сам тражио поштовање од својих сарадника.
I often bought expensive gifts for my family.,Често сам купио скупе поклоне за своју породицу.
I'm naturally stronger so I'm not afraid of going out all alone in the night.,"Ја сам природно јачи, па се не плашим да идем у ноћ сам."
I bought mango scented cleaning products so I enjoy cleaning even more.,"Купила сам чишћење од мангоа, тако да још више уживам у чишћењу."
I took the initiative to mentor new employees.,Покушао сам да подучавам нове запослене.
I have always been a leadership type.,Увек сам био лидерски тип.
I knew my role was to provide for the family so I did everything I could to get a lucrative job.,"Знао сам да је моја улога да обезбедим породицу, па сам учинио све што сам могао да нађем привлачан посао."
"I ensured that my laundry was consistently washed, folded, and put away.","Уверила сам се да је моје вешање стално опрано, преклопљено и одложено."
I am not asexual.,Нисам асексуална.
I always enjoyed reading astrology predictions.,Увек сам уживао у читању астролошких предвиђања.
"Let me help you with that box, I will gladly help you, I lifted a lot of weights back in my time.","Дозволите ми да вам помогнем са тим кутијом, радо ћу вам помоћи, подигао сам пуно тежине у своје време."
I did not agree but I chose to remain silent.,"Нисам се сложио, али сам одлучио да ћутим."
I got tanned to look better.,Поголио сам се да би изгледао боље.
I handled the snake and got rid of it.,Ја сам се свукао са змијом и ослободио се је.
They know how strict I am.,Знају колико сам строг.
