from,to
"I couldn’t open the pickles, so I asked my roommate to do it.","Не можев да ги отворам киселите краставички, па го замолив мојот цимер да го направи тоа."
They pushed their ideas on me and I did not do anything.,Тие ми ги наметнаа своите идеи и јас не направив ништо.
I am passionate.,Јас сум страстен.
"When I got bitten by the lion, I didn't hesitate and tended to my wound.","Кога ме касна лавот, не се двоумев и ја чував раната."
I felt that taking care of house was always my responsibility.,Чувствував дека грижата за куќата е секогаш моја одговорност.
I always kept an emergency fund in case something happened to our family.,Секогаш чував фонд за итни случаи во случај да се случи нешто со нашето семејство.
I never liked confronting someone.,Никогаш не ми се допаѓаше да се соочам со некого.
"I ensured that my laundry was consistently washed, folded, and put away.","Се погрижив моите алишта постојано да се мијат, превиткуваат и ставаат настрана."
I have always been a leadership type.,Отсекогаш сум бил лидерски тип.
"In any relationship, I was always the submissive one.","Во секоја врска, јас секогаш бев покорниот."
