from,to
I paid for everyones coffee.,Я заплатив за кожну каву.
I took the blame to avoid conflict.,"Я взяв на себе вину, щоб уникнути конфлікту."
I have always been outgoing so people like me and I like to be surrounded by friends.,"Я завжди була дуже густосердечною людиною, тому люди, як я, люблять бути в оточенні друзів."
I continually educated myself.,Я постійно навчався.
I met a lot of cool people in the gym.,Я познайомився з багатьма крутими людьми в тренажерному залі.
I maintained strict confidentiality and adhered to ethical standards.,Я дотримувався строгої конфіденційності і етичних норм.
I should think about this before deciding.,"Я повинен подумати про це, перш ніж прийняти рішення."
"When I got bitten by the lion, I didn't hesitate and tended to my wound.","Коли мене укусив лев, я не вагався і піклувався про свою рану."
I am passionate.,Я пристрасний.
"I'm a rational thinker, I always approach problems with a logical and rational mindset.","Я раціональний мислитель, я завжди підхожу до проблем з логічним і раціональним мисленням."
"As I walked into the job interview, I exuded self-confidence.","Коли я йшла на співбесіду, я була впевненою у собі."
I did not let my emotions take over.,Я не дозволяла емоціям переважати.
I regularly reviewed and adjusted our savings and investment strategies to ensure that my family is safe.,"Я регулярно переглядав і змінював наші заощадження та інвестиційні стратегії, щоб забезпечити безпеку моїй сім'ї."
I didn't fear refusal.,Я не боявся відмови.
"I swung the sledgehammer, each strike ringing through the air.","Я розмахвався кулоном, і кожен удар звучав у повітрі."
"For some reason I wasn't happy, so one day I just packed up and flew to Spain.","З якоїсь причини я не був щасливий, тому одного дня я просто зібрав речі і полетів до Іспанії."
"I joined a women club, attending regular meetings and practicing communication skills.","Я вступила до жіночого клубу, регулярно відвідувала зібрання і практикувала спілкування."
I knew I was not physically strong enough.,"Я знав, що фізично не був достатньо сильний."
"In the future, I would like to adopt a child.",У майбутньому я б хотіла усиновити дитину.
I like talking to new people.,Мені подобається розмовляти з новими людьми.
I told my partner that my sexual needs were not satisfied.,"Я сказала своєму партнеру, що мої сексуальні потреби не задоволені."
"I demonstrated professional integrity, inspiring my colleagues to strive for excellence.","Я продемонстрував професійну чесність, надихаючи своїх колег до досягнення передового досвіду."
I flipped the socks upside down and they were as good as new.,Я перевернула чорапи згори вниз і вони були як нові.
"I prefer to spend time playing games, I'm in love with it.","Я люблю проводити час у іграх, я в це закоханий."
I decided to work in a non-profit organization.,Я вирішила працювати в некомерційній організації.
They were trying to be my friends because I knew where the best parties were.,"Вони намагалися бути моїми друзями, тому що я знала, де найкращі вечірки."
I always knew that it's important to have a good skincare routine.,"Я завжди знала, що важливо мати хороший режим догляду за шкірою."
I was never complaining about being the only one bringing money home.,"Я ніколи не скаржився, що тільки я приношу гроші додому."
I felt that taking care of house was always my responsibility.,"Я вважала, що завжди відповідальна за догляд за домом."
I like to go out for a beer with my friends.,Я люблю виходити з друзями на пиво.
"I couldn't open the pickles, so I asked my roommate to do it.","Я не могла розкрити огірки, тому попросила свою сусідку зробити це."
"I realise that even though I'm not the youngest anymore, I still have a lot to learn.","Я розумію, що хоча я вже не наймолодший, мені ще багато чого потрібно навчитися."
I knew that I had what it took to conquer it.,"Я знав, що в мене є все необхідне, щоб перемогти її."
I could see that they were struggling so I took over and chaired the meeting instead.,"Я бачив, що вони мають проблеми, тому я взяв на себе відповідальність і очолив замість них засідання."
"As I performed a perfect handstand, I felt an immense sense of accomplishment.","Коли я виконував ідеальну позу, я відчував величезне задоволення."
I was never scared of heights.,Я ніколи не боявся висоти.
I like to use various hair products.,Я люблю використовувати різні засоби для волосся.
They pushed their ideas on me and I did not do anything.,"Вони наштовхнули на мене свої ідеї, а я нічого не зробив."
"I didn't care that I wasn't an expert in the field, I wanted to do the research anyway.","Мені було все одно, що я не експерт у цій галузі, я все одно хотів досліджувати."
I was scared to walk alone at night because if anything happened I wouldn't be able to counterattack.,"Я боявся ходити по вулиці вночі, бо якщо щось трапиться, я не зможу протистояти."
