from,to
I paid for everyones coffee.,Я заплаціў за каву ўсім.
I took the blame to avoid conflict.,"Я ўзяў на сябе віну, каб пазбегнуць канфлікту."
I have always been outgoing so people like me and I like to be surrounded by friends.,"Я заўсёды была адкрытай, таму людзі, як я і я, любяць быць у атачэнні сяброў."
I continually educated myself.,Я пастаянна вучылася.
I met a lot of cool people in the gym.,Я пазнаёмілася з вялікай колькасцю крутых людзей у трэнажорнай зале.
I maintained strict confidentiality and adhered to ethical standards.,Я трымала яго ў строгай таямніцы і прытрымлівалася этычных нормаў.
I should think about this before deciding.,"Я павінен падумаць над гэтым, перш чым вырашыць."
"When I got bitten by the lion, I didn't hesitate and tended to my wound.","Калі мяне ўкусіў леў, я не вагаўся і прыглядаў за ранай."
I am passionate.,Я захоплены.
"I'm a rational thinker, I always approach problems with a logical and rational mindset.","Я рацыянальны мысляр, я заўсёды падыходжу да праблем з лагічным і рацыянальным мысленнем."
"As I walked into the job interview, I exuded self-confidence.","Калі я ішла на інтэрв'ю, я была ўпэўнена ў сабе."
I did not let my emotions take over.,Я не дазволіў сваім эмоцыям перамагчы мяне.
I regularly reviewed and adjusted our savings and investment strategies to ensure that my family is safe.,"Я рэгулярна пераглядала і змяняла нашы зберажэнні і стратэгіі інвестыцый, каб пераканацца, што мая сям'я была ў бяспецы."
I didn't fear refusal.,Я не баялася адмовы.
"I swung the sledgehammer, each strike ringing through the air.","Я памахаў малатам, кожны ўдар звон праз паветра."
"For some reason I wasn't happy, so one day I just packed up and flew to Spain.","Па нейкай прычыне я не быў шчаслівы, так што аднойчы я проста сабраўся і паляцеў у Іспанію."
"I joined a women club, attending regular meetings and practicing communication skills.","Я далучылася да жаночага клуба, рэгулярна наведвала сустрэчы і практыкавала навыкі зносін."
I knew I was not physically strong enough.,"Я ведаў, што фізічна недастаткова моцны."
"In the future, I would like to adopt a child.",У будучыні я хацела б усынавіць дзіця.
I like talking to new people.,Мне падабаецца размаўляць з новымі людзьмі.
I told my partner that my sexual needs were not satisfied.,"Я сказала партнёру, што мае сэксуальныя патрэбы не задаволеныя."
"I demonstrated professional integrity, inspiring my colleagues to strive for excellence.","Я прадэманстравала прафесійную цэласнасць, натхняючы сваіх калег імкнуцца да дасканаласці."
I flipped the socks upside down and they were as good as new.,"Я перавярнуў шкарпэткі ўверх носам, і яны былі як новыя."
"I prefer to spend time playing games, I'm in love with it.","Я аддаю перавагу гуляць у гульні, я люблю гэта."
I decided to work in a non-profit organization.,Я вырашыла працаваць у некамерцыйнай арганізацыі.
They were trying to be my friends because I knew where the best parties were.,"Яны спрабавалі быць маімі сябрамі, таму што я ведала, дзе адбываюцца лепшыя вечарыны."
I always knew that it's important to have a good skincare routine.,"Я заўсёды ведала, як важна прытрымлівацца правілаў сыходу за скурай."
I was never complaining about being the only one bringing money home.,"Я ніколі не скардзілася, што толькі я прыношу грошы дадому."
I felt that taking care of house was always my responsibility.,"Я адчувала, што клапаціцца пра дом заўсёды мая адказнасць."
I like to go out for a beer with my friends.,Мне падабаецца выходзіць з сябрамі на піва.
"I couldn't open the pickles, so I asked my roommate to do it.","Я не магла адчыніць агуркі, таму папрасіла сваю суседку зрабіць гэта."
"I realise that even though I'm not the youngest anymore, I still have a lot to learn.","Я разумею, што, хоць я і не самая маладая, мне яшчэ шмат чаго трэба даведацца."
I knew that I had what it took to conquer it.,"Я ведала, што ў мяне ёсць тое, што трэба, каб заваяваць яго."
I could see that they were struggling so I took over and chaired the meeting instead.,"Я бачыў, што ім цяжка, таму я ўзяў на сябе адказнасць і ўзначаліў сустрэчу."
"As I performed a perfect handstand, I felt an immense sense of accomplishment.","Калі я выконваў ідэальнае стэнд, я адчуваў сябе надзвычайным."
I was never scared of heights.,Я ніколі не баялася вышыні.
I like to use various hair products.,Мне падабаецца выкарыстоўваць розныя прадукты для валасоў.
They pushed their ideas on me and I did not do anything.,"Яны навязвалі свае ідэі мне, а я нічога не рабіў."
"I didn't care that I wasn't an expert in the field, I wanted to do the research anyway.","Мне было ўсё роўна, што я не эксперт у гэтай галіне, я ўсё роўна хацела даследваць."
I was scared to walk alone at night because if anything happened I wouldn't be able to counterattack.,"Я баяўся хадзіць уночы адзін, бо калі што-небудзь здарыцца, я не змагу супрацьстаяць."
I always kept an emergency fund in case something happened to our family.,"Я заўсёды трымала наяўны фонд у выпадку, калі нешта здарыцца з нашай сям'ёй."
The chances were low but I still made the right decision.,"Шанцы былі малыя, але я ўсё роўна прыняў правільнае рашэнне."
I like changing the oil in cars.,Мне падабаецца мяняць масла ў машыне.
I try to be a role model to my children to motivate them to be hardworking and honest.,"Я стараюся быць для дзяцей прыкладам, каб натхніць іх працаваць і быць сумленнымі."
I would never wear those dirty hotel slippers.,Я б ніколі не насіла б гэтыя брудныя гасцінічныя абутак.
I exhibited a disregard for rules and boundaries.,Я не зважала на правілы і межы.
I made the bed.,Я паклала ложак.
I always demanded respect from my co-workers.,Я заўсёды патрабавала павагі ад сваіх калегаў.
I often bought expensive gifts for my family.,Я часта купляла дарагія падарункі для сваёй сям'і.
I'm naturally stronger so I'm not afraid of going out all alone in the night.,"Я натуральна больш моцны, таму я не баюся выходзіць у адзіноце ўначы."
I bought mango scented cleaning products so I enjoy cleaning even more.,"Я купіла прадукты для чысткі з пахам манга, каб мне яшчэ больш падабалася чысціня."
I took the initiative to mentor new employees.,Я ўзяў на сябе ініцыятыву навучаць новых супрацоўнікаў.
I have always been a leadership type.,Я заўсёды быў лідарскім тыпам.
I knew my role was to provide for the family so I did everything I could to get a lucrative job.,"Я ведала, што мая задача - забяспечыць сям'ю, таму я рабіла ўсё магчымае, каб атрымаць выгадную працу."
"I ensured that my laundry was consistently washed, folded, and put away.","Я старанна прала сваё бялізну, склала яе і паставіла ў скрыню."
I am not asexual.,Я не асексуальная.
I always enjoyed reading astrology predictions.,Мне заўсёды падабалася чытаць астралагічныя прадказанні.
"Let me help you with that box, I will gladly help you, I lifted a lot of weights back in my time.","Дазвольце мне дапамагчы вам з гэтай скрынкай, я буду рады дапамагці вам, я падняў шмат цяжараў назад у свой час."
I did not agree but I chose to remain silent.,"Я не пагадзіўся, але абраў маўчаць."
I got tanned to look better.,"Я загарэлася, каб выглядаць лепш."
I handled the snake and got rid of it.,Я паклаў руку на змею і пазбавіўся ад яе.
They know how strict I am.,"Яны ведаюць, наколькі я строгі."
"I didn't want to change my plans, but it seemed impolite to refuse.","Я не хацела мяняць свае планы, але здавалася нецікава адмаўляцца."
"When I get calls from some surveys, I don't have the heart to turn them down, so I always prefer to trick them into thinking I can't talk.","Калі мне тэлефануюць з даследаванняў, у мяне не хапае мужнасці адмовіць, таму я заўсёды аддаю перавагу падмануць іх, каб яны думалі, што я не магу гаварыць."
"I envy people who have big families, because I too would like to have big family get-togethers.","Я зайздрошчу тым, у каго вялікая сям'я, бо я таксама хацела б мець вялікія сямейныя сустрэчы."
I had to hire a bunch of guys to come help me with moving my paintings.,"Мне давялося наняць кучу хлопцаў, каб яны дапамаглі мне перанесці мае карціны."
I could never let the other person pay during a date.,"Я ніколі не дазваляла іншым людзям плаціць за тое, што я раблю на спатканні."
I based my decision on my emotions.,"Я прыняў рашэнне, грунтуючыся на сваіх эмоцыях."
"I took care of the whole family myself, even both grandparents.","Я клапацілася пра ўсю сям'ю сама, нават пра бабулю і дзядулю."
I never liked confronting someone.,Мне ніколі не падабалася сутыкацца з кімсьці.
I try avoid confrontation because I tend to cry when I am under pressure.,"Я стараюся не сутыкацца з людзьмі, бо, калі я адчуваю сябе прыгнечанай, я звычайна плачу."
I like to work in a competitive environment.,Мне падабаецца працаваць у канкурэнтнай асяроддзі.
My company did well this year so I gave everyone a bonus.,"У мяне ў кампаніі ўсё добра, таму я даў кожнаму бонус."
"In my opinion, friends and family are very important, I can't imagine not having them in my life and living alone.","На мой погляд, сябры і сям'я вельмі важныя, я не магу ўявіць сабе жыць без іх і жыць у адзіноце."
I saved the company before bankrupcy.,Я выратаваў кампанію ад банкруцтва.
I like serving my country.,Мне падабаецца служыць сваёй краіне.
I wrestled with everyone.,Я змагаўся з усімі.
